시군명,나트륨(100W미만)(개소),나트륨(100~200W)(개소),나트륨(201~300W)(개소),나트륨(301~400W)(개소),메탈(100W미만)(개소),메탈(100~150W)(개소),메탈(151~300W)(개소),메탈(301~400W)(개소),LED(50W미만)(개소),LED(50~100W)(개소),LED(101~120W)(개소),LED(121~150W)(개소),LED(151W이상)(개소),기타
가평군,,8,,,6421,,,,2505,2100,,,,
고양시,,329,3821,0,,5812,16627,,,1319,,7479,,
광명시,,18,1869,,,,10,,66,1009,322,1319,146,226
광주시,,0,0,0,,6830,0,0,0,337,0,94,,
구리시,,163,290,280,,53,63,33,0,1070,0,3875,,
군포시,66,286,536,,339,331,166,,1227,1306,,17,47,
김포시,,36,2239,3417,,7560,2358,30,0,66,101,64,,
남양주시,,0,10323,0,,578,3397,1630,0,0,834,879,,
부천시,0,2734,4340,0,0,4465,3222,0,0,3722,0,1956,0,0
성남시,,417,13034,1090,,4065,849,0,0,179,106,68,,
수원시,380,892,1847,81,1908,4962,6495,1206,104,5497,2883,5711,126,"1,267"
시흥시,,271,2316,2,1542,4320,2898,912,,12504,5745,3836,288,17
안산시,,1228,9022,0,,1485,686,0,0,652,498,328,,
안양시,0,0,40,0,113,27,0,0,162,2914,5108,5108,0,
양주시,,0,6053,336,63,2950,2501,0,2876,831,1201,0,,
양평군,1,34,4,0,,,132,,920,1498,88,,9,264
여주시,,13,108,,,59,1049,130,,189,5,3103,,
연천군,,97,365,,222,1249,245,,,2687,159,261,,
용인시,,946,16256,0,,6963,1517,0,0,480,41,462,,
의왕시,,0,1639,322,,2133,686,36,0,175,0,470,,
의정부시,,239,,,,9026,85,,,1007,,2011,,
이천시,,,,,,,,,0,590,3446,243,,
파주시,,0,1700,13202,,1300,6580,0,0,0,111,295,,
평택시,,0,8518,0,,12358,0,0,0,0,1012,0,,
포천시,,82,8120,68,,1800,0,0,0,0,0,54,,
하남시,,79,1770,22,539,389,1347,1,1193,1996,26,1260,16,

