"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"거제면0001",1,,경상남도 거제시 거제면 동상리 96-1,34.84699307,128.6008217,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0002",1,,경상남도 거제시 거제면 동상리 95-4,34.84760435,128.5992842,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0003",1,,경상남도 거제시 거제면 동상리 203-5,34.84915972,128.6002257,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0004",1,,경상남도 거제시 거제면 동상리 95-14,34.8478042,128.5977103,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0005",1,,경상남도 거제시 거제면 동상리 717-9,34.84901714,128.5943629,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0006",1,,경상남도 거제시 거제면 동상리 717-3,34.84947714,128.5944383,1997,한전주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0007",1,,경상남도 거제시 거제면 동상리 715-10,34.85071561,128.5954468,2004,한전주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0008",1,,경상남도 거제시 거제면 동상리 715-4,34.85143456,128.5959004,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0009",1,,경상남도 거제시 거제면 동상리 717-3,34.84947714,128.5944383,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0010",1,,경상남도 거제시 거제면 동상리 725,34.849516,128.5918952,1998,한전주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0011",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1997,한전주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0012",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0013",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0014",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0015",1,,경상남도 거제시 거제면 동상리 714-1,34.85167819,128.5945648,1998,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0016",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0017",1,,경상남도 거제시 거제면 동상리 724,34.85075897,128.5920997,1995,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0018",1,,경상남도 거제시 거제면 동상리 723,34.8509295,128.5922662,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0019",1,,경상남도 거제시 거제면 명진리 565-4,34.84583377,128.6073413,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0020",1,,경상남도 거제시 거제면 서상리 186-5,34.85116131,128.5909447,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0021",1,,경상남도 거제시 거제면 법동리 1056-5,34.82174859,128.5194714,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0022",1,경상남도 거제시 거제면 귀목정길 48,,34.8634795,128.5845254,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0023",1,,경상남도 거제시 거제면 동상리 714-9,34.84981694,128.5911865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
"거제면0024",1,,경상남도 거제시 거제면 동상리 722-2,34.8505235,128.5920865,1997,전용주,055-639-3120,경상남도 거제시청 도로과,2023-09-11
