"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
515,1,경상남도 거창군 남하면 대야길 111,경상남도 거창군 남하면 대야리 1448-1,35.63508404,127.9645323,2015,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
516,1,경상남도 거창군 남하면 영서로 481-3,경상남도 거창군 남하면 대야리 1447-2,35.63526442,127.9648198,2015,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
607,1,경상남도 거창군 거창읍 하동5길 11,경상남도 거창군 거창읍 중앙리 314-33,35.68794379,127.9124402,2004,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
718,1,경상남도 거창군 남상면 인평길 36,경상남도 거창군 남상면 무촌리 632-1,35.64298394,127.9105058,1990,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
758,1,경상남도 거창군 거창읍 죽전길 51,경상남도 거창군 거창읍 상림리 14-4,35.69007825,127.909194,2010,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
771,1,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 865-6,35.69032647,127.9040224,2007,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
772,1,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 362,35.69032647,127.9040224,2012,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
799,1,,경상남도 거창군 거창읍 정장리 산 112-15,35.66527959,127.9103679,2000,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
800,1,,경상남도 거창군 거창읍 정장리 1194-8,35.66528142,127.9105502,2007,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
801,1,,경상남도 거창군 거창읍 정장리 983-2,35.66544855,127.9105511,2005,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
802,1,경상남도 거창군 거창읍 중산길 195-5,경상남도 거창군 거창읍 정장리 982,35.66539166,127.9066411,2000,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
803,1,,경상남도 거창군 거창읍 정장리 981-22,35.6654016,127.9119192,2007,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
804,1,,경상남도 거창군 거창읍 정장리 1052-5,35.66501103,127.9122217,2000,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
805,1,,경상남도 거창군 거창읍 정장리 산 109-20,35.66494696,127.9130912,2012,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10000,1,경상남도 거창군 위천면 마항길 66,경상남도 거창군 위천면 강천리 456,35.755738,127.8174972,2005,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10001,1,,경상남도 거창군 신원면 중유리 산 155-1,35.53933386,127.8983111,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10002,1,경상남도 거창군 고제면 원봉계길 182,경상남도 거창군 고제면 봉계리 1478,35.87408542,127.871404,2012,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10003,1,경상남도 거창군 신원면 중유길 19-4,경상남도 거창군 신원면 중유리 418-1,35.55579991,127.9000197,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10004,1,,경상남도 거창군 신원면 대현리 85-10,35.54239418,127.9259746,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10005,1,,경상남도 거창군 신원면 와룡리 1777,35.52366762,127.9333838,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10006,1,경상남도 거창군 신원면 상감악길 602,경상남도 거창군 신원면 구사리 1508-1,35.58156856,127.9323719,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10007,1,경상남도 거창군 남상면 고척길 289-13,경상남도 거창군 남상면 전척리 664,35.62437586,127.9451005,2006,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10008,1,,경상남도 거창군 신원면 구사리 산 39,35.58272311,127.9361431,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10009,1,경상남도 거창군 신원면 세안길 54-39,경상남도 거창군 신원면 과정리 912,35.57620663,127.9179753,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10010,1,,경상남도 거창군 신원면 양지리 394,35.58418517,127.9631148,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10011,1,경상남도 거창군 신원면 원동길 88-1,경상남도 거창군 신원면 수원리 727,35.5855241,127.9752801,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10012,1,경상남도 거창군 거창읍 강양2길 36,경상남도 거창군 거창읍 대동리 136-15,35.69173606,127.9186111,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10013,1,,경상남도 거창군 마리면 율리 740-4,35.73630003,127.8534376,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10014,1,경상남도 거창군 마리면 월화길 272,경상남도 거창군 마리면 월계리 473-2,35.72115805,127.8458903,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10015,1,경상남도 거창군 마리면 성락길 103,경상남도 거창군 마리면 월계리 646-9,35.71228386,127.8505568,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10016,1,경상남도 거창군 마리면 빼재로 157,경상남도 거창군 마리면 월계리 550,35.71382572,127.853928,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10017,1,경상남도 거창군 마리면 풍계2길 38,경상남도 거창군 마리면 율리 155-1,35.7302271,127.857412,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10018,1,경상남도 거창군 마리면 영승2길 28,경상남도 거창군 마리면 영승리 836-3,35.71391633,127.8571806,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10019,1,,경상남도 거창군 거창읍 대동리 301-2,35.69985698,127.9221375,2001,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10020,1,경상남도 거창군 신원면 오례길 56-10,경상남도 거창군 신원면 덕산리 1539,35.57235332,127.8903837,1996,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10021,1,경상남도 거창군 마리면 월화길 217,경상남도 거창군 마리면 월계리 490-6,35.71940496,127.8467349,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10022,1,경상남도 거창군 마리면 고학길 274-6,경상남도 거창군 마리면 고학리 1375,35.68977179,127.826244,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10023,1,,경상남도 거창군 마리면 대동리 852-2,35.68242755,127.8505039,2015,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10024,1,,경상남도 거창군 마리면 말흘리 339-11,35.70060998,127.8542349,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10025,1,,경상남도 거창군 마리면 말흘리 230-6,35.70013579,127.8526984,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10026,1,경상남도 거창군 마리면 계동길 174-3,경상남도 거창군 마리면 영승리 277,35.70325653,127.863505,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10027,1,,경상남도 거창군 마리면 고학리 209-3,35.67801959,127.8330334,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10028,1,,경상남도 거창군 거창읍 양평리 973-1,35.70283744,127.924857,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10029,1,,경상남도 거창군 거창읍 양평리 1239-1,35.70404679,127.9236563,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10030,1,,경상남도 거창군 거창읍 양평리 1239-1,35.70404679,127.9236563,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10031,1,,경상남도 거창군 거창읍 양평리 1239-1,35.70404679,127.9236563,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10032,1,,경상남도 거창군 거창읍 양평리 965-1,35.70658223,127.9271806,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10033,1,경상남도 거창군 거창읍 강변로 37-3,경상남도 거창군 거창읍 상림리 605-2,35.68378572,127.9012062,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10034,1,경상남도 거창군 거창읍 죽전길 24,경상남도 거창군 거창읍 상림리 12-4,35.69030719,127.9076273,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10035,1,경상남도 거창군 거창읍 소만3길 14-16,경상남도 거창군 거창읍 대동리 982-4,35.69317209,127.9203359,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10036,1,경상남도 거창군 거창읍 거열로 172-2,경상남도 거창군 거창읍 중앙리 41-4,35.68996654,127.912512,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10037,1,경상남도 거창군 거창읍 갈지1길 56,경상남도 거창군 거창읍 가지리 1019-7,35.70555483,127.8963151,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10038,1,경상남도 거창군 거창읍 공수들6길 4,경상남도 거창군 거창읍 상림리 867-10,35.68641407,127.9038791,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10039,1,경상남도 거창군 거창읍 거열로3길 16-19,경상남도 거창군 거창읍 대동리 666-10,35.69261441,127.9172992,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10040,1,경상남도 거창군 거창읍 소만3길 36-16,경상남도 거창군 거창읍 대동리 988-6,35.69322971,127.9214862,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10041,1,,경상남도 거창군 가조면 수월리 63-22,35.72361396,128.0325487,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10052,1,,경상남도 거창군 가북면 몽석리 348-6,35.80386612,128.0246582,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10053,1,,경상남도 거창군 가북면 용암리 산 110-5,35.8181648,128.0667917,2011,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10054,1,경상남도 거창군 가북면 어인길 807-30,경상남도 거창군 가북면 우혜리 2061,35.76158603,128.0192938,2014,,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10055,1,경상남도 거창군 가북면 가북로 628,경상남도 거창군 가북면 우혜리 1891-3,35.76329407,127.9926636,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10056,1,,경상남도 거창군 위천면 황산리 산 9-9,35.76796003,127.8267048,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10057,1,,경상남도 거창군 위천면 황산리 828-3,35.76737894,127.8233934,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10058,1,경상남도 거창군 위천면 황산1길 61,경상남도 거창군 위천면 황산리 601,35.76128295,127.8370244,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10059,1,,경상남도 거창군 거창읍 가지리 산 203-5,35.71489845,127.8910185,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10060,1,경상남도 거창군 거창읍 사마리길 171-9,경상남도 거창군 거창읍 서변리 1150-6,35.71093638,127.9255156,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10061,1,,경상남도 거창군 위천면 상천리 산 11-7,35.74999837,127.819808,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10062,1,,경상남도 거창군 위천면 상천리 674,35.73987144,127.814675,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10063,1,경상남도 거창군 위천면 황산2길 100,경상남도 거창군 위천면 황산리 878,35.76362197,127.8395669,2014,한전주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
10064,1,,경상남도 거창군 거창읍 가지리 282,35.69448326,127.9058118,2014,전용주,055-940-8888,경상남도 거창군청 경제산업국 안전총괄과,2023-05-24
