"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"개천면 나선리 864-4",1,,경상남도 고성군 개천면 나선리 864-4,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 546",1,,경상남도 고성군 고성읍 신월리 546-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 573-7",1,,경상남도 고성군 고성읍 신월리 573-7,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 574-1",1,,경상남도 고성군 고성읍 신월리 574-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 574-4",1,,경상남도 고성군 고성읍 신월리 574-4,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 575-1",1,,경상남도 고성군 고성읍 신월리 575-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 582-1",1,,경상남도 고성군 고성읍 신월리 582-1,34.9522465,128.3321462,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 59-1",1,,경상남도 고성군 고성읍 신월리 59-1,34.9493903,128.3397626,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 59-15",1,,경상남도 고성군 고성읍 신월리 59-15,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 59-20",1,,경상남도 고성군 고성읍 신월리 59-20,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 59-23",1,,경상남도 고성군 고성읍 신월리 59-23,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 600",1,,경상남도 고성군 고성읍 신월리 600,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 605-1",1,,경상남도 고성군 고성읍 신월리 605-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 614-1",1,,경상남도 고성군 고성읍 신월리 614-1,34.95816047,128.3320186,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 619-10",1,,경상남도 고성군 고성읍 신월리 619-10,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 619-17",1,,경상남도 고성군 고성읍 신월리 619-17,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 619-9",1,,경상남도 고성군 고성읍 신월리 619-9,34.9573676,128.3313358,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 624",1,,경상남도 고성군 고성읍 신월리 625-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 639",1,,경상남도 고성군 고성읍 신월리 639,34.9576971,128.3312054,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 64-1",1,,경상남도 고성군 고성읍 신월리 64-1,34.9499859,128.3398917,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 646",1,,경상남도 고성군 고성읍 신월리 646-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 653-1",1,,경상남도 고성군 고성읍 신월리 653-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 656-1",1,,경상남도 고성군 고성읍 신월리 656-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 750-19",1,,경상남도 고성군 고성읍 신월리 750-19,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 8-3",1,,경상남도 고성군 고성읍 신월리 8-3,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 837-5",1,,경상남도 고성군 고성읍 신월리 837-5,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 신월리 837-6",1,,경상남도 고성군 고성읍 신월리 837-6,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 1276-19",1,,경상남도 고성군 개천면 좌연리 1276-19,35.06392321,128.2814158,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 1307",1,,경상남도 고성군 개천면 좌연리 1307,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 25-3",1,,경상남도 고성군 개천면 좌연리 25-3,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 259-1",1,,경상남도 고성군 개천면 좌연리 259-1,35.0816243,128.2963716,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 264",1,,경상남도 고성군 개천면 좌연리 264,35.08218015,128.2963102,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 291",1,,경상남도 고성군 개천면 좌연리 291,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 307-4",1,,경상남도 고성군 개천면 좌연리 307-4,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 309-3",1,,경상남도 고성군 개천면 좌연리 309-3,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 418-1",1,,경상남도 고성군 개천면 좌연리 418-1,35.08151472,128.2883878,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 492-1",1,,경상남도 고성군 개천면 좌연리 492-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 519",1,,경상남도 고성군 개천면 좌연리 519,35.08180009,128.2864080113,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 531-2",1,,경상남도 고성군 개천면 좌연리 531-2,35.08126867,128.2867744,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 541",1,,경상남도 고성군 개천면 좌연리 541,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 567-4",1,,경상남도 고성군 개천면 좌연리 567-4,35.07983845,128.2808884,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 609-2",1,,경상남도 고성군 개천면 좌연리 609-2,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 625",1,,경상남도 고성군 개천면 좌연리 625,35.0798485,128.2799369,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 628",1,,경상남도 고성군 개천면 좌연리 628,35.07988606,128.2804769,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 632",1,,경상남도 고성군 개천면 좌연리 632,35.08079168,128.2807498,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 64-1",1,,경상남도 고성군 개천면 좌연리 64-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 690-1",1,,경상남도 고성군 개천면 좌연리 690-1,35.07926936,128.2739941,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 690-4",1,,경상남도 고성군 개천면 좌연리 690-4,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 841",1,,경상남도 고성군 개천면 좌연리 841,35.07564016,128.281406,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 850",1,,경상남도 고성군 개천면 좌연리 850,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 861",1,,경상남도 고성군 개천면 좌연리 861,35.0745622,128.2814067,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 977-7",1,,경상남도 고성군 개천면 좌연리 977-7,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 산266-3",1,,경상남도 고성군 개천면 좌연리 산266-3,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"개천면 좌연리 산275",1,,경상남도 고성군 개천면 좌연리 산275,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 죽계3길 276",1,경상남도 고성군 고성읍 죽계3길 276,,35.0043878,128.3482213,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 죽계리 106-1",1,,경상남도 고성군 고성읍 죽계리 106-1,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 죽계리 107-4",1,,경상남도 고성군 고성읍 죽계리 107-4,,,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 죽계리 113-2",1,,경상남도 고성군 고성읍 죽계리 113-2,35.00301011,128.3466433,,,055-670-2504,경상남도 고성군청,2023-07-14
"고성읍 죽계리 19",1,,경상남도 고성군 고성읍 죽계리 19,,,,,055-670-2504,경상남도 고성군청,2023-07-14
