"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장유1동",1,,경상남도 김해시 신문동 1248-5,35.1958080500,128.8121724000,2011,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"부원동",1,경상남도 김해시 김해대로 2330,경상남도 김해시 부원동 1041,35.2255424100,128.8820492000,2014,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"부원동",1,경상남도 김해시 김해대로 2330,경상남도 김해시 부원동 1041,35.2255424100,128.8820492000,2014,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"부원동",2,경상남도 김해시 김해대로 2330,경상남도 김해시 부원동 1041,35.2255424100,128.8820492000,2014,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유1동",1,,경상남도 김해시 무계동 71,35.1999115900,128.8185388000,2018,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유1동",1,경상남도 김해시 무계로 47,경상남도 김해시 무계동 567,35.1987755000,128.8172535000,2018,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 선지리 587-6,35.2356867500,128.8436734000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 선지리 662-5,35.2347161800,128.8445422000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 선지리 산39-1,35.2395667000,128.8366270000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,경상남도 김해시 주촌면 주선로 117,경상남도 김해시 주촌면 선지리 320,35.2400291100,128.8362362000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 선지리 산38-2,35.2408399400,128.8362995000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,경상남도 김해시 주촌면 주선로 117,경상남도 김해시 주촌면 선지리 320,35.2400291100,128.8362362000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,경상남도 김해시 주촌면 서부로1701번길 56,경상남도 김해시 주촌면 선지리 312-1,35.2428333400,128.8361112000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 천곡리 19-3,35.2426299300,128.8329337000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 천곡리 24-3,35.2430868900,128.8333340000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 천곡리 24-3,35.2430868900,128.8333340000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"주촌면",1,,경상남도 김해시 주촌면 선지리 311-15,35.2417308900,128.8365064000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"진영읍",1,경상남도 김해시 진영읍 김해대로76번길 10,경상남도 김해시 진영읍 좌곤리 392,35.2946963000,128.7084043000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"진영읍",1,경상남도 김해시 진영읍 하계로 9-29,경상남도 김해시 진영읍 좌곤리 639-33,35.2938969700,128.7094418000,2019,한전주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1039,35.1671919600,128.8328321000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1039,35.1671919600,128.8328321000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 961,35.1673574500,128.8323617000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 962,35.1663125700,128.8322523000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 961,35.1673574500,128.8323617000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 958,35.1672242900,128.8320640000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 995,35.1643611700,128.8315737000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1043,35.1619090100,128.8303084000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1015,35.1620450400,128.8301890000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1015,35.1620450400,128.8301890000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 898,35.1634766300,128.8291169000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1019,35.1623659500,128.8267676000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1019,35.1623659500,128.8267676000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1020,35.1628445500,128.8253235000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1021,35.1631224400,128.8242286000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1021,35.1631224400,128.8242286000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1021,35.1631224400,128.8242286000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하5로 46,경상남도 김해시 장유동 1021,35.1631224400,128.8242286000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 955,35.1684608400,128.8305178000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 955,35.1684608400,128.8305178000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 955,35.1684608400,128.8305178000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 956,35.1683559600,128.8313510000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 955,35.1684608400,128.8305178000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 955,35.1684608400,128.8305178000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 957,35.1679138500,128.8314124000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 957,35.1679138500,128.8314124000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 957,35.1679138500,128.8314124000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 5,경상남도 김해시 장유동 957,35.1679138500,128.8314124000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
"장유3동",1,경상남도 김해시 율하임수길 93,경상남도 김해시 장유동 959,35.1677751700,128.8319159000,2019,전용주,055-330-3051,경상남도 김해시청,2021-12-17
