"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"삼랑진읍001",1,,경상남도 밀양시 삼랑진읍 송지리 398-3,,128.8378809250,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍002",1,경상남도 밀양시 삼랑진읍 외송중앙길 3,경상남도 밀양시 삼랑진읍 송지리 378-10,35.3963663890,128.837561,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍003",1,경상남도 밀양시 삼랑진읍 외송중앙길 14,경상남도 밀양시 삼랑진읍 송지리 396-2,35.396198,128.8385738800,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍004",1,경상남도 밀양시 삼랑진읍 외송중앙길 16,경상남도 밀양시 삼랑진읍 송지리 390-4,35.3962546861,128.8387714511,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍005",1,경상남도 밀양시 삼랑진읍 외송중앙길 21,경상남도 밀양시 삼랑진읍 송지리 371-4,35.39650024,128.8392278255,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍006",1,경상남도 밀양시 삼랑진읍 외송중앙길 27,경상남도 밀양시 삼랑진읍 송지리 364-5,35.3968471958,128.839878,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍007",1,,경상남도 밀양시 삼랑진읍 송지리 364-9,35.3971250821,128.8409206686,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍008",1,경상남도 밀양시 삼랑진읍 외송중앙길 38-10,경상남도 밀양시 삼랑진읍 송지리 143-10,35.3968972130,128.8417524512,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍009",1,,경상남도 밀양시 삼랑진읍 송지리 443-3,,128.841033,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍010",1,경상남도 밀양시 삼랑진읍 외송중앙길 32,경상남도 밀양시 삼랑진읍 송지리 364-24,35.396845,128.840551,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍011",1,경상남도 밀양시 삼랑진읍 버들섬4길 6-10,경상남도 밀양시 삼랑진읍 송지리 364-37,35.3965347616,128.8404225194,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍012",1,경상남도 밀양시 삼랑진읍 외송중앙길 22-5,경상남도 밀양시 삼랑진읍 송지리 384-2,35.3962602171,128.839708,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍014",1,경상남도 밀양시 삼랑진읍 외송2길 33-25,경상남도 밀양시 삼랑진읍 송지리 453-4,35.3935873091,128.840246,2014,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍015",1,경상남도 밀양시 삼랑진읍 버들섬4길 25,경상남도 밀양시 삼랑진읍 송지리 132-3,35.3953448254,128.841216,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍016",1,경상남도 밀양시 삼랑진읍 외송안길 5-8,경상남도 밀양시 삼랑진읍 송지리 769,35.3971591946,128.839357,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍017",1,,경상남도 밀양시 삼랑진읍 송지리 450-3,35.3935999065,128.8409951398,2014,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍018",1,경상남도 밀양시 삼랑진읍 버들섬4길 67-19,경상남도 밀양시 삼랑진읍 송지리 124-2,35.3950043431,128.8454453529,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍019",1,,경상남도 밀양시 삼랑진읍 숭진리 557-7,,,2014,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍020",1,경상남도 밀양시 삼랑진읍 외송2길 33-6,경상남도 밀양시 삼랑진읍 송지리 454-3,35.3929344182,128.8394457360,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍021",1,경상남도 밀양시 삼랑진읍 외송2길 33-13,경상남도 밀양시 삼랑진읍 송지리 453-2,35.3934110057,128.8399868014,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍022",1,경상남도 밀양시 삼랑진읍 외송2길 33-27,경상남도 밀양시 삼랑진읍 송지리 453-5,35.3935682175,128.840274,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍023",1,,경상남도 밀양시 삼랑진읍 송지리 454,35.393116,128.838355,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍024",1,경상남도 밀양시 삼랑진읍 외송2길 17,경상남도 밀양시 삼랑진읍 송지리 439-4,35.39388517,128.8376448,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍025",1,경상남도 밀양시 삼랑진읍 삼랑진로 184,경상남도 밀양시 삼랑진읍 송지리 435-15,35.3937696958,128.8364151045,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍026",1,경상남도 밀양시 삼랑진읍 외송2길 10,경상남도 밀양시 삼랑진읍 송지리 435-11,35.3941533650,128.8369197,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍027",1,,경상남도 밀양시 삼랑진읍 행곡리 산179,,128.8796340803,2017,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍028",1,경상남도 밀양시 삼랑진읍 버들섬1길 10-13,경상남도 밀양시 삼랑진읍 송지리 411-7,35.39494448,128.8372851068,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍029",1,경상남도 밀양시 삼랑진읍 버들섬2길 10,경상남도 밀양시 삼랑진읍 송지리 407-1,35.3955486126,128.8380023,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍030",1,경상남도 밀양시 삼랑진읍 버들섬1길 14,경상남도 밀양시 삼랑진읍 송지리 411-8,35.395077,128.8375277013,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍031",1,경상남도 밀양시 삼랑진읍 버들섬1길 18-3,경상남도 밀양시 삼랑진읍 송지리 412-3,35.3946823249,128.8376050330,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍032",1,경상남도 밀양시 삼랑진읍 버들섬2길 14,경상남도 밀양시 삼랑진읍 송지리 406-2,35.3952384429,128.8382086565,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍033",1,경상남도 밀양시 삼랑진읍 버들섬2길 10,경상남도 밀양시 삼랑진읍 송지리 407-1,35.3955486126,128.8380022980,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍034",1,경상남도 밀양시 삼랑진읍 버들섬2길 5,경상남도 밀양시 삼랑진읍 송지리 399-2,35.39581816,128.8380666371,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍035",1,경상남도 밀양시 삼랑진읍 외송중앙길 16,경상남도 밀양시 삼랑진읍 송지리 392-2,35.3962546861,128.8387714511,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍036",1,경상남도 밀양시 삼랑진읍 외송안길 5-8,경상남도 밀양시 삼랑진읍 송지리 769,35.3971591946,128.839357,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍037",1,경상남도 밀양시 삼랑진읍 버들섬3길 7-1,경상남도 밀양시 삼랑진읍 송지리 385-4,35.395691,128.8389643904,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍038",1,경상남도 밀양시 삼랑진읍 외송중앙길 20-7,경상남도 밀양시 삼랑진읍 송지리 390-9,35.39597889,128.8391764720,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍039",1,경상남도 밀양시 삼랑진읍 외송안길 11,경상남도 밀양시 삼랑진읍 송지리 372,35.396506,128.8393273514,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍040",1,경상남도 밀양시 삼랑진읍 외송안길 5-2,경상남도 밀양시 삼랑진읍 송지리 370,35.3970066308,128.8391555740,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍041",1,경상남도 밀양시 삼랑진읍 외송안길 3,경상남도 밀양시 삼랑진읍 송지리 368-12,35.3971520329,128.8387212,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍042",1,경상남도 밀양시 삼랑진읍 외송안길 3,경상남도 밀양시 삼랑진읍 송지리 368-12,35.3971520329,128.8387443949,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍043",1,경상남도 밀양시 삼랑진읍 외송안길 5-25,경상남도 밀양시 삼랑진읍 송지리 366-6,35.3971153239,128.8397464176,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍044",1,경상남도 밀양시 삼랑진읍 외송안길 5-8,경상남도 밀양시 삼랑진읍 송지리 367-4,35.3971591946,128.8393570355,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍045",1,경상남도 밀양시 삼랑진읍 외송안길 5-8,경상남도 밀양시 삼랑진읍 송지리 367-4,35.3971591946,128.8393570355,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍046",1,,경상남도 밀양시 삼랑진읍 송지리 362-2,35.397828,128.8393970057,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍047",1,경상남도 밀양시 삼랑진읍 외송안길 5-6,경상남도 밀양시 삼랑진읍 송지리 369-6,35.3970693489,128.8392327191,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍048",1,경상남도 밀양시 삼랑진읍 외송안길 9-9,경상남도 밀양시 삼랑진읍 송지리 369-4,35.396965,128.8395414512,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍049",1,경상남도 밀양시 삼랑진읍 외송안길 5-2,경상남도 밀양시 삼랑진읍 송지리 370,35.3970066308,128.8391555740,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍050",1,경상남도 밀양시 삼랑진읍 외송3길 18,경상남도 밀양시 삼랑진읍 송지리 359-3,35.3975430977,128.8376993468,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍051",1,경상남도 밀양시 삼랑진읍 외송3길 18,경상남도 밀양시 삼랑진읍 송지리 359-3,35.3975430977,128.8376993468,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍052",1,경상남도 밀양시 삼랑진읍 외송3길 18,경상남도 밀양시 삼랑진읍 송지리 359-3,35.3975430977,128.8376993468,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍053",1,경상남도 밀양시 삼랑진읍 외송3길 22-2,경상남도 밀양시 삼랑진읍 송지리 360-108,35.3975018933,128.8381152066,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍054",1,경상남도 밀양시 삼랑진읍 외송3길 18,경상남도 밀양시 삼랑진읍 송지리 359-3,35.3975430977,128.8376993468,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍055",1,경상남도 밀양시 삼랑진읍 행곡2길 29-9,경상남도 밀양시 삼랑진읍 행곡리 495-2,35.42722982,128.8967535,2017,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍056",1,,경상남도 밀양시 삼랑진읍 송지리 356-2,35.3976259189,128.8374791573,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍057",1,경상남도 밀양시 삼랑진읍 외송3길 15,경상남도 밀양시 삼랑진읍 송지리 352-5,35.3974501556,128.8372216708,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍058",1,,경상남도 밀양시 삼랑진읍 송지리 352-11,35.397059,128.8369858650,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍059",1,경상남도 밀양시 삼랑진읍 외송3길 5,경상남도 밀양시 삼랑진읍 송지리 352-16,35.396733,128.8366612349,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍060",1,경상남도 밀양시 삼랑진읍 삼랑진로 223,경상남도 밀양시 삼랑진읍 송지리 424-3,35.39634665,128.8362576169,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍061",1,,경상남도 밀양시 삼랑진읍 송지리 359-16,35.3968831481,,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍062",1,경상남도 밀양시 삼랑진읍 삼랑진로 217,경상남도 밀양시 삼랑진읍 송지리 419-7,35.3962688224,128.8368714051,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍063",1,경상남도 밀양시 삼랑진읍 삼랑진로 211,경상남도 밀양시 삼랑진읍 송지리 417-10,35.395994,128.8366884608,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍064",1,,경상남도 밀양시 삼랑진읍 송지리 423-2,35.395972,128.8360287270,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍065",1,경상남도 밀양시 삼랑진읍 삼랑진로 203-1,경상남도 밀양시 삼랑진읍 송지리 418-4,35.3955933956,128.8361424736,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍066",1,경상남도 밀양시 삼랑진읍 외송1길 25,경상남도 밀양시 삼랑진읍 송지리 429-4,35.3948033569,128.8356255652,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍067",1,경상남도 밀양시 삼랑진읍 외송1길 17,경상남도 밀양시 삼랑진읍 송지리 537-7,35.3937858232,128.8355024589,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍068",1,경상남도 밀양시 삼랑진읍 외송1길 13,경상남도 밀양시 삼랑진읍 송지리 536-1,35.3934894489,128.8354225,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍069",1,,경상남도 밀양시 삼랑진읍 송지리 769-7,35.3925290106,128.8351805,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍070",1,경상남도 밀양시 삼랑진읍 삼랑진로 173,경상남도 밀양시 삼랑진읍 송지리 432-28,35.3927591437,128.8354296633,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍071",1,경상남도 밀양시 삼랑진읍 삼랑진로 178,경상남도 밀양시 삼랑진읍 송지리 432-33,35.3930582188,128.8360062987,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍072",1,경상남도 밀양시 삼랑진읍 삼랑진로 180,경상남도 밀양시 삼랑진읍 송지리 432-9,35.3933145359,128.8360817743,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍073",1,경상남도 밀양시 삼랑진읍 삼랑진로 194,경상남도 밀양시 삼랑진읍 송지리 430-7,35.3945697259,128.8362511068,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍074",1,경상남도 밀양시 삼랑진읍 삼랑진로 197,경상남도 밀양시 삼랑진읍 송지리 430-13,35.3948415151,128.8358483029,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍075",1,경상남도 밀양시 삼랑진읍 삼랑진로 201,경상남도 밀양시 삼랑진읍 송지리 418-7,35.3953268184,128.8360364971,2012,,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍076",1,경상남도 밀양시 삼랑진읍 삼랑진로 210,경상남도 밀양시 삼랑진읍 송지리 413-1,35.3957079281,128.8368717772,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍077",1,경상남도 밀양시 삼랑진읍 신천길 8-17,경상남도 밀양시 삼랑진읍 송지리 534-8,35.3930537414,128.8348185007,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍078",1,경상남도 밀양시 삼랑진읍 삼랑진로 228,경상남도 밀양시 삼랑진읍 송지리 782,35.3967180269,128.8356405778,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍079",1,경상남도 밀양시 삼랑진읍 삼랑진로 228,경상남도 밀양시 삼랑진읍 송지리 782,35.3967180269,128.8356405778,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍080",1,경상남도 밀양시 삼랑진읍 신천길 5-28,경상남도 밀양시 삼랑진읍 송지리 519-6,35.3915276790,128.8337991841,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍081",1,경상남도 밀양시 삼랑진읍 신천길 23,경상남도 밀양시 삼랑진읍 송지리 523,35.3937563768,128.8338281943,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍082",1,경상남도 밀양시 삼랑진읍 신천길 27,경상남도 밀양시 삼랑진읍 송지리 525-2,35.3939750616,128.833797,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍083",1,경상남도 밀양시 삼랑진읍 신천길 37,경상남도 밀양시 삼랑진읍 송지리 531-11,35.3950098841,128.8332479729,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍084",1,경상남도 밀양시 삼랑진읍 신천길 41,경상남도 밀양시 삼랑진읍 송지리 542-20,35.3954147840,128.8330993190,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍085",1,경상남도 밀양시 삼랑진읍 신천길 39-2,경상남도 밀양시 삼랑진읍 송지리 529-1,35.3953725372,128.832972,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍086",1,,경상남도 밀양시 삼랑진읍 송지리 530-5,,128.8330630608,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍087",1,경상남도 밀양시 삼랑진읍 신천길 35-4,경상남도 밀양시 삼랑진읍 송지리 527,35.3946916058,128.8330569739,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍088",1,경상남도 밀양시 삼랑진읍 신천길 47,경상남도 밀양시 삼랑진읍 송지리 542-16,35.395847,128.8329347281,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍089",1,경상남도 밀양시 삼랑진읍 신천길 49-1,경상남도 밀양시 삼랑진읍 송지리 542-3,35.3960858213,128.8328721,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍090",1,,경상남도 밀양시 삼랑진읍 송지리 635-3,35.3962413037,128.834426,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍091",1,경상남도 밀양시 삼랑진읍 신천길 39-39,경상남도 밀양시 삼랑진읍 송지리 542-29,35.3960134856,128.8325970339,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍092",1,경상남도 밀양시 삼랑진읍 삼랑진로 255-8,경상남도 밀양시 삼랑진읍 송지리 543-9,35.3960475729,128.8323104451,2012,한전주,055-359-5533,경상남도 밀양시청,2022-05-31
"삼랑진읍093",1,,경상남도 밀양시 삼랑진읍 송지리 542-24,35.3957038530,128.8326838370,2012,전용주,055-359-5533,경상남도 밀양시청,2022-05-31
