"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"곤명면001",1,,경상남도 사천시 곤명면 추천리 71,35.072012,127.9500452,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면002",1,,경상남도 사천시 곤명면 추천리 156,35.07235543,127.9480098,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면003",1,,경상남도 사천시 곤명면 추천리 150,35.072005,127.9463747,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면004",1,경상남도 사천시 곤명면 봉명로 53-14,경상남도 사천시 곤명면 추천리 59-3,35.0731134,127.9486311,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면005",1,,경상남도 사천시 곤명면 추천리 46-4,35.072539,127.949851,2018,,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면006",1,,경상남도 사천시 곤명면 추천리 44-22,35.072978,127.951355,2018,,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면007",1,,경상남도 사천시 곤명면 추천리 339-4,35.07666345,127.9469263,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면008",1,,경상남도 사천시 곤명면 추천리 290-1,35.07685144,127.946363,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면009",1,경상남도 사천시 곤명면 오사길 9-12,경상남도 사천시 곤명면 추천리 292-1,35.0764404,127.9461949,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면010",1,,경상남도 사천시 곤명면 추천리 295-1,35.0768482,127.9461672,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면011",1,,경상남도 사천시 곤명면 추천리 301,35.07641438,127.9453833,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면012",1,,경상남도 사천시 곤명면 추천리 314-1,35.07709945,127.945971,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면013",1,,경상남도 사천시 곤명면 추천리 310,35.07718998,127.9458447,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면014",1,,경상남도 사천시 곤명면 추천리 307-4,35.076808,127.9456486,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면015",1,,경상남도 사천시 곤명면 추천리 246,35.07706607,127.9445996,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면016",1,,경상남도 사천시 곤명면 추천리 338-41,35.077463,127.9477616,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면017",1,,경상남도 사천시 곤명면 추천리 320-8,35.07748555,127.9465078,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면018",1,,경상남도 사천시 곤명면 추천리 424-1,35.08016855,127.9434091,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면019",1,,경상남도 사천시 곤명면 추천리 689,35.07999603,127.9424348,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면020",1,,경상남도 사천시 곤명면 추천리 420,35.079764,127.9426683,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면021",1,경상남도 사천시 곤명면 추동2길 19,경상남도 사천시 곤명면 추천리 698,35.08092154,127.9417259,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면022",1,,경상남도 사천시 곤명면 추천리 426-2,35.080887,127.942961,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면023",1,,경상남도 사천시 곤명면 추천리 427-4,35.081173,127.942834,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면024",1,경상남도 사천시 곤명면 추동2길 14,경상남도 사천시 곤명면 추천리 703-11,35.08115092,127.9415882,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면025",1,,경상남도 사천시 곤명면 추천리 683-1,35.08163616,127.941827,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면026",1,,경상남도 사천시 곤명면 추천리 703-9,35.08127285,127.941597,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면027",1,,경상남도 사천시 곤명면 추천리 707,35.08135646,127.9405147,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면028",1,경상남도 사천시 곤명면 추동2길 68,경상남도 사천시 곤명면 추천리 719,35.08136139,127.9390764,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면029",1,경상남도 사천시 곤명면 추동2길 74,경상남도 사천시 곤명면 추천리 721,35.08114059,127.9387587,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면030",1,,경상남도 사천시 곤명면 추천리 723,35.08087774,127.9387028,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면031",1,경상남도 사천시 곤명면 추동1길 28,경상남도 사천시 곤명면 추천리 675-4,35.08171978,127.9411892,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면032",1,경상남도 사천시 곤명면 봉명로 176,경상남도 사천시 곤명면 추천리 641-13,35.082362,127.941959,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면033",1,,경상남도 사천시 곤명면 추천리 641-17,35.08284811,127.9417785,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면034",1,,경상남도 사천시 곤명면 추천리 601-1,35.08422347,127.940934,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면035",1,,경상남도 사천시 곤명면 추천리 599-1,35.08417234,127.9406139,2018,,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면036",1,,경상남도 사천시 곤명면 추천리 산 19-3,35.0835821,127.9384711,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면037",1,,경상남도 사천시 곤명면 추천리 593,35.08350248,127.9381204,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면038",1,,경상남도 사천시 곤명면 추천리 591-1,35.08313931,127.9372529,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면039",1,,경상남도 사천시 곤명면 추천리 582-3,35.083314,127.9361405,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면040",1,,경상남도 사천시 곤명면 추천리 588-7,35.082373,127.9343125,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면041",1,,경상남도 사천시 곤명면 용산리 52-1,35.082131,127.9333029,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면042",1,,경상남도 사천시 곤명면 추천리 751-19,35.081404,127.933876,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면043",1,,경상남도 사천시 곤명면 용산리 산 11-4,35.081482,127.9323546,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면044",1,,경상남도 사천시 곤명면 용산리 산 11-4,35.08143776,127.9323546,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면045",1,경상남도 사천시 곤명면 다솔사길 157-48,경상남도 사천시 곤명면 용산리 55,35.08076374,127.9318993,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면046",1,,경상남도 사천시 곤명면 용산리 62,35.081616,127.9297556,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면047",1,,경상남도 사천시 곤명면 용산리 65-3,35.08164415,127.9289484,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면048",1,,경상남도 사천시 곤명면 용산리 66,35.08151343,127.9283559,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면049",1,,경상남도 사천시 곤명면 용산리 72,35.081385,127.927396,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면050",1,,경상남도 사천시 곤명면 용산리 74,35.081614,127.9270411,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면051",1,,경상남도 사천시 곤명면 용산리 49-2,35.08228063,127.930446,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면052",1,,경상남도 사천시 곤명면 용산리 42-1,35.083539,127.9268652,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면053",1,,경상남도 사천시 곤명면 용산리 44-1,35.08324689,127.9265027,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면054",1,,경상남도 사천시 곤명면 용산리 43,35.083457,127.9262958,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면055",1,,경상남도 사천시 곤명면 추천리 581-12,35.08391538,127.936427,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면056",1,,경상남도 사천시 곤명면 추천리 581-4,35.084153,127.9370318,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면057",1,,경상남도 사천시 곤명면 추천리 612-7,35.084109,127.937431,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면058",1,경상남도 사천시 곤명면 신산길 58,경상남도 사천시 곤명면 추천리 618,35.08507606,127.9377224,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면059",1,,경상남도 사천시 곤명면 추천리 617-8,35.08499809,127.9379564,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면060",1,경상남도 사천시 곤명면 신산길 58-16,경상남도 사천시 곤명면 추천리 615,35.08533114,127.937516,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면061",1,,경상남도 사천시 곤명면 추천리 580-3,35.08522861,127.936724,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면062",1,,경상남도 사천시 곤명면 추천리 산 6-5,35.085835,127.9355211,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면063",1,,경상남도 사천시 곤명면 추천리 573,35.08564065,127.9346978,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면064",1,,경상남도 사천시 곤명면 추천리 622-3,35.085208,127.9387215,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면065",1,,경상남도 사천시 곤명면 추천리 621-8,35.085517,127.9386885,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면066",1,경상남도 사천시 곤명면 신산길 36,경상남도 사천시 곤명면 추천리 622-2,35.08552714,127.9388223,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면067",1,,경상남도 사천시 곤명면 추천리 544-1,35.0860092,127.9398182,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면068",1,경상남도 사천시 곤명면 신산길 4,경상남도 사천시 곤명면 추천리 554-3,35.086393,127.940298,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면069",1,,경상남도 사천시 곤명면 추천리 503-2,35.0872705,127.940238,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면070",1,,경상남도 사천시 곤명면 추천리 556-3,35.087216,127.9397882,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면071",1,,경상남도 사천시 곤명면 추천리 산 3-7,35.08843134,127.9337018,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면072",1,,경상남도 사천시 곤명면 용산리 산 4-1,35.089412,127.9329007,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면073",1,,경상남도 사천시 곤명면 용산리 산 6-1,35.08961914,127.9308129,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면074",1,,경상남도 사천시 곤명면 용산리 산 9,35.0895152,127.9293969,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면075",1,,경상남도 사천시 곤명면 용산리 산 10-2,35.08954033,127.9287942,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면076",1,경상남도 사천시 곤명면 용산마을길 222-30,경상남도 사천시 곤명면 용산리 168,35.090256,127.9285426,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면077",1,,경상남도 사천시 곤명면 용산리 154-6,35.08887496,127.9250892,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면078",1,,경상남도 사천시 곤명면 용산리 산 11-6,35.08937376,127.9222595,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면079",1,,경상남도 사천시 곤명면 용산리 105-2,35.089588,127.921631,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면080",1,,경상남도 사천시 곤명면 용산리 109-1,35.08950057,127.921099,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면081",1,,경상남도 사천시 곤명면 용산리 103,35.08983937,127.9217531,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면082",1,,경상남도 사천시 곤명면 용산리 249-2,35.09119859,127.9204929,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면083",1,,경상남도 사천시 곤명면 용산리 산 34,35.0926758,127.9185872,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면084",1,,경상남도 사천시 곤명면 용산리 237,35.09375576,127.9164646,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면085",1,,경상남도 사천시 곤명면 용산리 233,35.094378,127.9150027,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면086",1,,경상남도 사천시 곤명면 용산리 225-1,35.09529748,127.9154422,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면087",1,,경상남도 사천시 곤명면 추천리 439-2,35.07952336,127.9445678,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면088",1,,경상남도 사천시 곤명면 추천리 230-1,35.07693564,127.9384638,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면089",1,,경상남도 사천시 곤명면 조장리 46-1,35.07927318,127.9514392,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면090",1,,경상남도 사천시 곤명면 조장리 149-1,35.08263624,127.949172,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면091",1,,경상남도 사천시 곤명면 조장리 149-2,35.08255268,127.9491549,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면092",1,,경상남도 사천시 곤명면 조장리 161-2,35.08350665,127.9487558,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면093",1,,경상남도 사천시 곤명면 조장리 166,35.08450386,127.948217,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면094",1,,경상남도 사천시 곤명면 조장리 120-1,35.08508991,127.9470555,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면095",1,,경상남도 사천시 곤명면 조장리 121,35.08567574,127.9471816,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면096",1,,경상남도 사천시 곤명면 조장리 490-3,35.094469,127.942539,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면097",1,,경상남도 사천시 곤명면 조장리 348-2,35.09507157,127.9429127,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면098",1,경상남도 사천시 곤명면 조장1길 82,경상남도 사천시 곤명면 조장리 382,35.09570823,127.9433103,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면099",1,,경상남도 사천시 곤명면 조장리 496-7,35.096042,127.9432118,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면100",1,경상남도 사천시 곤명면 조장1길 104,경상남도 사천시 곤명면 조장리 394,35.09649626,127.943393,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면101",1,경상남도 사천시 곤명면 조장1길 116,경상남도 사천시 곤명면 조장리 395-3,35.09700491,127.9430751,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면102",1,경상남도 사천시 곤명면 조장1길 82-15,경상남도 사천시 곤명면 조장리 367-1,35.09528778,127.944165,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면103",1,,경상남도 사천시 곤명면 조장리 344,35.09469264,127.9444303,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면104",1,,경상남도 사천시 곤명면 조장리 303-11,35.09437461,127.941708,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면105",1,,경상남도 사천시 곤명면 조장리 306-1,35.0945491,127.9414095,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면106",1,,경상남도 사천시 곤명면 조장리 303-5,35.09427359,127.9410016,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면107",1,,경상남도 사천시 곤명면 조장리 291-5,35.094282,127.9397886,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면108",1,,경상남도 사천시 곤명면 조장리 242-1,35.09012948,127.9405296,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면109",1,,경상남도 사천시 곤명면 조장리 247-2,35.09102468,127.9406878,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면110",1,경상남도 사천시 곤명면 봉명로 277,경상남도 사천시 곤명면 조장리 246,35.09092921,127.939866,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면111",1,,경상남도 사천시 곤명면 조장리 249-1,35.09164292,127.9393928,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면112",1,,경상남도 사천시 곤명면 조장리 302-8,35.09338116,127.9405746,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면113",1,,경상남도 사천시 곤명면 조장리 440-18,35.09789942,127.9375155,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면114",1,,경상남도 사천시 곤명면 조장리 475-5,35.09730208,127.936775,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면115",1,,경상남도 사천시 곤명면 조장리 464-6,35.0983737,127.9369238,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면116",1,,경상남도 사천시 곤명면 조장리 464-3,35.09844848,127.9368668,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면117",1,,경상남도 사천시 곤명면 봉계리 679-5,35.09948592,127.9369289,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면118",1,,경상남도 사천시 곤명면 조장리 439-7,35.09929884,127.9386996,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면119",1,,경상남도 사천시 곤명면 봉계리 680,35.10007055,127.937482,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면120",1,,경상남도 사천시 곤명면 봉계리 710-9,35.10003273,127.936697,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면121",1,,경상남도 사천시 곤명면 봉계리 102-2,35.104772,127.936886,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면122",1,,경상남도 사천시 곤명면 봉계리 111-2,35.1052607,127.9370223,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면123",1,,경상남도 사천시 곤명면 봉계리 119-2,35.106393,127.9377688,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면124",1,,경상남도 사천시 곤명면 봉계리 752-117,35.105534,127.9398159,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면125",1,,경상남도 사천시 곤명면 봉계리 686-5,35.10460132,127.939591,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면126",1,경상남도 사천시 곤명면 머간길 66,경상남도 사천시 곤명면 봉계리 4446,35.104571,127.9399415,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면127",1,,경상남도 사천시 곤명면 봉계리 34,35.10459844,127.9411339,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면128",1,,경상남도 사천시 곤명면 봉계리 149-2,35.10766104,127.9382935,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면129",1,경상남도 사천시 곤명면 오저길 6,경상남도 사천시 곤명면 봉계리 148-2,35.10757721,127.9379847,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면130",1,,경상남도 사천시 곤명면 봉계리 128,35.107013,127.9371547,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면131",1,,경상남도 사천시 곤명면 봉계리 560,35.10735452,127.936451,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면132",1,경상남도 사천시 곤명면 봉계길 64,경상남도 사천시 곤명면 봉계리 154,35.10826154,127.937945,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면133",1,,경상남도 사천시 곤명면 봉계리 143-1,35.108318,127.9375917,2018,,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면134",1,경상남도 사천시 곤명면 봉계길 52,경상남도 사천시 곤명면 봉계리 157,35.10879465,127.9379128,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면135",1,,경상남도 사천시 곤명면 봉계리 216-2,35.111326,127.938859,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면136",1,,경상남도 사천시 곤명면 봉계리 282-8,35.111549,127.9388281,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면137",1,,경상남도 사천시 곤명면 봉계리 285-2,35.112017,127.939248,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면138",1,,경상남도 사천시 곤명면 봉계리 284-1,35.11200369,127.9391291,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면139",1,,경상남도 사천시 곤명면 봉계리 270-2,35.112479,127.9393493,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면140",1,,경상남도 사천시 곤명면 봉계리 219-7,35.111637,127.9380752,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면141",1,,경상남도 사천시 곤명면 봉계리 282-1,35.11167319,127.939483,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면142",1,,경상남도 사천시 곤명면 봉계리 산 45-4,35.111609,127.9400154,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면143",1,,경상남도 사천시 곤명면 봉계리 754-3,35.11191923,127.9406918,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면144",1,경상남도 사천시 곤명면 원전새길 33-17,경상남도 사천시 곤명면 봉계리 993-2,35.11148287,127.9412362,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면145",1,,경상남도 사천시 곤명면 봉계리 산 45-5,35.111991,127.9405454,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면146",1,,경상남도 사천시 곤명면 봉계리 산 45-1,35.11221003,127.9403814,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면147",1,,경상남도 사천시 곤명면 봉계리 255,35.11282206,127.9379102,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면148",1,,경상남도 사천시 곤명면 봉계리 254-3,35.11388434,127.9382892,2018,전용주,055-831-2835,경상남도 사천시청,2023-05-20
"곤명면149",1,,경상남도 사천시 곤명면 봉계리 756-4,35.11491753,127.9376209,2018,한전주,055-831-2835,경상남도 사천시청,2023-05-20
