"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"단성0661",1,경상남도 산청군 덕천로 632,경상남도 산청군 단성면 호리 산93,35.226482,127.894992,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0660",1,경상남도 산청군 덕천로 632-7,경상남도 산청군 단성면 호리 304,35.226824,127.895039,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0662",1,경상남도 산청군 덕천로 632-10,경상남도 산청군 단성면 호리 289,35.227107,127.895537,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성1021",1,,경상남도 산청군 단성면 호리 300,35.227256,127.894891,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성1155",1,경상남도 산청군 단성면 덕천로 643-14,경상남도 산청군 단성면 호리 382,35.227313,127.893371,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0659",1,경상남도 산청군 덕천로 632-36,경상남도 산청군 단성면 호리 286-2,35.228774,127.897104,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0658",1,경상남도 산청군 덕천로708번길 107,경상남도 산청군 단성면 호리 20,35.229086,127.902116,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성1020",1,,경상남도 산청군 단성면 호리 447,35.229239,127.895026,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0657",1,경상남도 산청군 덕천로708번길 63-3,경상남도 산청군 단성면 호리 251-2,35.229384,127.900807,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0870",1,,경상남도 산청군 단성면 호리 583-18,35.230140,127.899387,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0878",1,,경상남도 산청군 시천면 내공리 397-1,35.230502,127.820121,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0591",1,,경상남도 산청군 시천면 반천리 산 79-12,35.230634,127.792368,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0656",1,경상남도 산청군 덕천로708번길 63,경상남도 산청군 단성면 호리 251-5,35.230918,127.899422,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0648",1,경상남도 산청군 덕천로 683-6,경상남도 산청군 단성면 호리 450,35.231086,127.895240,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0871",1,,경상남도 산청군 단성면 호리 220-12,35.231137,127.897441,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0655",1,경상남도 산청군 덕천로708번길 59,경상남도 산청군 단성면 호리 251-4,35.231326,127.899675,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0544",1,,경상남도 산청군 시천면 반천리 231,35.231513,127.790520,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0403",1,경상남도 산청군 반천로111번길 29-15,경상남도 산청군 시천면 반천리 123,35.231964,127.798605,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0272",1,,경상남도 산청군 시천면 반천리 117-2,35.232053,127.797617,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0698",1,,경상남도 산청군 시천면 내공리 310-1,35.232053,127.820975,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0654",1,경상남도 산청군 덕천로708번길 49,경상남도 산청군 단성면 호리 212-1,35.232195,127.899906,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0649",1,경상남도 산청군 덕천로708번길 36,경상남도 산청군 단성면 호리 184,35.232238,127.898175,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0401",1,경상남도 산청군 반천로111번길 36,경상남도 산청군 시천면 반천리 113,35.232239,127.797177,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0509",1,,경상남도 산청군 시천면 반천리 317-3,35.232253,127.795016,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0650",1,경상남도 산청군 덕천로708번길 36,경상남도 산청군 단성면 호리 184,35.232280,127.898892,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0402",1,경상남도 산청군 반천로111번길 25-12,경상남도 산청군 시천면 반천리 110,35.232373,127.798706,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0652",1,경상남도 산청군 덕천로708번길 43,경상남도 산청군 단성면 호리 189,35.232437,127.899769,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0273",1,경상남도 산청군 내공길 124,경상남도 산청군 시천면 내공리 313,35.232458,127.821293,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0651",1,경상남도 산청군 덕천로708번길 41,경상남도 산청군 단성면 호리 186-2,35.232461,127.899380,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0271",1,경상남도 산청군 반천로111번길 31,경상남도 산청군 시천면 반천리 118,35.232498,127.798056,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0653",1,경상남도 산청군 덕천로708번길 45-11,경상남도 산청군 단성면 호리 193,35.232937,127.899951,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0270",1,,경상남도 산청군 시천면 반천리 674,35.232943,127.798075,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0274",1,,경상남도 산청군 시천면 내공리 793,35.232963,127.821245,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0266",1,경상남도 산청군 반천로 159-7,경상남도 산청군 시천면 반천리 313,35.232971,127.794017,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성1153",1,,경상남도 산청군 단성면 호리 171,35.233040,127.897185,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성1154",1,,경상남도 산청군 단성면 호리 597-2,35.233055,127.892692,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0647",1,경상남도 산청군 덕천로 707,경상남도 산청군 단성면 호리 411,35.233089,127.895265,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0879",1,,경상남도 산청군 시천면 반천리 307-10,35.233094,127.793239,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0704",1,,경상남도 산청군 시천면 반천리 322-4,35.233213,127.795805,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0510",1,,경상남도 산청군 시천면 반천리 298-2,35.233252,127.791605,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0768",1,,경상남도 산청군 시천면 중태리 814-1,35.233396,127.838417,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0275",1,,경상남도 산청군 시천면 내공리 320-7,35.233419,127.821143,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0625",1,,경상남도 산청군 시천면 반천리 297-8,35.233469,127.791129,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0269",1,경상남도 산청군 반천로111번길 18,경상남도 산청군 시천면 반천리 91-3,35.233668,127.797886,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0267",1,,경상남도 산청군 시천면 반천리 335-1,35.233761,127.796925,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0268",1,경상남도 산청군 반천로111번길 12,경상남도 산청군 시천면 반천리 87-1,35.233952,127.798297,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0534",1,,경상남도 산청군 시천면 내공리 367-4,35.234112,127.823758,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0880",1,,경상남도 산청군 시천면 반천리 243-2,35.234229,127.788641,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0874",1,,경상남도 산청군 시천면 중태리 793,35.234253,127.838655,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0881",1,,경상남도 산청군 시천면 반천리 239-1,35.234278,127.787249,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0705",1,,경상남도 산청군 시천면 반천리 291,35.234348,127.790001,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0325",1,,경상남도 산청군 시천면 반천리 31-21,35.234563,127.798901,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0533",1,,경상남도 산청군 시천면 내공리 362-0,35.234664,127.823218,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0265",1,경상남도 산청군 반천로 202-11,경상남도 산청군 시천면 반천리 292-5,35.234728,127.791151,,한전주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"단성0646",1,경상남도 산청군 덕천로 728-31,경상남도 산청군 단성면 호리 134-1,35.234819,127.898244,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
"시천0864",1,,경상남도 산청군 시천면 반천리 697,35.234848,127.781135,,전용주,055-970-6120,경상남도 산청군청 농식품유통과,2022-11-18
