"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"한전주",1,,경상남도 양산시 북부동 687-6,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 691,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-12,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-2,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 698-16,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 691,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 692,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 692-1,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 693,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-12,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-1,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-1,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696-3,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 696,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 693-1,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 694-12,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 693-5,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 693-6,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 692-7,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 148-19,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
"한전주",1,,경상남도 양산시 북부동 230-8,,,,,055-392-2483,경상남도 양산시청 도로관리과,2022-09-23
