"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가락리001",1,경상남도 의령군 용덕면 덕암로6길 18,경상남도 의령군 용덕면 가락리 189-5,35.3414921,128.2708828,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리002",1,,경상남도 의령군 용덕면 가락리 189-10,35.340829,128.271578,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리003",1,,경상남도 의령군 용덕면 가락리 68-2,35.339853,128.271011,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리004",1,,경상남도 의령군 용덕면 가락리 67-20,35.340831,128.272499,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리005",1,,경상남도 의령군 용덕면 가락리 67-12,35.341006,128.273372,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리006",1,경상남도 의령군 용덕면 덕암로6길 25-14,경상남도 의령군 용덕면 가락리 68-2,35.33968489,128.2709604,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리007",1,,경상남도 의령군 용덕면 가락리 69-1,35.339699,128.271198,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리008",1,,경상남도 의령군 용덕면 가락리 117,35.3390007,128.2719727,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리009",1,경상남도 의령군 용덕면 덕암로6길 25,경상남도 의령군 용덕면 가락리 134-6,35.34074412,128.270508,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리010",1,,경상남도 의령군 용덕면 가락리 619,35.34086609,128.2698669,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리011",1,,경상남도 의령군 용덕면 가락리 139,35.34107971,128.269928,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리012",1,경상남도 의령군 용덕면 덕암로6길 44,경상남도 의령군 용덕면 가락리 350,35.34073414,128.2688159,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리013",1,,경상남도 의령군 용덕면 가락리 627,35.34033585,128.268631,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리014",1,경상남도 의령군 용덕면 덕암로6길 47,경상남도 의령군 용덕면 가락리 423,35.34039244,128.2682261,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리015",1,경상남도 의령군 용덕면 덕암로6길 55,경상남도 의령군 용덕면 가락리 65-13,35.3400061,128.2676825,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리016",1,,경상남도 의령군 용덕면 가락리 65-11,35.34000397,128.2673492,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리017",1,,경상남도 의령군 용덕면 가락리 630,35.3404274,128.2671356,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리018",1,경상남도 의령군 용덕면 덕암로6길 62,경상남도 의령군 용덕면 가락리 411,35.33998947,128.2668439,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리019",1,,경상남도 의령군 용덕면 가락리 631,35.34025192,128.2666931,2018,,055-570-2980,경상남도 의령군청,2022-12-02
"가락리020",1,,경상남도 의령군 용덕면 가락리 405,35.34006882,128.2663574,2018,,055-570-2980,경상남도 의령군청,2022-12-02
