"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가호동001",1,,경상남도 진주시 호탄동 457-1,35.1624985840,128.1184723263,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동002",1,,경상남도 진주시 호탄동 621-3,35.1622256367,128.1167594455,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동003",1,,경상남도 진주시 호탄동 621-20,35.1619166253,128.1168621204,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동004",1,,경상남도 진주시 호탄동 624-10,35.1624321888,128.1170652985,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동005",1,,경상남도 진주시 호탄동 624-15,35.1624273248,128.1174167724,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동006",1,,경상남도 진주시 호탄동 623-4,35.1626927937,128.1182138140,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동007",1,,경상남도 진주시 호탄동 623-3,35.1627279488,128.1180082872,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동008",1,,경상남도 진주시 호탄동 624-6,35.1626584734,128.1174401289,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동009",1,,경상남도 진주시 호탄동 624-5,35.1625889572,128.1171106852,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동010",1,,경상남도 진주시 호탄동 624-16,35.1625766305,128.1168347056,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동011",1,,경상남도 진주시 호탄동 628-4,35.1630096022,128.1174127740,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동012",1,,경상남도 진주시 호탄동 629-6,35.1629927057,128.1177983290,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동013",1,,경상남도 진주시 호탄동 641-4,35.1642044227,128.1176607031,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동014",1,,경상남도 진주시 호탄동 634-6,35.1638841120,128.1173468102,2010,,055-749-8881,경상남도 진주시청,2023-01-06
"가호동015",1,,경상남도 진주시 호탄동 634-7,35.1637704202,128.1171945610,2010,,055-749-8881,경상남도 진주시청,2023-01-06
