"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"계성 계성장마로 228 좌(부착형 cdm70W)",1,경상남도 창녕군 계성면 계성장마로 228,,35.47795779,128.4922263,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성면사무소 앞",1,경상남도 창녕군 계성면 영산계성로 256,,35.46883565,128.5122399,2010,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성면사무소 앞 (유성주유소)",1,경상남도 창녕군 계성면 영산계성로 255,,35.46832737,128.5126442,2012,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 244 앞",1,경상남도 창녕군 계성면 영산계성로 244,,35.46842441,128.5141046,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 237 옆",1,경상남도 창녕군 계성면 영산계성로 237,,35.46797648,128.5147528,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 229-1 앞",1,경상남도 창녕군 계성면 영산계성로 229-1,,35.46774092,128.5157134,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 229-1 옆",1,경상남도 창녕군 계성면 영산계성로 229-1,,35.46774092,128.5157134,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 217 앞",1,경상남도 창녕군 계성면 영산계성로 217,,35.46716152,128.5162092,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 210 앞",1,경상남도 창녕군 계성면 영산계성로 210,,35.46655041,128.5169336,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 203 앞",1,경상남도 창녕군 계성면 영산계성로 203,,35.46593418,128.5169176,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 224 옆",1,경상남도 창녕군 계성면 영산계성로 224,,35.46758702,128.516486,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 240 앞",1,경상남도 창녕군 계성면 영산계성로 240,,35.46823097,128.5145813,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리경로당 옆",1,경상남도 창녕군 계성면 명리길 97,,35.4690993,128.5163381,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리북길 15 옆",1,경상남도 창녕군 계성면 명리북길 15,,35.46911561,128.5164751,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리1길 16 앞",1,경상남도 창녕군 계성면 명리1길 16,,35.46817525,128.5167218,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성농협",1,경상남도 창녕군 계성면 계성장마로 407,,35.48482813,128.5096523,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리1길 16 옆",1,경상남도 창녕군 계성면 명리1길 16,,35.46817525,128.5167218,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리남길 8-7 옆",1,경상남도 창녕군 계성면 명리남길 8-7,,35.46784769,128.517544,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리남길 12-2 뒤",1,경상남도 창녕군 계성면 명리남길 12-2,,35.46743323,128.5186819,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 36-6 옆",1,경상남도 창녕군 계성면 명리3길 36-6,,35.46805157,128.5185305,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 39 앞",1,경상남도 창녕군 계성면 명리3길 39,,35.4682174,128.5193885,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 47 앞",1,경상남도 창녕군 계성면 명리3길 47,,35.46842343,128.5202032,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 33 앞",1,경상남도 창녕군 계성면 명리3길 33,,35.46843658,128.5188726,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리중앙로 54 옆",1,경상남도 창녕군 계성면 명리중앙로 54,,35.47059834,128.5205438,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리길 30 앞",1,경상남도 창녕군 계성면 명리길 30,,35.47015681,128.5216767,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 7-4 앞",1,경상남도 창녕군 계성면 명리3길 7-4,,35.4696718,128.5204029,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리아동센터 옆",1,경상남도 창녕군 계성면 명리3길 3-4,,35.4699834,128.5202766,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 17 옆",1,경상남도 창녕군 계성면 명리3길 17,,35.46916625,128.5196134,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 21 앞",1,경상남도 창녕군 계성면 명리3길 21,,35.4689489,128.5191246,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리3길 29-4 옆",1,경상남도 창녕군 계성면 명리3길 29-4,,35.46858102,128.5188533,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 229-6 옆",1,경상남도 창녕군 계성면 영산계성로 229-6,,35.46772345,128.5153826,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 명리월평길 112-5 앞",1,경상남도 창녕군 계성면 명리월평길 112-5,,35.46787208,128.514742,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 449 앞",1,경상남도 창녕군 계성면 영산계성로 449,,35.48452273,128.5104355,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 453 옆",1,경상남도 창녕군 계성면 영산계성로 453,,35.48477905,128.510405,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교3길 18-6 옆",1,경상남도 창녕군 계성면 계교3길 18-6,,35.48393026,128.5085205,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성장마로 385 앞",1,경상남도 창녕군 계성면 계성장마로 385,,35.48400331,128.5075786,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성장마로 375 앞",1,경상남도 창녕군 계성면 계성장마로 375,,35.48345724,128.5065636,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교새길 7 옆",1,경상남도 창녕군 계성면 계교새길 7,,35.48284919,128.5067594,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교새길 12 (입구)",1,경상남도 창녕군 계성면 계교새길 12,,35.48245602,128.5062011,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교2길 8 옆",1,경상남도 창녕군 계성면 계교2길 8,,35.48523422,128.5097525,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교2길 14 (입구)",1,경상남도 창녕군 계성면 계교2길 14,,35.48591109,128.5095315,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교2길 26 뒤",1,경상남도 창녕군 계성면 계교2길 26,,35.48637072,128.5093859,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교2길 26 앞",1,경상남도 창녕군 계성면 계교2길 26,,35.48637072,128.5093859,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 469 앞",1,경상남도 창녕군 계성면 영산계성로 469,,35.48639294,128.5099152,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 영산계성로 465 앞",1,경상남도 창녕군 계성면 영산계성로 465,,35.48609359,128.5099272,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 9 앞",1,경상남도 창녕군 계성면 계교1길 9,,35.485533,128.5112257,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 20-6 앞",1,경상남도 창녕군 계성면 계교1길 20-6,,35.48479483,128.5108725,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 34 앞 (계교경로당)",1,경상남도 창녕군 계성면 계교1길 34,,35.48466661,128.5113241,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 28 옆",1,경상남도 창녕군 계성면 계교1길 28,,35.48477104,128.5119078,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 22 옆",1,경상남도 창녕군 계성면 계교1길 22,,35.4848338,128.5117901,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계교1길 13 앞",1,경상남도 창녕군 계성면 계교1길 13,,35.4854447,128.511656,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당1길 31 앞",1,경상남도 창녕군 계성면 계성신당1길 31,,35.48883852,128.5161183,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당1길 23 옆",1,경상남도 창녕군 계성면 계성신당1길 23,,35.48885387,128.5151842,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당2길 30 앞",1,경상남도 창녕군 계성면 계성신당2길 30,,35.48942083,128.5142428,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당2길 22 앞",1,경상남도 창녕군 계성면 계성신당2길 22,,35.48957169,128.5139988,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당2길 8 옆",1,경상남도 창녕군 계성면 계성신당2길 8,,35.48897415,128.5139303,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당1길 15 옆",1,경상남도 창녕군 계성면 계성신당1길 15,,35.48873541,128.5142828,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당2길 11-3 앞",1,경상남도 창녕군 계성면 계성신당2길 11-3,,35.48861235,128.5134607,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 뽕나무길 16-1 앞",1,경상남도 창녕군 계성면 뽕나무길 16-1,,35.48949147,128.5129218,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 뽕나무길 17-1 옆",1,경상남도 창녕군 계성면 뽕나무길 17-1,,35.48929418,128.5125567,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 계성신당길 85 앞",1,경상남도 창녕군 계성면 계성신당길 85,,35.48950338,128.5191457,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 전평길 15-70 앞",1,경상남도 창녕군 계성면 전평길 15-70,,35.49553799,128.5472145,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 전평길 15-22 앞",1,경상남도 창녕군 계성면 전평길 15-22,,35.49627731,128.547189,,,055-530-1783,경상남도 창녕군청,2022-01-18
"계성 전평길 15-42 앞",1,경상남도 창녕군 계성면 전평길 15-42,,35.49613063,128.5468203,,,055-530-1783,경상남도 창녕군청,2022-01-18
