"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대산면001",1,,경상남도 창원시 의창구 대산면 제동리 510-18,35.323671,128.712666,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면002",1,,경상남도 창원시 의창구 대산면 제동리 510-17,35.323004,128.712577,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면003",1,,경상남도 창원시 의창구 대산면 제동리 400-13,35.320224,128.713081,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면004",1,,경상남도 창원시 의창구 대산면 제동리 400-13,35.320629,128.713023,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면005",1,,경상남도 창원시 의창구 대산면 제동리 388-69,35.321137,128.712957,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면006",1,,경상남도 창원시 의창구 대산면 제동리 489-2,35.322019,128.712881,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면007",1,,경상남도 창원시 의창구 대산면 제동리 388-4,35.322501,128.713121,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면008",1,,경상남도 창원시 의창구 대산면 제동리 388-4,35.323051,128.713439,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면009",1,,경상남도 창원시 의창구 대산면 제동리 489-2,35.323748,128.714377,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면010",1,,경상남도 창원시 의창구 대산면 제동리 388-74,35.324647,128.715713,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면011",1,,경상남도 창원시 의창구 대산면 제동리 388-5,35.325172,128.7162317942,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면012",1,,경상남도 창원시 의창구 대산면 제동리 602,35.329703,128.7183709296,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면013",1,,경상남도 창원시 의창구 대산면 제동리 600,35.330196,128.717724,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면014",1,,경상남도 창원시 의창구 대산면 제동리 600,35.330773,128.716982,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면015",1,,경상남도 창원시 의창구 대산면 제동리 618,35.331472,128.716096,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면016",1,,경상남도 창원시 의창구 대산면 제동리 592,35.332182,128.715189,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면017",1,,경상남도 창원시 의창구 대산면 우암리 364-1,35.3292604588,128.718594,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면018",1,,경상남도 창원시 의창구 대산면 제동리 371-4,35.328918,128.717562,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면019",1,,경상남도 창원시 의창구 대산면 제동리 489-2,35.3274760752,128.716492,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면020",1,,경상남도 창원시 의창구 대산면 제동리 605,35.328575,128.715952,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면021",1,,경상남도 창원시 의창구 대산면 제동리 606,35.328009,128.715241,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면022",1,,경상남도 창원시 의창구 대산면 제동리 374,35.327633,128.714758,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면023",1,,경상남도 창원시 의창구 대산면 제동리 377-39,35.326951,128.713792,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면024",1,,경상남도 창원시 의창구 대산면 제동리 377-6,35.326453,128.713849,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면025",1,,경상남도 창원시 의창구 대산면 제동리,35.326876,128.714376,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면026",1,,경상남도 창원시 의창구 대산면 제동리 388-59,35.325399,128.7159896683,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면027",1,,경상남도 창원시 의창구 대산면 우암리 368-24,35.325726,128.717038,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면028",1,,경상남도 창원시 의창구 대산면 우암리 1046,35.326066,128.7174412544,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면029",1,,경상남도 창원시 의창구 대산면 우암리 1388,35.326254,128.718897,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면030",1,,경상남도 창원시 의창구 대산면 우암리 371-25,35.3258074639,128.719379,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면031",1,,경상남도 창원시 의창구 대산면 우암리 377-15,35.325239,128.720139,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면032",1,,경상남도 창원시 의창구 대산면 우암리 472-3,35.324794,128.720427,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면033",1,,경상남도 창원시 의창구 대산면 우암리 472-3,35.324108,128.721068,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면034",1,,경상남도 창원시 의창구 대산면 우암리 470-25,35.323356,128.721571,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면035",1,,경상남도 창원시 의창구 대산면 우암리 377-37,35.322999,128.7217086032,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면036",1,,경상남도 창원시 의창구 대산면 우암리 470-13,35.322472,128.722554,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면037",1,,경상남도 창원시 의창구 대산면 우암리 472-3,35.321828,128.723282,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면038",1,,경상남도 창원시 의창구 대산면 우암리 470-23,35.321641,128.723632,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면039",1,,경상남도 창원시 의창구 대산면 우암리 476,35.321108,128.723304,,전용주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면040",1,,경상남도 창원시 의창구 대산면 우암리 477-13,35.3212193231,128.723843,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면041",1,,경상남도 창원시 의창구 대산면 우암리 477-13,35.321199,128.724312,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면042",1,,경상남도 창원시 의창구 대산면 우암리 477-13,35.320319,128.725889,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면043",1,,경상남도 창원시 의창구 대산면 우암리 950,35.321996,128.724452,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면044",1,,경상남도 창원시 의창구 대산면 우암리 951,35.322653,128.725189,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면045",1,,경상남도 창원시 의창구 대산면 우암리 951,35.3286775677,128.725918,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면046",1,,경상남도 창원시 의창구 대산면 우암리 950,35.323951,128.726708,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면047",1,,경상남도 창원시 의창구 대산면 우암리 950,35.324697,128.727562,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면048",1,,경상남도 창원시 의창구 대산면 우암리 950,35.325328,128.728302,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면049",1,,경상남도 창원시 의창구 대산면 우암리 950,35.325967,128.729054,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면050",1,,경상남도 창원시 의창구 대산면 우암리 950,35.326261,128.729401,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면051",1,,경상남도 창원시 의창구 대산면 우암리 950,35.3286775677,128.729746,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면052",1,,경상남도 창원시 의창구 대산면 우암리 950,35.326903,128.730149,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면053",1,,경상남도 창원시 의창구 대산면 우암리 950,35.327239,128.730544,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면054",1,,경상남도 창원시 의창구 대산면 우암리 950,35.327664,128.7323414845,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면055",1,,경상남도 창원시 의창구 대산면 우암리 950,35.327965,128.731391,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면056",1,,경상남도 창원시 의창구 대산면 우암리 950,35.328367,128.731857,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면057",1,,경상남도 창원시 의창구 대산면 우암리 417-20,35.3286775677,128.732337,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면058",1,,경상남도 창원시 의창구 대산면 우암리 477-11,35.320376,128.740667,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면059",1,,경상남도 창원시 의창구 대산면 우암리 477-11,35.320234,128.741065,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면060",1,,경상남도 창원시 의창구 대산면 우암리 5-13,35.319487,128.740752,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
"대산면061",1,,경상남도 창원시 의창구 대산면 우암리 5-1,35.318854,128.740266,,한전주,055-212-5331,대산면행정복지센터,2021-10-20
