"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광도1",1,경상남도 통영시 광도면 상노산길 7-16,경상남도 통영시 광도면 노산리 875-5,34.902324,128.3945724387,2009,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도10",1,,경상남도 통영시 광도면 죽림리 69-36,34.887989,128.414128,2009,전용주,055-650-5510,경상남도 통영시청,2022-12-15
"광도100",1,,경상남도 통영시 광도면 용호리 158-22,34.874107,128.392138,2009,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1000",1,,경상남도 통영시 광도면 죽림리 1570-24,34.8854936725,128.4179345575,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1001",1,,경상남도 통영시 광도면 죽림리 1570-24,34.8854936725,128.4179345575,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1002",1,,경상남도 통영시 광도면 안정리 46-5,34.9386002528,128.428122,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1003",1,,경상남도 통영시 광도면 용호리 757,34.880859,128.3863509712,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1004",1,,경상남도 통영시 광도면 용호리 417-1,34.881112,128.3862897274,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1005",1,,경상남도 통영시 광도면 용호리 417-3,34.880851,128.3863520737,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1006",1,,경상남도 통영시 광도면 죽림리 1580-53,34.8782458563,128.4217475239,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1007",1,,경상남도 통영시 광도면 안정리 1269-1,34.947024,128.406894,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1008",1,,경상남도 통영시 광도면 안정리 1323-1,34.946967,128.407561,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1009",1,,경상남도 통영시 광도면 안정리 1326-2,34.946812,128.408108,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도101",1,,경상남도 통영시 광도면 죽림리 693-2,34.868289,128.4120388844,2009,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1010",1,,경상남도 통영시 광도면 안정리 1363-6,34.946524,128.4080384873,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1011",1,,경상남도 통영시 광도면 안정리 1370-1,34.9471435573,128.409456,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1012",1,,경상남도 통영시 광도면 안정리 1086-1,34.946279,128.411192,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1013",1,,경상남도 통영시 광도면 안정리 1127,34.9454903469,128.4125255634,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1014",1,,경상남도 통영시 광도면 안정리 1127-1,34.9460489431,128.412374,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1015",1,,경상남도 통영시 광도면 안정리 1143-6,34.9462666313,128.411619,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1016",1,,경상남도 통영시 광도면 안정리 1075,34.946345,128.410207,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1017",1,,경상남도 통영시 광도면 안정리 1075,34.946345,128.410207,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1018",1,,경상남도 통영시 광도면 황리 1579,34.960326,128.4061813949,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1019",1,,경상남도 통영시 광도면 안정리 산279-6,34.9348160211,128.4275958716,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도102",1,,경상남도 통영시 광도면 죽림리 496-1,34.872941,128.414643,2009,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1020",1,,경상남도 통영시 광도면 안정리 산279-3,34.934709,128.4287379052,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1021",1,,경상남도 통영시 광도면 안정리 산282-1,34.9332110588,128.4300060281,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1022",1,,경상남도 통영시 광도면 안정리 15-9,34.932349,128.430114,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1023",1,,경상남도 통영시 광도면 안정리 산286-2,34.931422,128.432135,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1024",1,,경상남도 통영시 광도면 안정리 산283-6,34.9310453408,128.4325152666,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1025",1,,경상남도 통영시 광도면 용호리 417-11,34.881201,128.386669,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1026",1,,경상남도 통영시 광도면 안정리 46-5,34.9386002528,128.428122,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1027",1,,경상남도 통영시 광도면 안정리 1962,34.9432197437,128.4267370387,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1028",1,,경상남도 통영시 광도면 안정리 산282-1,34.9332110588,128.4300060281,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1029",1,,경상남도 통영시 광도면 죽림리 1574-49,34.8815819184,128.4214188808,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도103",1,,경상남도 통영시 광도면 죽림리 702-9,34.866822,128.4114369440,2009,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1030",1,,경상남도 통영시 광도면 죽림리 1574-44,34.881809,128.4201931963,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1031",1,,경상남도 통영시 광도면 죽림리 1574-44,34.881809,128.4201931963,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1032",1,,경상남도 통영시 광도면 죽림리 1574-44,34.881809,128.4201931963,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1033",1,,경상남도 통영시 광도면 용호리 산234-1,34.8683247254,128.4058006734,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1034",1,,경상남도 통영시 광도면 죽림리 1559,34.889891,128.3979617506,2019,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1035",1,,경상남도 통영시 광도면 죽림리 1592,34.884045,128.4181067979,2020,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1036",1,,경상남도 통영시 광도면 황리 1573-7,34.9592007883,128.405377,2020,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1037",1,,경상남도 통영시 광도면 황리 1570-9,34.960244,128.405514,2020,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1038",1,,경상남도 통영시 광도면 안정리 1969-8,34.944607,128.3982124015,2020,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도1039",1,,경상남도 통영시 광도면 우동리 828,34.920344,128.400282,2020,한전주,055-650-5510,경상남도 통영시청,2022-12-15
"광도104",1,,경상남도 통영시 광도면 죽림리 692-3,34.867722,128.411882,2009,전용주,055-650-5510,경상남도 통영시청,2022-12-15
