"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"흥룡리75",1,,경상남도 하동군 하동읍 흥룡리 882,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리82",1,,경상남도 하동군 하동읍 두곡리 967,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리83",1,,경상남도 하동군 하동읍 두곡리 301,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리84",1,,경상남도 하동군 하동읍 두곡리 880-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리85",1,,경상남도 하동군 하동읍 두곡리 879-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리86",1,,경상남도 하동군 하동읍 두곡리 875-3,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리87",1,,경상남도 하동군 하동읍 두곡리 1129-2,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리88",1,,경상남도 하동군 하동읍 두곡리 105,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리89",1,경상남도 하동군 하동읍 서재길 32-81,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"두곡리90",1,경상남도 하동군 하동읍 서재길 32-148,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"읍내리252",1,경상남도 하동군 하동읍 중앙2길 6-10,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"광평리98",1,,경상남도 하동군 하동읍 광평리 375,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"광평리99",1,경상남도 하동군 하동읍 나루터길 26-3,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"광평리100",1,경상남도 하동군 하동읍 나루터길 35,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"광평리101",1,경상남도 하동군 하동읍 남당길 44,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"비파리52",1,경상남도 하동군 하동읍 연화길8-7,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"비파리53",1,경상남도 하동군 하동읍 군청로 117-35,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"덕은리62",1,,경상남도 하동군 화개면 덕은리 833-7,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"덕은리63",1,,경상남도 하동군 화개면 덕은리 산124,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"덕은리64",1,,경상남도 하동군 화개면 덕은리 850-2,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"덕은리65",1,경상남도 하동군 화개면 영당2길 62,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"덕은리66",1,,경상남도 하동군 화개면 덕은리 519-2,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"탑리66",1,경상남도 하동군 화개면 원탑2길26,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"탑리67",1,,경상남도 하동군 화개면 탑리 211-1,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"삼신리46",1,,경상남도 하동군 화개면 삼신리 49-2,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"운수리47",1,,경상남도 하동군 화개면 운수리 789,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"운수리48",1,,경상남도 하동군 화개면 운수리 673,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"운수리49",1,경상남도 하동군 화개면 석문길9,,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"운수리51",1,,경상남도 하동군 화개면 운수리726-4,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
"대성리31",1,,경상남도 하동군 화개면 대성리 1383-7,,,,,055-880-2263,경상남도 하동군청 안전총괄과,2023-07-10
