"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가야읍001",1,,경상남도 함안군 가야읍 검암리 767-6,35.2796139542,128.4188636793,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍002",1,,경상남도 함안군 가야읍 검암리 776-5,35.28078079,128.4188297930,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍003",1,,경상남도 함안군 가야읍 검암리 903,35.2808936935,128.4177927534,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍004",1,,경상남도 함안군 가야읍 검암리 905-2,35.28076553,128.4168842225,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍005",1,,경상남도 함안군 가야읍 검암리 906-1,35.2809628578,128.4172081776,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍006",1,,경상남도 함안군 가야읍 검암리 905-1,35.28072357,128.4171732096,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍007",1,,경상남도 함안군 가야읍 검암리 933-6,35.28071976,128.4165263022,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍008",1,,경상남도 함안군 가야읍 말산리 19-2,35.2805860037,128.4152069,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍009",1,,경상남도 함안군 가야읍 말산리 26-6,35.28041458,128.413681,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍010",1,,경상남도 함안군 가야읍 말산리 25-1,35.2803767460,128.4142001651,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍011",1,,경상남도 함안군 가야읍 말산리 31-2,35.28024292,128.4125366,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍012",1,,경상남도 함안군 가야읍 말산리 30-6,35.28030014,128.4131874757,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍013",1,,경상남도 함안군 가야읍 검암리 793-4,35.2832283073,128.4174105737,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍014",1,,경상남도 함안군 가야읍 말산리 31-2,35.28022766,128.4125031783,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍015",1,,경상남도 함안군 가야읍 말산리 31-2,35.2802551790,128.4125031783,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍016",1,,경상남도 함안군 가야읍 말산리 616,35.2798175122,128.4103902869,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍017",1,,경상남도 함안군 가야읍 말산리 616,35.27981949,128.4103902869,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍018",1,,경상남도 함안군 가야읍 말산리 599-2,35.2793400062,128.4110413,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍019",1,,경상남도 함안군 가야읍 말산리 616,35.2798175122,128.4103902869,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍020",1,,경상남도 함안군 가야읍 말산리 616,35.2798175122,128.4103902869,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍021",1,,경상남도 함안군 가야읍 말산리 619-10,35.2792571710,128.4077474225,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍022",1,,경상남도 함안군 가야읍 말산리 616,35.2798175122,128.4103902869,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍023",1,,경상남도 함안군 가야읍 말산리 626-10,35.27839661,128.4090052584,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍024",1,,경상남도 함안군 가야읍 말산리 609-3,35.27877045,128.4095938474,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍025",1,,경상남도 함안군 가야읍 말산리 602-4,35.2791441746,128.4102987082,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍026",1,,경상남도 함안군 가야읍 말산리 588-2,35.2795187120,128.411377,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍027",1,,경상남도 함안군 가야읍 말산리 599-6,35.2791481,128.4111889100,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍028",1,,경상남도 함안군 가야읍 말산리 596,35.2791466843,128.4109103821,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍029",1,,경상남도 함안군 가야읍 말산리 589-10,35.27891541,128.4113711239,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍030",1,,경상남도 함안군 가야읍 말산리 592-8,35.2785569104,128.4113464,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍031",1,,경상남도 함안군 가야읍 말산리 33-3,35.2793684112,128.4118123879,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍032",1,,경상남도 함안군 가야읍 말산리 583-7,35.2787436267,128.4119005678,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍033",1,,경상남도 함안군 가야읍 말산리 583-7,35.2787436267,128.4119005678,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍034",1,,경상남도 함안군 가야읍 말산리 51-6,35.2792137885,128.4135150160,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍035",1,,경상남도 함안군 가야읍 말산리 35-4,35.2795983525,128.4138773594,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍036",1,,경상남도 함안군 가야읍 말산리 35-2,35.2795259428,128.4134874691,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍037",1,,경상남도 함안군 가야읍 말산리 23,35.2801928544,128.4147527804,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍038",1,,경상남도 함안군 가야읍 말산리 47-5,35.27875519,128.4138542014,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍039",1,,경상남도 함안군 가야읍 말산리 45-3,35.2793045,128.4151823950,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍040",1,,경상남도 함안군 가야읍 검암리 932-6,35.2804230214,128.4162478000,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍041",1,,경상남도 함안군 가야읍 검암리 932-14,35.2799784919,128.4159812264,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍042",1,,경상남도 함안군 가야읍 말산리 44-5,35.2796114583,128.4155731,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍043",1,,경상남도 함안군 가야읍 말산리 45-6,35.2792162068,128.4151459,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍044",1,,경상남도 함안군 가야읍 검암리 933-7,35.2804603048,128.4165888353,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
"가야읍045",1,,경상남도 함안군 가야읍 검암리 947-1,35.27936935,128.4168919505,,한전주,055-580-2776,경상남도 함안군청,2022-11-22
