"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상남도 함양군 함양읍 운림리 49-1",1,,경상남도 함양군 함양읍 운림리 49-1,35.5187280512,127.7261558,1999,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 용평리 965",1,,경상남도 함양군 함양읍 용평리 965,35.51826736,127.7264079970,2005,전용주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 용평리 795-6",1,,경상남도 함양군 함양읍 용평리 795-6,35.5181290427,127.7258584263,1999,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 용평리 797-1",1,,경상남도 함양군 함양읍 용평리 797-1,35.5175911884,127.7258678,2003,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 운림리 170-1",1,,경상남도 함양군 함양읍 운림리 170-1,35.5181929375,127.7245756983,2011,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 운림리 161-3",1,,경상남도 함양군 함양읍 운림리 161-3,35.51857728,127.7243584861,1999,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 운림리 77",1,,경상남도 함양군 함양읍 운림리 77,35.5190656571,127.7245593987,2006,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 운림리 136-3",1,,경상남도 함양군 함양읍 운림리 136-3,35.51937977,127.7239686385,1999,한전주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 서하면 황산리 803-1",1,,경상남도 함양군 서하면 황산리 803-1,35.6210950310,127.7539952372,1992,전용주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 용평리 786-3",1,,경상남도 함양군 함양읍 용평리 786-3,35.51825234,127.7256834,2003,전용주,055-960-5999,경상남도 함양군청,2023-07-10
"경상남도 함양군 함양읍 운림리 162-2",1,,경상남도 함양군 함양읍 운림리 162-2,35.5185339,127.7243584861,1999,전용주,055-960-5999,경상남도 함양군청,2023-07-10
