"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"치인리 1230-90",1,,경상남도 합천군 가야면 치인리 1230-90,35.789474,128.0867422,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"치인리 1230-95",1,경상남도 합천군 가야면 치인1길 10,,35.7917353,128.0882603,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"치인리 산13",6,경상남도 합천군 가야면 가야산로 1783,,35.7917223,128.0934488,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"치인리 산12",2,경상남도 합천군 가야면 가야산로 1742-9,,35.7929379,128.0950322,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"치인리 산12-2",1,,경상남도 합천군 가야면 치인리 산12-2,35.7928664,128.0942356,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 477-6",1,,경상남도 합천군 가야면 야천리 477-6,35.7638176,128.1391342,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 477-2",1,경상남도 합천군 가야면 가야산로 1122,,35.7636461,128.1393108,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 465-4",1,경상남도 합천군 가야면 가야시장로 99,,35.763457,128.1391888,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 465-1",1,경상남도 합천군 가야면 가야시장로 98,,35.7633034,128.1394872,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 466-6",1,경상남도 합천군 가야면 가야시장로 93,,35.7629072,128.1390994,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 465-5",1,경상남도 합천군 가야면 가야시장로 92,,35.7627716,128.139453,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 467-11",1,,경상남도 합천군 가야면 야천리 467-11,35.7625197,128.1390545,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 467-7",1,경상남도 합천군 가야면 가야시장로 86,,35.7622311,128.1391756,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 463-7",1,경상남도 합천군 가야면 가야시장로 83,,35.7620422,128.1389099,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
"야천리 464-6",1,경상남도 합천군 가야면 가야시장로 80,,35.7615642,128.139086,,전용주,055-930-3547,경상남도 합천군청,2023-01-02
