"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"백천동1",1,,경상북도 경산시 백천동 111-7,35.80579951,128.7409316,2018,전용주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동2",1,,경상북도 경산시 백천동 113-3,35.80614273,128.7416888,2018,전용주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동3",1,,경상북도 경산시 백천동 114-2,35.80620643,128.7419584,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동4",1,,경상북도 경산시 백천동 115-19,35.80583574,128.7422279,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동5",1,,경상북도 경산시 백천동 115-19,35.80583574,128.7422544,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동6",1,,경상북도 경산시 백천동 115-38,35.80452951,128.7429289,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동7",1,,경상북도 경산시 백천동 115-38,35.80452951,128.7429289,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동8",1,경상북도 경산시 경청로 1136-2,,35.80598028,128.7405464,2018,,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동9",1,,경상북도 경산시 백천동 120-1,35.80683141,128.7425466,2018,전용주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동10",1,경상북도 경산시 백천길 73-12,,35.80083681,128.7417625,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동11",1,,경상북도 경산시 백천동 산 16-4,35.80605556,128.7439441,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동12",1,,경상북도 경산시 백천동 산 23-2,35.80255576,128.7413112,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동13",1,,경상북도 경산시 백천동 246-4,35.80124248,128.7441663,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동14",1,,경상북도 경산시 백천동 산 25,35.80104668,128.7423844,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동15",1,,경상북도 경산시 백천동 257-3,35.80017109,128.744982,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동16",1,,경상북도 경산시 백천동 265-1,35.80063839,128.7442024,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동17",1,,경상북도 경산시 백천동 산 27-1,35.80037571,128.741225,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동18",1,,경상북도 경산시 백천동 291-1,35.80115619,128.7431687,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동19",1,경상북도 경산시 백천길73-13,,35.80087567,128.7423515,2018,,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동22",1,,경상북도 경산시 백천동 산 31-3,35.79665895,128.7405507,2008,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동23",1,,경상북도 경산시 백천동 산 31-3,35.79665895,128.7405507,2008,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동24",1,,경상북도 경산시 백천동 산 42-3,35.79955537,128.7468801,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동25",1,,경상북도 경산시 백천동 산 42-3,35.79955537,128.7468801,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동26",1,,경상북도 경산시 백천동 489-1,35.80021685,128.7372962,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동27",1,,경상북도 경산시 백천동 491-5,35.79988553,128.7372568,2019,전용주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동28",1,,경상북도 경산시 백천동 491-5,35.79988553,128.7372934,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동29",1,,경상북도 경산시 백천동 507-2,35.79928821,128.7359597,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동30",1,,경상북도 경산시 백천동 507-2,35.79928821,128.7359299992,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동31",1,,경상북도 경산시 백천동 518-9,35.79933988,128.736482,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동32",1,,경상북도 경산시 백천동 519-5,35.7994487,128.7369059,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동33",1,,경상북도 경산시 백천동 530-1,35.798263,128.7391365,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동34",1,,경상북도 경산시 백천동 540-5,35.79756108,128.7391854,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동35",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동36",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동37",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동38",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동39",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2019,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동40",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동41",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,전용주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동42",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동43",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동44",1,,경상북도 경산시 백천동 551-1,35.80552498,128.742127,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동45",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동46",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,2018,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
"백천동48",1,,경상북도 경산시 백천동 551-1,35.80552498,128.7421657,,한전주,053-810-6127,경상북도 경산시 남부동,2023-07-11
