"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감포1",1,,경상북도 경주시 감포읍 전동리 105,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포10",1,,경상북도 경주시 감포읍 감포리 345-6,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포100",1,,경상북도 경주시 감포읍 대본리 448-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포101",1,,경상북도 경주시 감포읍 전촌리 666-2,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포102",1,,경상북도 경주시 감포읍 전촌리 666-2,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포103",1,,경상북도 경주시 감포읍 전촌리 667-4,35.79173337,129.4896928,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포104",1,,경상북도 경주시 감포읍 전촌리 550,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포105",1,,경상북도 경주시 감포읍 전촌리 430-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포106",1,,경상북도 경주시 감포읍 전촌리 439-2,35.79291095,129.4893889,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포107",1,,경상북도 경주시 감포읍 전촌리 537,35.79214777,129.4888255,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포108",1,,경상북도 경주시 감포읍 전촌리 548,35.79222341,129.4893498,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포109",1,,경상북도 경주시 감포읍 전촌리 945-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포11",1,,경상북도 경주시 감포읍 감포리 302-7,35.80700019,129.4983544,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포110",1,,경상북도 경주시 감포읍 전동리 264,35.7970142,129.4858143,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포111",1,,경상북도 경주시 감포읍 전동리 252,35.79677913,129.4851567,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포112",1,,경상북도 경주시 감포읍 전동리 262,35.79704203,129.4855144,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포113",1,,경상북도 경주시 감포읍 전촌리 334-1,35.79689913,129.4877174,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포114",1,,경상북도 경주시 감포읍 전촌리 330,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포115",1,,경상북도 경주시 감포읍 전촌리 1011-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포116",1,,경상북도 경주시 감포읍 전촌리 281-2,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포117",1,,경상북도 경주시 감포읍 전촌리 268-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포118",1,,경상북도 경주시 감포읍 전동리 263,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포119",1,,경상북도 경주시 감포읍 전동리 311,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포12",1,,경상북도 경주시 감포읍 감포리 87-5,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포120",1,,경상북도 경주시 감포읍 전동리 1195-17,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포121",1,,경상북도 경주시 감포읍 전동리 475,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포122",1,,경상북도 경주시 감포읍 전동리 503,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포123",1,,경상북도 경주시 감포읍 전동리 469,35.8002504,129.4844288,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포124",1,,경상북도 경주시 감포읍 전동리 486,35.79955171,129.485451,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포125",1,,경상북도 경주시 감포읍 전동리 470,35.80017306,129.484683,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포126",1,,경상북도 경주시 감포읍 전동리 466-1,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포127",1,,경상북도 경주시 감포읍 전동리 376,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포128",1,,경상북도 경주시 감포읍 전동리 370,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포129",1,,경상북도 경주시 감포읍 전동리 465,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포13",1,,경상북도 경주시 감포읍 감포리 75-1,35.80780162,129.4996758,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포130",1,,경상북도 경주시 감포읍 전동리 381,35.79964487,129.483211,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포131",1,,경상북도 경주시 감포읍 전동리 382,35.79967418,129.4833624,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포132",1,,경상북도 경주시 감포읍 전동리 378,,,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
"감포133",1,,경상북도 경주시 감포읍 전동리 309,35.79898978,129.4833455,2009,한전주,054-779-6927,경상북도 경주시청,2022-11-24
