"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고아읍",1,,경상북도 구미시 고아읍 내예리 416-2,36.18654307,128.2883713,2015,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 문성리 1212,36.16413166,128.3456528,2022,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 754-11,36.22609386,128.309402,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 470-11,36.22449911,128.3106749,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 산 25-1,36.22294001,128.3101359,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 663,36.21220085,128.2928328,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 661,36.21246744,128.2917661,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 730,36.21496395,128.2839094,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 278,36.21267759,128.2911045,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 731,36.21493778,128.2838829,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산1길 5-2,경상북도 구미시 고아읍 황산리 325,36.21271224,128.2895404,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 320,36.21271718,128.2901814,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 343,36.21219811,128.2905498,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 1081,36.21151469,128.2896526,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 368-1,36.21181074,128.289612,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 1070-2,36.21157326,128.2890057,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산3길 8,경상북도 구미시 고아읍 황산리 424,36.21288774,128.2885898,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산3길 16,경상북도 구미시 고아읍 황산리 409,36.21231268,128.2886369,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산3길 6-3,경상북도 구미시 고아읍 황산리 492,36.21303489,128.2879462,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 429,36.21269869,128.2881443,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 산 67-10,36.21176706,128.2877409,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산3안길 7,경상북도 구미시 고아읍 황산리 431,36.21245609,128.2882057,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 1070-3,36.21220655,128.2864525,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 황산리 485,36.21306873,128.2874067,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 황산5길 3-4,경상북도 구미시 고아읍 황산리 474-7,36.21297055,128.2868489,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 470-1,36.22527222,128.3105427,2018,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 471-9,36.22509273,128.3102852,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 469-4,36.22486874,128.3107992,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 산 24-5,36.22448009,128.3109128,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,경상북도 구미시 고아읍 어강길 31-13,경상북도 구미시 고아읍 오로리 690,36.22385296,128.3152979,2018,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 708,36.22225955,128.3137249,2018,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 725-2,36.22279025,128.3126644,2014,한전주,054-480-5482,경상북도 구미시청,2023-05-04
"고아읍",1,,경상북도 구미시 고아읍 오로리 418-13,,,2018,전용주,054-480-5482,경상북도 구미시청,2023-05-04
