"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감문면001",1,,경상북도 김천시 감문면 삼성리 680-3,36.216480,128.185410,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면002",1,,경상북도 김천시 감문면 삼성리 676,36.217049,128.185730,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면003",1,,경상북도 김천시 감문면 삼성리 676,36.217319,128.185898,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면004",1,,경상북도 김천시 감문면 삼성리 657-2,36.218121,128.186218,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면005",1,,경상북도 김천시 감문면 삼성리 167-2,36.220375,128.187775,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면006",1,,경상북도 김천시 감문면 삼성리 166-2,36.220737,128.188538,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면007",1,,경상북도 김천시 감문면 삼성리 301-1,36.218689,128.188934,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면008",1,,경상북도 김천시 감문면 삼성리 303-3,36.218491,128.189148,,전용주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면009",1,,경상북도 김천시 감문면 삼성리 632-19,36.217796,128.188538,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면010",1,,경상북도 김천시 감문면 삼성리 632-19,36.217201,128.188324,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면011",1,,경상북도 김천시 감문면 삼성리 632-2,36.216503,128.188126,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면012",1,,경상북도 김천시 감문면 삼성리 632-11,36.215950,128.187897,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면013",1,,경상북도 김천시 감문면 삼성리 367,36.219341,128.190750,,전용주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면014",1,,경상북도 김천시 감문면 삼성리 369,36.219349,128.191193,,전용주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면015",1,,경상북도 김천시 감문면 삼성리 276,36.219677,128.191605,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면016",1,,경상북도 김천시 감문면 삼성리 274,36.220062,128.191559,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면017",1,,경상북도 김천시 감문면 삼성리 269,36.220158,128.191071,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면018",1,,경상북도 김천시 감문면 삼성리 286-1,36.219856,128.190750,,전용주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면019",1,,경상북도 김천시 감문면 삼성리 305,36.219376,128.190338,,한전주,054-420-6338,경상북도 김천시청,2023-07-11
"감문면020",1,,경상북도 김천시 감문면 삼성리 산 98-1,36.220154,128.190460,,전용주,054-420-6338,경상북도 김천시청,2023-07-11
