"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로리 491,36.66059228,128.2054145,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 316-2,36.63488626,128.2055401,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 316-1,36.63475157,128.207416,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 280-2,36.63515377,128.2041700034,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 620,36.6462206,128.165823,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 산6,36.65756234,128.1741778,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암길 163-47,36.68454026,128.2172695,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로길 97- 11,36.64952144,128.2050168,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 190-8,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 343-4,36.64434039,128.1839535,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 가열3길 15,36.64643196,128.1658547,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 198,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 280,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부곡리 484,36.69226466,128.1954037,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 하선새동네길 9,36.66918968,128.2239242,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 336,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암길 366,36.69853288,128.2140682,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 지천리 367,36.66945016,128.2362424,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 구산리 263,36.64292447,128.217734,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 구산2길 21,36.6448723,128.2116189,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로리 293-4,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로리 238-5,36.64451522,128.2025463,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 252-1,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 64,36.63197217,128.2095095,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 봉서리 167-1,36.62181374,128.2184027,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 봉서리 23- 2,36.62735248,128.2275473,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 호계리 333,36.68007196,128.180134,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 585-2,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 579-4,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 586-2,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 579-3,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 구산리 247-2,36.64003539,128.2170408,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 구산리 270-2,36.64269458,128.2159017,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암아랫길 7-6,36.64589062,128.1856783,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 가도길 11- 3,36.65143878,128.2153804,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 호계리 329,36.68049612,128.1793615,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 667-5,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부곡리 346,36.68384405,128.204382,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 246-7,36.63380755,128.2060627,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 금사길 24- 7,36.65042828,128.2253736,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 184-1,36.64532719,128.1651494,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로리 491,36.66059228,128.2054145,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡길 10,36.63355916,128.2060341,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부곡안길 3,36.68162366,128.2060967,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 108-6,36.62870235,128.2069666,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 121-1,36.62791083,128.2072155,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 131-5,,,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 견탄리 527,36.64666631,128.155739,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암리 147,36.64728393,128.1817519,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 국골길 6-6,36.64607427,128.1818779,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 호계리 259-1,36.67557219,128.1862777,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 구산리 40,36.64435468,128.2202235,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 우로리 133,36.65081858,128.2062761,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 금사길 11- 3,36.65197856,128.2249111,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 가도리 147,36.65159506,128.2252941,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 365,36.69762767,128.2158603,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부곡리 574-2,36.69364126,128.1934974,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 호계리 60- 2,36.65352509,128.1884335,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암길 62,36.67490879,128.2244061,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 별암윗길 14-6,36.64533876,128.1837706,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 지천리 354-1,36.66963378,128.2376021,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 막곡리 236-8,36.63510329,128.2026034,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 192-2,36.6826745,128.2220297,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 265,36.68903173,128.219762,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 116-2,36.67279953,128.2229562,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 선암리 328,36.69661882,128.2156493,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 동달길 56,36.64312269,128.2195813,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부천로 552-15,36.65852038,128.2320552,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부천로 624-115,36.66216426,128.242814,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 부곡리 683,36.68121269,128.2064994,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 상무로 755,36.6168622,128.2109394,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
"경상북도 문경시 호계면",1,,경상북도 문경시 호계면 뱃나들2길 32-23,36.64348328,128.2025592,,,054-550-8665,경상북도 문경시 호계면,2022-06-28
