"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"내성로 40-18 한전 뒤",1,경상북도 봉화군 봉화읍 내성로 40-18 한전 뒤,,36.886163,128.742074,2016,한전주,054-679-6283,경상북도 봉화군청,2023-06-13
"생기마2길 48-7",1,경상북도 봉화군 봉화읍 생기마2길 48-7,,36.904248,128.730688,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"생기마1길 28-2 삼계서원 옆",1,경상북도 봉화군 봉화읍 생기마1길 28-2 삼계서원 옆,,36.901494,128.735141,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"유곡리 589-2 36번 국도변",1,,경상북도 봉화군 봉화읍 유곡리 589-2 36번 국도변,36.904030,128.758126,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"충재길 238-266 박상오 정호삼 중간",1,경상북도 봉화군 봉화읍 충재길 238-266 박상오 정호삼 중간,,36.918643,128.755576,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"유곡리 332-25 마을 진입로",1,,경상북도 봉화군 봉화읍 유곡리 332-25 마을 진입로,36.906090,128.769503,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"유곡리 339-5 마을안길",1,,경상북도 봉화군 봉화읍 유곡리 339-5 마을안길,36.904215,128.767828,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"거촌리 569-8 학이골 진입로",1,,경상북도 봉화군 봉화읍 거촌리 569-8 학이골 진입로,36.873096,128.748346,2016,한전주,054-679-6283,경상북도 봉화군청,2023-06-13
"거촌리 589-1 학동길 입구에서 200미터",1,,경상북도 봉화군 봉화읍 거촌리 589-1 학동길 입구에서 200미터,36.874144,128.748942,2016,한전주,054-679-6283,경상북도 봉화군청,2023-06-13
"범들로 332-36 이경우 부근",1,경상북도 봉화군 봉화읍 범들로 332-36 이경우 부근,,36.881659,128.714842,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"한골길 39",1,경상북도 봉화군 봉화읍 한골길 39,,36.880645,128.716966,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"적덕리 224 재방 태양광가로등 근처",1,,경상북도 봉화군 봉화읍 적덕리 224 재방 태양광가로등 근처,36.879145,128.699955,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"적덕리 371 천주교 공동묘지 입구",1,,경상북도 봉화군 봉화읍 적덕리 371 천주교 공동묘지 입구,36.889720,128.701298,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"화천로 436 도로변",1,경상북도 봉화군 봉화읍 화천로 436 도로변,,36.904154,128.661481,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"몽화각길 27",1,경상북도 봉화군 봉화읍 몽화각길 27,,36.905833,128.670249,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"도촌리 194 양계장입구",1,,경상북도 봉화군 봉화읍 도촌리 194 양계장입구,36.888735,128.683143,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
"도촌리 637 양어장 뒤 삼거리",1,,경상북도 봉화군 봉화읍 도촌리 637 양어장 뒤 삼거리,36.883714,128.684598,2016,전용주,054-679-6283,경상북도 봉화군청,2023-06-13
