"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"함창읍001",1,,경상북도 상주시 함창읍 윤직리 611-5,36.58047739,128.1918984,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍299-1",1,,경상북도 상주시 함창읍 구향리 258-2,36.57218756,128.1748058,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍248-1",1,,경상북도 상주시 함창읍 오사리 218-2,36.56253306,128.1766249,2014,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍973-1",1,,경상북도 상주시 함창읍 윤직리 726-3,36.57277575,128.1878576,2020,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍075-1",1,,경상북도 상주시 함창읍 구향리 100-3,36.5711049,128.1817609,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍 01-1",1,,경상북도 상주시 함창읍 윤직리 621-1,36.58003472,128.192012,2021,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍421-1",1,,경상북도 상주시 함창읍 오동리 596-1,36.5671887,128.1829429,2010,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍002",1,,경상북도 상주시 함창읍 윤직리 614,36.58058276,128.1914812,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍 01-2",1,,경상북도 상주시 함창읍 윤직리 600-8,36.58086168,128.1922256,2021,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍421-2",1,,경상북도 상주시 함창읍 오동리 596-2,36.56600665,128.1830843,2010,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍003",1,,경상북도 상주시 함창읍 윤직리 751,36.57609714,128.1885746,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍 01-3",1,,경상북도 상주시 함창읍 윤직리 609-2,36.58028585,128.1927233,2021,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍004",1,,경상북도 상주시 함창읍 윤직리 752,36.57678844,128.1880787,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍 01-4",1,,경상북도 상주시 함창읍 윤직리 592-1,36.58240666,128.1934805,2021,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍005",1,,경상북도 상주시 함창읍 윤직리 752,36.57678844,128.1880787,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍006",1,,경상북도 상주시 함창읍 윤직리 753-1,36.57609559,128.1873741,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍007",1,,경상북도 상주시 함창읍 윤직리 753,36.57639146,128.1875686,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍008",1,,경상북도 상주시 함창읍 윤직리 753,36.57639146,128.1875686,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍009",1,,경상북도 상주시 함창읍 윤직리 758,36.57569668,128.1880062,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍010",1,,경상북도 상주시 함창읍 윤직리 756,36.57580331,128.187443,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍011",1,,경상북도 상주시 함창읍 윤직리 756,36.57580331,128.187443,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍012",1,,경상북도 상주시 함창읍 윤직리 753-1,36.57609559,128.1873741,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍013",1,,경상북도 상주시 함창읍 윤직리 752,36.57678844,128.1880787,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍014",1,,경상북도 상주시 함창읍 윤직리 752,36.57678844,128.1880787,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍015",1,,경상북도 상주시 함창읍 윤직리 792,36.57680397,128.1891239,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍016",1,,경상북도 상주시 함창읍 윤직리 786,36.57683795,128.1889065,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍017",1,,경상북도 상주시 함창읍 윤직리 763-2,36.57498464,128.1868792,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍018",1,,경상북도 상주시 함창읍 윤직리 706-4,36.57469727,128.1861668,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍019",1,,경상북도 상주시 함창읍 윤직리 706-2,36.57441129,128.186119,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍020",1,,경상북도 상주시 함창읍 윤직리 703-13,36.57345915,128.1858567,2021,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍021",1,,경상북도 상주시 함창읍 윤직리 726-17,36.57272947,128.1866328,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍022",1,,경상북도 상주시 함창읍 윤직리 726-11,36.57293087,128.1872197,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍023",1,,경상북도 상주시 함창읍 오동리 770-3,36.57248097,128.1871191,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍024",1,,경상북도 상주시 함창읍 오동리 771-2,36.57265198,128.188251,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍025",1,,경상북도 상주시 함창읍 오동리 795-3,36.5730373,128.1893611,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍026",1,,경상북도 상주시 함창읍 오동리 794,36.5727323,128.1894675,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍027",1,,경상북도 상주시 함창읍 오동리 777,36.57174756,128.1893443,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍028",1,,경상북도 상주시 함창읍 오동리 764-2,36.57192778,128.1889013,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍029",1,,경상북도 상주시 함창읍 오동리 763-3,36.57174595,128.1890081,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍030",1,,경상북도 상주시 함창읍 오동리 778-3,36.57143812,128.1897059,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍031",1,,경상북도 상주시 함창읍 오동리 778-9,36.57079522,128.1900098,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍032",1,,경상북도 상주시 함창읍 오동리 797-1,36.57323149,128.1899838,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍033",1,,경상북도 상주시 함창읍 오동리 30-3,36.57336132,128.1910773,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍034",1,,경상북도 상주시 함창읍 오동리 97-2,36.56867921,128.1924292,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍035",1,,경상북도 상주시 함창읍 오동리 8,36.57216407,128.1961668,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍037",1,,경상북도 상주시 함창읍 오동리 20-7,36.574192,128.1924126,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍038",1,,경상북도 상주시 함창읍 윤직리 695,36.57431403,128.1909611,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍039",1,,경상북도 상주시 함창읍 윤직리 713-8,36.57395767,128.1883769,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍040",1,,경상북도 상주시 함창읍 윤직리 713-7,36.57402331,128.1879933,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍041",1,,경상북도 상주시 함창읍 윤직리 641,36.57898186,128.1937034,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍042",1,,경상북도 상주시 함창읍 윤직리 407,36.57873597,128.1945872,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍043",1,,경상북도 상주시 함창읍 윤직리 656,36.578901,128.1958906,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍044",1,,경상북도 상주시 함창읍 윤직리 408-3,36.57890871,128.1962498,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍045",1,,경상북도 상주시 함창읍 윤직리 651-7,36.57925901,128.1957779,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍046",1,,경상북도 상주시 함창읍 윤직리 410-3,36.57932841,128.1964947,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍047",1,,경상북도 상주시 함창읍 윤직리 651-5,36.57948542,128.1959154,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍048",1,,경상북도 상주시 함창읍 윤직리 590-6,36.57998032,128.1967034,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍049",1,,경상북도 상주시 함창읍 윤직리 418-1,36.57994522,128.1971752,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍050",1,,경상북도 상주시 함창읍 윤직리 412-1,36.57949641,128.1969939,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍051",1,,경상북도 상주시 함창읍 윤직리 410-2,36.57942557,128.1965996,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍052",1,,경상북도 상주시 함창읍 윤직리 412-5,36.57898798,128.1970331,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍053",1,,경상북도 상주시 함창읍 대조리 72,36.57843735,128.185925,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍054",1,,경상북도 상주시 함창읍 대조리 202-1,36.57511551,128.1822299,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍055",1,,경상북도 상주시 함창읍 대조리 205-6,36.57507834,128.1817077,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍056",1,,경상북도 상주시 함창읍 대조리 216-1,36.57531964,128.1799255,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍057",1,,경상북도 상주시 함창읍 대조리 203-1,36.57574283,128.1822499,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍058",1,,경상북도 상주시 함창읍 대조리 7-1,36.58296414,128.1922134,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍059",1,,경상북도 상주시 함창읍 대조리 192-2,36.5764519,128.1822586,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍060",1,,경상북도 상주시 함창읍 대조리 193,36.57673927,128.1815943,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍061",1,,경상북도 상주시 함창읍 대조리 182-1,36.57723676,128.1813779,2012,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍064",1,,경상북도 상주시 함창읍 구향리 75-7,36.5711321,128.1842502,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍065",1,,경상북도 상주시 함창읍 구향리 89-2,36.57053285,128.1836628,2019,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍066",1,,경상북도 상주시 함창읍 구향리 93-8,36.570827,128.1832138,2022,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍067",1,,경상북도 상주시 함창읍 구향리 96-3,36.57101084,128.182708,2019,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍068",1,,경상북도 상주시 함창읍 구향리 95-2,36.57128126,128.1830858,2019,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍070",1,,경상북도 상주시 함창읍 구향리 63,36.57204596,128.1814376,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍074",1,,경상북도 상주시 함창읍 구향리 100-5,36.5710524,128.1818755,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍076",1,,경상북도 상주시 함창읍 구향리 48-14,36.57015321,128.1815108,2019,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍077",1,,경상북도 상주시 함창읍 구향리 63,36.57204596,128.1814376,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍086",1,,경상북도 상주시 함창읍 구향리 310-4,36.57298246,128.1794997,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍087",1,,경상북도 상주시 함창읍 구향리 308-3,36.57283391,128.1793234,2020,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍094",1,,경상북도 상주시 함창읍 구향리 306,36.57200727,128.179047,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍096",1,,경상북도 상주시 함창읍 구향리 302-5,36.5712873,128.1784546,2012,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍097",1,,경상북도 상주시 함창읍 구향리 303-1,36.57196372,128.1787037,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍098",1,,경상북도 상주시 함창읍 구향리 206-1,36.5706709,128.1786969,2022,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍099",1,,경상북도 상주시 함창읍 구향리 206-1,36.5706709,128.1786969,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍100",1,,경상북도 상주시 함창읍 구향리 301-16,36.5717175,128.1780882,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍101",1,,경상북도 상주시 함창읍 구향리 300-9,36.57180746,128.1776928,2019,전용주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍102",1,,경상북도 상주시 함창읍 구향리 303-2,36.57189295,128.1783885,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
"함창읍103",1,,경상북도 상주시 함창읍 구향리 301-5,36.57208927,128.1780089,2022,한전주,054-537-8901,경상북도 상주시 함창읍,2022-06-16
