"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"성주읍1249",1,,경상북도 성주군 성주읍 대황리446-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"벽진면767",1,,경상북도 성주군 벽진면 매수리 519,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"벽진면768",1,,경상북도 성주군 벽진면 봉계리782,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성밖숲길45",1,,경상북도 성주군 성주읍 경산리437-2,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주교차로065",1,,경상북도 성주군 성주읍 성산리 97,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍001",1,,경상북도 성주군 성주읍 경산리 285-4,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍002",1,,경상북도 성주군 성주읍 경산리 285-4,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍003",1,,경상북도 성주군 성주읍 경산리 286,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍004",1,,경상북도 성주군 성주읍 경산리 204-1,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍005",1,,경상북도 성주군 성주읍 경산리 216,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍006",1,,경상북도 성주군 성주읍 경산리 198,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍008",1,,경상북도 성주군 성주읍 경산리 228-5,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍009",1,,경상북도 성주군 성주읍 경산리 238-2,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍010",1,,경상북도 성주군 성주읍 예산리 521,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍011",1,,경상북도 성주군 성주읍 경산리 258-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍012",1,,경상북도 성주군 성주읍 백전리 399-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍013",1,,경상북도 성주군 성주읍 백전리 394-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍014",1,,경상북도 성주군 성주읍 경산리 247-4,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍015",1,,경상북도 성주군 성주읍 경산리 258-3,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍016",1,,경상북도 성주군 성주읍 경산리 244-6,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍017",1,,경상북도 성주군 성주읍 경산리 219-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍018",1,,경상북도 성주군 성주읍 경산리 241,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍019",1,,경상북도 성주군 성주읍 경산리 172-3,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍020",1,,경상북도 성주군 성주읍 경산리 198,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍021",1,,경상북도 성주군 성주읍 경산리 198-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍022",1,,경상북도 성주군 성주읍 경산리 183,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍023",1,,경상북도 성주군 성주읍 경산리 183,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍024",1,,경상북도 성주군 성주읍 경산리 190-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍025",1,,경상북도 성주군 성주읍 경산리 132-2,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍026",1,,경상북도 성주군 성주읍 경산리 193,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍028",1,,경상북도 성주군 성주읍 경산리 233,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍029",1,,경상북도 성주군 성주읍 예산리 514-1,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍030",1,,경상북도 성주군 성주읍 경산리 124-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍031",1,,경상북도 성주군 성주읍 경산리 104-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍032",1,,경상북도 성주군 성주읍 경산리 140,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍033",1,,경상북도 성주군 성주읍 경산리 101-5,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍034",1,,경상북도 성주군 성주읍 경산리 102-2,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍035",1,,경상북도 성주군 성주읍 경산리 98-3,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍036",1,,경상북도 성주군 성주읍 경산리 55-4,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍037",1,,경상북도 성주군 성주읍 경산리 57-4,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍038",1,,경상북도 성주군 성주읍 경산리 57-7,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍039",1,,경상북도 성주군 성주읍 경산리 92-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍040",1,,경상북도 성주군 성주읍 경산리 93-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍041",1,,경상북도 성주군 성주읍 경산리 95-11,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍042",1,,경상북도 성주군 성주읍 예산리 511-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍043",1,,경상북도 성주군 성주읍 경산리 95-8,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍044",1,,경상북도 성주군 성주읍 경산리 105,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍045",1,,경상북도 성주군 성주읍 경산리 93-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍046",1,,경상북도 성주군 성주읍 예산리 351-12,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍047",1,,경상북도 성주군 성주읍 예산리 357-10,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍048",1,,경상북도 성주군 성주읍 예산리 354-38,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍049",1,,경상북도 성주군 성주읍 예산리 354-35,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍050",1,,경상북도 성주군 성주읍 예산리 354-19,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍051",1,,경상북도 성주군 성주읍 예산리 354-69,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍052",1,,경상북도 성주군 성주읍 예산리 365,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍053",1,,경상북도 성주군 성주읍 예산리 468,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍054",1,,경상북도 성주군 성주읍 예산리 468,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍055",1,,경상북도 성주군 성주읍 예산리 466,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍056",1,,경상북도 성주군 성주읍 예산리 462-3,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍057",1,,경상북도 성주군 성주읍 예산리 467-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍058",1,,경상북도 성주군 성주읍 예산리 462-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍059",1,,경상북도 성주군 성주읍 예산리 462-1,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍060",1,,경상북도 성주군 성주읍 예산리 487-2,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍061",1,,경상북도 성주군 성주읍 예산리 494-3,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍062",1,,경상북도 성주군 성주읍 예산리 507,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍063",1,,경상북도 성주군 성주읍 예산리 778-11,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍064",1,,경상북도 성주군 성주읍 예산리 476,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍065",1,,경상북도 성주군 성주읍 예산리 458,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍066",1,,경상북도 성주군 성주읍 예산리 930,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍067",1,,경상북도 성주군 성주읍 예산리 930,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍068",1,,경상북도 성주군 성주읍 예산리 576,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍069",1,,경상북도 성주군 성주읍 예산리 562,,,,한전주,054-930-7525,경상북도 성주군,2023-09-01
"성주읍070",1,,경상북도 성주군 성주읍 예산리 556,,,,전용주,054-930-7525,경상북도 성주군,2023-09-01
