"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강남동0001",1,,경상북도 안동시 수상동 820-99,36.54855277,128.7030786,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0002",1,,경상북도 안동시 수상동 820-99,36.54855277,128.7030786,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0003",1,,경상북도 안동시 수상동 249-11,36.54845707,128.7035942,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0004",1,,경상북도 안동시 수상동 249-12,36.54828491,128.7037418,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0005",1,,경상북도 안동시 수상동 584-4,36.54776088,128.7031107,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0006",1,,경상북도 안동시 수상동 820-109,36.55207047,128.7165264,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0007",1,,경상북도 안동시 정하동 378,36.55260559,128.7197011,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0008",1,,경상북도 안동시 수상동 224-2,36.5491038,128.7109724,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0009",1,,경상북도 안동시 수상동 224-2,36.5491038,128.7109724,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0010",1,,경상북도 안동시 수상동 211-5,36.54823145,128.7113347,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0011",1,,경상북도 안동시 수상동 213-1,36.54811534,128.7111757,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0012",1,,경상북도 안동시 수상동 220-1,36.5475050202,128.7102433684,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0013",1,,경상북도 안동시 수상동 213-10,36.54769685,128.7111351,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0014",1,,경상북도 안동시 수상동 94-1,36.54133515,128.7129073,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0015",1,,경상북도 안동시 수상동 110-2,36.54179651,128.7133878,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0016",1,,경상북도 안동시 수상동 69-1,36.54088462,128.7135066,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0017",1,,경상북도 안동시 수상동 114-1,36.54074265,128.7138717,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0018",1,,경상북도 안동시 수상동 107-2,36.54152133,128.7126076,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0019",1,,경상북도 안동시 수상동 103,36.54117473,128.7122484,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0020",1,,경상북도 안동시 수상동 98,36.54093457,128.7120965,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0021",1,,경상북도 안동시 수상동 79,36.5403009,128.7123771,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0022",1,,경상북도 안동시 수상동 66-2,36.54017344,128.7135477,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0023",1,,경상북도 안동시 수상동 89,36.54069738,128.712244,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0024",1,,경상북도 안동시 수상동 72,36.53995883,128.7127565,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0025",1,,경상북도 안동시 수상동 92-2,36.54090429,128.7127811,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0026",1,,경상북도 안동시 수상동 102-2,36.54117011,128.7119077,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0027",1,,경상북도 안동시 수상동 73,36.54000218,128.7124813,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0028",1,,경상북도 안동시 수상동 86,36.54075035,128.7116893,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0029",1,,경상북도 안동시 수상동 105-1,36.54149585,128.711836,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0030",1,,경상북도 안동시 수상동 135-4,36.54278705,128.7115436,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0031",1,,경상북도 안동시 수상동 135-5,36.54292489,128.7112918,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0032",1,,경상북도 안동시 수상동 136-1,36.54310326,128.7113128,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0033",1,,경상북도 안동시 수상동 139-3,36.54371398,128.7112151,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0034",1,,경상북도 안동시 수상동 140-1,36.54415609,128.7113461,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0035",1,,경상북도 안동시 수상동 837-4,36.54476268,128.7114747,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0036",1,,경상북도 안동시 수상동 146-1,36.54560643,128.7108176,2015,건축물,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0037",1,,경상북도 안동시 수하동 740-4,36.54865176,128.671746,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0038",1,,경상북도 안동시 수상동 220-3,36.54696344,128.7099668,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0039",1,,경상북도 안동시 수상동 148-1,36.54740527,128.7112455,2015,한전주,054-823-0110,경상북도 안동시청,2023-08-31
"강남동0040",1,,경상북도 안동시 수상동 211-10,36.54754659,128.7118919,2015,전용주,054-823-0110,경상북도 안동시청,2023-08-31
