"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강구면001",1,,경상북도 영덕군 강구면 삼사리 772,36.337347,129.381131,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면003",1,,경상북도 영덕군 강구면 삼사리 661-2,36.339138,129.381932,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면004",1,,경상북도 영덕군 강구면 삼사리 629-2,36.340164,129.381764,,전용주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면005",1,경상북도 영덕군 강구면 삼사길 53,경상북도 영덕군 강구면 삼사리 587-4,36.341493,129.381932,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면006",1,,경상북도 영덕군 강구면 삼사리 586-4,36.342178,129.382088,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면007",1,,경상북도 영덕군 강구면 삼사리 577,36.342775,129.382731,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면008",1,,경상북도 영덕군 강구면 삼사리 761,36.343218,129.383133,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면009",1,경상북도 영덕군 강구면 삼사길 75-6,경상북도 영덕군 강구면 삼사리 545,36.343236,129.382847,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면011",1,,경상북도 영덕군 강구면 삼사리 542,36.343340,129.383152,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면012",1,,경상북도 영덕군 강구면 삼사리 509,36.343528,129.382544,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면013",1,,경상북도 영덕군 강구면 삼사리 523,36.343824,129.383789,,,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면014",1,,경상북도 영덕군 강구면 삼사리 523,36.344010,129.383738,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면015",1,,경상북도 영덕군 강구면 삼사리 781,36.343953,129.384340,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면016",1,,경상북도 영덕군 강구면 삼사리 246-7,36.344001,129.384669,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면017",1,,경상북도 영덕군 강구면 삼사리 247-1,36.344275,129.384568,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면018",1,,경상북도 영덕군 강구면 삼사리 513-1,36.344178,129.383363,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면019",1,,경상북도 영덕군 강구면 삼사리 513-1,36.344319,129.383294,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면020",1,,경상북도 영덕군 강구면 삼사리 753-2,36.344590,129.383143,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면021",1,,경상북도 영덕군 강구면 삼사리 329,36.345005,129.382523,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면022",1,,경상북도 영덕군 강구면 삼사리 513-11,36.343930,129.382737,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면023",1,경상북도 영덕군 강구면 강구해안길 19-1,경상북도 영덕군 강구면 삼사리 494-26,36.343253,129.382193,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면024",1,,경상북도 영덕군 강구면 삼사리 585-8,36.342208,129.381446,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면025",1,,경상북도 영덕군 강구면 삼사리 505-4,36.344109,129.381592,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면026",1,,경상북도 영덕군 강구면 오포리 555-25,36.358105,129.379918,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면027",1,,경상북도 영덕군 강구면 삼사리 345-6,36.344800,129.380952,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면028",1,,경상북도 영덕군 강구면 삼사리 342-1,36.345164,129.380136,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면029",1,경상북도 영덕군 강구면 삼사2길 16-5,경상북도 영덕군 강구면 삼사리 349-4,36.345350,129.380711,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면030",1,,경상북도 영덕군 강구면 삼사리 349-7,36.345205,129.381151,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면031",1,,경상북도 영덕군 강구면 삼사리 488-4,36.342599,129.380910,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면032",1,,경상북도 영덕군 강구면 삼사리 486,36.342236,129.380305,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면033",1,,경상북도 영덕군 강구면 삼사리 603,36.342371,129.380089,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면034",1,,경상북도 영덕군 강구면 삼사리 478-4,36.342699,129.380429,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면035",1,,경상북도 영덕군 강구면 삼사리 483-1,36.342866,129.380037,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면036",1,,경상북도 영덕군 강구면 삼사리 764,36.343252,129.379729,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면037",1,,경상북도 영덕군 강구면 삼사리 산 86,36.343488,129.379428,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면038",1,,경상북도 영덕군 강구면 삼사리 산 86,36.343496,129.379428,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면039",1,,경상북도 영덕군 강구면 삼사리 산 85,36.343701,129.379071,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면040",1,,경상북도 영덕군 강구면 삼사리 491-2,36.342538,129.381175,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
"강구면041",1,,경상북도 영덕군 강구면 삼사리 599-1,36.342036,129.380913,,한전주,054-730-6467,경상북도 영덕군청,2023-04-20
