"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"석보면001",1,,경상북도 영양군 석보면 지경리 499,36.556112,129.100304,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면002",1,,경상북도 영양군 석보면 지경리 563,36.555565,129.099848,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면003",1,,경상북도 영양군 석보면 지경리 564,36.555424,129.099422,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면004",1,,경상북도 영양군 석보면 지경리 579-2,36.555083,129.099223,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면005",1,,경상북도 영양군 석보면 지경리 566,36.555185,129.099611,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면006",1,,경상북도 영양군 석보면 지경리 566,36.554923,129.099493,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면007",1,,경상북도 영양군 석보면 지경리 산 72,36.554892,129.100291,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면008",1,,경상북도 영양군 석보면 지경리 428,36.555395,129.100343,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면009",1,,경상북도 영양군 석보면 지경리 438-6,36.556414,129.100816,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면010",1,,경상북도 영양군 석보면 지경리 407-4,36.556561,129.101288,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면011",1,,경상북도 영양군 석보면 지경리 499,36.555982,129.101409,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면012",1,,경상북도 영양군 석보면 지경리 411,36.556025,129.101812,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면013",1,,경상북도 영양군 석보면 지경리 415-5,36.555325,129.102219,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면014",1,,경상북도 영양군 석보면 지경리 394-3,36.556775,129.102091,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면015",1,,경상북도 영양군 석보면 지경리 490,36.559736,129.108546,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면016",1,,경상북도 영양군 석보면 지경리 490,36.559997,129.109059,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면017",1,,경상북도 영양군 석보면 지경리 254-1,36.560093,129.109699,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면018",1,,경상북도 영양군 석보면 지경리 247-9,36.560453,129.111807,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면019",1,,경상북도 영양군 석보면 지경리 189-13,36.560986,129.113924,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면020",1,,경상북도 영양군 석보면 지경리 205-5,36.560768,129.114844,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면021",1,,경상북도 영양군 석보면 지경리 산 61-8,36.560302,129.113471,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면022",1,,경상북도 영양군 석보면 지경리 204-6,36.560679,129.115367,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면023",1,,경상북도 영양군 석보면 지경리 204-6,36.560681,129.115703,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면024",1,,경상북도 영양군 석보면 지경리 204-4,36.560508,129.115802,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면025",1,,경상북도 영양군 석보면 지경리 197-3,36.560299,129.116428,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면026",1,,경상북도 영양군 석보면 지경리 484,36.560179,129.115801,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면027",1,,경상북도 영양군 석보면 지경리 212,36.559757,129.115383,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면028",1,,경상북도 영양군 석보면 지경리 469,36.558809,129.115565,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면029",1,,경상북도 영양군 석보면 지경리 469,36.555007,129.116649,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면030",1,,경상북도 영양군 석보면 지경리 산 56-7,36.556493,129.115471,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면031",1,,경상북도 영양군 석보면 지경리 230-11,36.555051,129.114417,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면032",1,,경상북도 영양군 석보면 지경리 230-21,36.554714,129.114803,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면033",1,,경상북도 영양군 석보면 지경리 산 56-7,36.555536,129.115545,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면034",1,,경상북도 영양군 석보면 지경리 230-23,36.553161,129.113776,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면035",1,,경상북도 영양군 석보면 지경리 230-23,36.552435,129.114371,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면036",1,,경상북도 영양군 석보면 지경리 산 13-11,36.552941,129.119601,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면037",1,,경상북도 영양군 석보면 지경리 산 52-1,36.552453,129.119157,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면038",1,,경상북도 영양군 석보면 지경리 산 52-108,36.551622,129.118124,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면039",1,,경상북도 영양군 석보면 지경리 229-84,36.551582,129.116562,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면040",1,,경상북도 영양군 석보면 지경리 산 52-1,36.550564,129.119991,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면041",1,,경상북도 영양군 석보면 지경리 112-9,36.548573,129.121409,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면042",1,,경상북도 영양군 석보면 지경리 산 51-13,36.548603,129.120233,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면043",1,,경상북도 영양군 석보면 지경리 산 51-12,36.546324,129.119969,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면044",1,,경상북도 영양군 석보면 지경리 산 51-8,36.545752,129.119745,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면045",1,,경상북도 영양군 석보면 지경리 산 47-1,36.545392,129.119848,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면046",1,,경상북도 영양군 석보면 지경리 산 50-1,36.545297,129.118779,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면047",1,,경상북도 영양군 석보면 지경리 481,36.543979,129.121607,2018,전용주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면048",1,,경상북도 영양군 석보면 지경리 80-1,36.543439,129.121667,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
"석보면049",1,,경상북도 영양군 석보면 지경리 482,36.543068,129.121445,2018,한전주,054-680-6312,경상북도 영양군청,2023-08-29
