"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가상리01",1,,경상북도 영천시 화산면 가상리 106-1,36.0291992,128.8991796,2014,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리02",1,경상북도 영천시 화산면 가상길 15-1,경상북도 영천시 화산면 가상리 704,36.03417326,128.8877403,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리03",1,경상북도 영천시 화산면 가상길 7,경상북도 영천시 화산면 가상리 708,36.03453744,128.887245,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리04",1,경상북도 영천시 화산면 가래실로 356,경상북도 영천시 화산면 가상리 290,36.03191295,128.8899119,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리05",1,경상북도 영천시 화산면 가래실로 416-4,경상북도 영천시 화산면 가상리 775,36.03538493,128.8859895,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리06",1,경상북도 영천시 화산면 가상길 7-13,경상북도 영천시 화산면 가상리 787,36.03483336,128.8874481,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리07",1,경상북도 영천시 화산면 가래실로 480,경상북도 영천시 화산면 가상리 884,36.03856772,128.8809317,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리08",1,,경상북도 영천시 화산면 가상리 915-2,36.03882357,128.8804574,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리09",1,,경상북도 영천시 화산면 가상리 92-2,36.02826644,128.8978707,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리10",1,경상북도 영천시 화산면 가래실로 346-53,"경상북도 영천시 화산면 가상리 145,302",36.03281918,128.8952926,2014,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리11",1,경상북도 영천시 화산면 가상길 15-7,경상북도 영천시 화산면 가상리 700,36.03440634,128.8879093,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리12",1,경상북도 영천시 화산면 가상길 25,경상북도 영천시 화산면 가상리 656-1,36.03339982,128.8885638,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
"가상리13",1,경상북도 영천시 화산면 가상길 15-7,경상북도 영천시 화산면 가상리 700,36.03440634,128.8879093,2011,한전주,054-339-7332,경상북도 영천시 화산면행정복지센터,2023-06-12
