"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가1리 23-01",1,,경상북도 예천군 유천면 가리 184,36.63384796,128.3943691,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-02",1,,경상북도 예천군 유천면 가리 184,36.63384796,128.3943691,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-03",1,,경상북도 예천군 유천면 가리 179,36.63265129,128.3937815,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-04",1,,경상북도 예천군 유천면 가리 114,36.63155287,128.3934628,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-05",1,,경상북도 예천군 유천면 가리 114,36.63155287,128.3934628,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-06",1,,경상북도 예천군 유천면 가리 114,36.63155287,128.3934628,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-07",1,,경상북도 예천군 유천면 가리 133,36.63183513,128.3925921,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-08",1,,경상북도 예천군 유천면 가리 127,36.63165732,128.3918532,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-09",1,,경상북도 예천군 유천면 가리 303-7,36.63699763,128.3875527,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-10",1,,경상북도 예천군 유천면 가리 217,36.63442822,128.3933209,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-11",1,,경상북도 예천군 유천면 가리 223,36.63437566,128.3928622,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-12",1,,경상북도 예천군 유천면 가리 224,36.63491228,128.3913777,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-13",1,,경상북도 예천군 유천면 가리 867,36.64023379,128.3760952,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-17",1,,경상북도 예천군 유천면 가리 295,36.63615457,128.3890581,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-18",1,,경상북도 예천군 유천면 가리 185-3,36.63383675,128.3950288,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-19",1,,경상북도 예천군 유천면 가리 144,36.63213511,128.3918109,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-20",1,,경상북도 예천군 유천면 가리 178-1,36.63243493,128.3938028,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-21",1,,경상북도 예천군 유천면 가리 157-3,36.63375254,128.3932504,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-22",1,,경상북도 예천군 유천면 가리 290-5,36.63571557,128.3910128,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-23",1,,경상북도 예천군 유천면 가리 292,36.6371441,128.3896111,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-24",1,,경상북도 예천군 유천면 가리 210,36.63470824,128.3958384,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-25",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-26",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-27",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-28",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-29",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-30",1,,경상북도 예천군 유천면 가리 860,36.6346171,128.3879545,,,054-650-6566,경상북도 예천군청,2022-09-23
"가1리 23-31",1,,경상북도 예천군 유천면 가리 296-1,36.63613394,128.3898519,,,054-650-6567,경상북도 예천군청,2022-09-23
"가1리 23-32",1,,경상북도 예천군 유천면 가리 652,36.63850508,128.3923017,,,054-650-6568,경상북도 예천군청,2022-09-23
"가1리 23-33",1,,경상북도 예천군 유천면 가리 296-2,36.6355656,128.3900281,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-01",1,,경상북도 예천군 유천면 가리 125,36.63131461,128.3919297,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-02",1,,경상북도 예천군 유천면 가리 161,36.63270168,128.3921716,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-03",1,,경상북도 예천군 유천면 가리 202,36.63369871,128.3958891,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-04",1,,경상북도 예천군 유천면 가리 396,36.63123947,128.3901179,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-05",1,,경상북도 예천군 유천면 가리 401,36.63121573,128.3891114,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-06",1,,경상북도 예천군 유천면 가리 405,36.63021169,128.387485,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-07",1,,경상북도 예천군 유천면 가리 906,36.63090323,128.3854534,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-08",1,,경상북도 예천군 유천면 가리 527,36.63032896,128.3846791,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-09",1,,경상북도 예천군 유천면 가리 536,36.6308197,128.383418,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-10",1,,경상북도 예천군 유천면 가리 396,36.63123947,128.3901179,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-11",1,,경상북도 예천군 유천면 가리 909,36.6302229,128.3923043,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-12",1,,경상북도 예천군 유천면 가리 413,36.62988908,128.3869243,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-13",1,,경상북도 예천군 유천면 가리 435,36.62968955,128.3900653,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-14",1,,경상북도 예천군 유천면 가리 426,36.62932244,128.3893367,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-15",1,,경상북도 예천군 유천면 가리 419,36.62841417,128.3887395,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-16",1,,경상북도 예천군 유천면 가리 417,36.62834313,128.3884149,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-17",1,,경상북도 예천군 유천면 가리 415,36.62850904,128.3872864,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-18",1,,경상북도 예천군 유천면 가리 468,36.62734758,128.3869451,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-19",1,,경상북도 예천군 유천면 가리 476,36.62486088,128.3867426,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-20",1,,경상북도 예천군 유천면 가리 446,36.62823791,128.3902704,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-21",1,,경상북도 예천군 유천면 가리 51,36.62677735,128.3931813,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-22",1,,경상북도 예천군 유천면 가리 918,36.6268208,128.391931,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-23",1,,경상북도 예천군 유천면 가리 920,36.62878358,128.3942314,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-24",1,,경상북도 예천군 유천면 가리 920-6,36.62698833,128.3947813,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-25",1,,경상북도 예천군 유천면 가리 25,36.62604725,128.3959281,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-26",1,,경상북도 예천군 유천면 가리 93,36.62973941,128.3940685,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-27",1,,경상북도 예천군 유천면 가리 323,36.63472564,128.3905828,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-28",1,,경상북도 예천군 유천면 가리 297,36.63494934,128.3883251,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-29",1,,경상북도 예천군 유천면 가리 313,36.63589944,128.3871558,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-30",1,,경상북도 예천군 유천면 가리 313,36.63589944,128.3871558,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-31",1,,경상북도 예천군 유천면 가리 314,36.63543103,128.3870863,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-32",1,,경상북도 예천군 유천면 가리 572,36.63494279,128.3848027,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-33",1,,경상북도 예천군 유천면 가리 359,36.63462666,128.3877868,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-34",1,,경상북도 예천군 유천면 가리 586,36.63513887,128.3826902,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-35",1,,경상북도 예천군 유천면 가리 586,36.63513887,128.3826902,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-36",1,,경상북도 예천군 유천면 가리 586,36.63513887,128.3826902,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-37",1,,경상북도 예천군 유천면 가리 769,36.63404885,128.3769149,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-38",1,,경상북도 예천군 유천면 가리 770,36.63389451,128.3772719,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-39",1,,경상북도 예천군 유천면 가리 770,36.63389451,128.3772719,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-40",1,,경상북도 예천군 유천면 가리 769,36.63404885,128.3769149,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-41",1,,경상북도 예천군 유천면 가리 769,36.63404885,128.3769149,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-42",1,,경상북도 예천군 유천면 가리 732,36.63643583,128.3773067,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-43",1,,경상북도 예천군 유천면 가리 767,36.63501938,128.3777918,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-44",1,,경상북도 예천군 유천면 가리 767,36.63501938,128.3777918,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-45",1,,경상북도 예천군 유천면 가리 767,36.63501938,128.3777918,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-46",1,,경상북도 예천군 유천면 가리 616,36.63614223,128.3761088,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-47",1,,경상북도 예천군 유천면 가리 615,36.63628763,128.3757293,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-48",1,,경상북도 예천군 유천면 가리 732,36.63643583,128.3773067,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-49",1,,경상북도 예천군 유천면 가리 735,36.63740005,128.3773338,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-50",1,,경상북도 예천군 유천면 가리 619,36.63787683,128.3776045,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-51",1,,경상북도 예천군 유천면 가리 867,36.64023379,128.3760952,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-52",1,,경상북도 예천군 유천면 가리 618,36.63850806,128.3774846,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-53",1,,경상북도 예천군 유천면 가리 231,36.64063785,128.3765669,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-54",1,,경상북도 예천군 유천면 가리 672,36.63972795,128.3764618,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-55",1,,경상북도 예천군 유천면 가리 737-1,36.63878048,128.3768374,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-56",1,,경상북도 예천군 유천면 가리 624-3,36.63599246,128.3778637,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-57",1,,경상북도 예천군 유천면 가리 619,36.63787683,128.3776045,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-58",1,,경상북도 예천군 유천면 가리 858,36.63332842,128.3879368,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-59",1,,경상북도 예천군 유천면 가리 55-7,36.62566485,128.3916662,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-60",1,,경상북도 예천군 유천면 가리 908-7,36.62969518,128.3855816,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-61",1,,경상북도 예천군 유천면 가리 394,36.63083261,128.3877677,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-62",1,,경상북도 예천군 유천면 가리 312-2,36.63578257,128.3870657,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-63",1,,경상북도 예천군 유천면 가리 361-6,36.63470007,128.3873846,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-64",1,,경상북도 예천군 유천면 가리 910,36.6285196,128.3895674,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-65",1,,경상북도 예천군 유천면 가리 525-1,36.6303894,128.3854956,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-66",1,,경상북도 예천군 유천면 가리 476,36.62486088,128.3867426,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-67",1,,경상북도 예천군 유천면 가리 759-4,36.63546317,128.3771007,,,054-650-6566,경상북도 예천군청,2022-09-23
"가2리 24-68",1,,경상북도 예천군 유천면 가리 844-7,36.63046818,128.3889735,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-01",1,,경상북도 예천군 개포면 가곡리 634,36.59800133,128.3500148,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-02",1,,경상북도 예천군 개포면 가곡리 634,36.59800133,128.3500148,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-03",1,,경상북도 예천군 개포면 가곡리 11-72,36.60911096,128.3598688,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-04",1,,경상북도 예천군 개포면 가곡리 234,36.61183252,128.3478194,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-05",1,,경상북도 예천군 개포면 가곡리 234,36.61183252,128.3478194,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-06",1,,경상북도 예천군 개포면 가곡리 240,36.59959825,128.3494185,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-07",1,,경상북도 예천군 개포면 가곡리 243-5,36.60909934,128.3517196,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-08",1,,경상북도 예천군 개포면 가곡리 249,36.6011847,128.3523654,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-09",1,,경상북도 예천군 개포면 가곡리 42-8,36.60703889,128.3566398,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-10",1,,경상북도 예천군 개포면 가곡리 42-16,36.60703889,128.3566398,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-11",1,,경상북도 예천군 개포면 가곡리 42-21,36.60703889,128.3566398,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-12",1,,경상북도 예천군 개포면 가곡리 42-28,36.60703889,128.3566398,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-13",1,,경상북도 예천군 개포면 가곡리 42,36.60705621,128.3568746,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-14",1,,경상북도 예천군 개포면 가곡리 40,36.6074065,128.3572675,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-15",1,,경상북도 예천군 개포면 가곡리 36,36.60835152,128.3576855,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-16",1,,경상북도 예천군 개포면 가곡리 38-3,36.6076121,128.3578273,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-17",1,,경상북도 예천군 개포면 가곡리 34,36.60902098,128.356839,,,054-650-6566,경상북도 예천군청,2022-09-23
"가곡1리 08-18",1,,경상북도 예천군 개포면 가곡리 31,36.60933801,128.3563039,,,054-650-6566,경상북도 예천군청,2022-09-23
