"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"근남면1",1,경상북도 울진군 근남면 주천대길 25-4,경상북도 울진군 근남면 행곡리 403,36.96858994,129.3750843,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면100",1,경상북도 울진군 근남면 뒷들길 104,경상북도 울진군 근남면 구산리 500-2,36.95031693,129.3760132,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면101",1,경상북도 울진군 근남면 뒷들길 98,경상북도 울진군 근남면 구산리 475-1,36.95068608,129.3754429,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면102",1,,경상북도 울진군 근남면 구산리 486-3,,,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면104",1,경상북도 울진군 근남면 뒷들길 90,경상북도 울진군 근남면 구산리 471-1,36.95102998,129.3748559,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면105",1,경상북도 울진군 근남면 뒷들길 88-3,경상북도 울진군 근남면 구산리 470,36.95091496,129.3747197,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면106",1,경상북도 울진군 근남면 뒷들길 88-18,경상북도 울진군 근남면 구산리 458-2,36.95044291,129.3743049,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면107",1,경상북도 울진군 근남면 뒷들길 81,경상북도 울진군 근남면 구산리 444-1,36.95149292,129.3743615,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면108",1,경상북도 울진군 근남면 뒷들길 79-1,경상북도 울진군 근남면 구산리 443,36.95162458,129.374508,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면109",1,경상북도 울진군 근남면 뒷들길 55-8,경상북도 울진군 근남면 구산리 433-2,36.95187383,129.3754816,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면11",1,경상북도 울진군 근남면 천연2길 41,경상북도 울진군 근남면 행곡리 5-1,36.97386902,129.3774447,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면112",1,경상북도 울진군 근남면 성류남길 92,경상북도 울진군 근남면 구산리 397-34,36.95373669,129.3795362,,한전주,054-789-6422,경상북도 울진군,2022-11-30
"근남면113",1,경상북도 울진군 근남면 성류남길 84,,36.95354301,129.3801154,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면114",1,,경상북도 울진군 근남면 구산리 347-23,36.95332929,129.3810888,,한전주,054-789-6422,경상북도 울진군,2022-11-30
"근남면115",1,경상북도 울진군 근남면 성류남길 58,경상북도 울진군 근남면 구산리 388,36.95244505,129.3827764,,한전주,054-789-6422,경상북도 울진군,2022-11-30
"근남면116",1,경상북도 울진군 근남면 성류남길 38-6,경상북도 울진군 근남면 구산리 산23-2,36.95087465,129.3823367,,한전주,054-789-6422,경상북도 울진군,2022-11-30
"근남면117",1,경상북도 울진군 근남면 성류남길 38-6,경상북도 울진군 근남면 구산리 산23-2,36.95087465,129.3823367,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면118",1,,경상북도 울진군 근남면 구산리 109,36.94544633,129.3815567,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면119",1,경상북도 울진군 근남면 망양정로 389,경상북도 울진군 근남면 진복리 340,36.91635068,129.4149708,,한전주,054-789-6422,경상북도 울진군,2022-11-30
"근남면12",1,경상북도 울진군 근남면 천연2길 17,경상북도 울진군 근남면 행곡리 15-2,36.97193411,129.3772123,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면120",1,경상북도 울진군 근남면 망양정로 389,경상북도 울진군 근남면 진복리 340,36.91635068,129.4149708,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면121",1,경상북도 울진군 근남면 망양정로 389,경상북도 울진군 근남면 진복리 340,36.91635068,129.4149708,,전용주,054-789-6422,경상북도 울진군,2022-11-30
"근남면123",1,경상북도 울진군 근남면 망양정로 419-11,경상북도 울진군 근남면 진복리 231-1,36.91863433,129.4159916,,전용주,054-789-6422,경상북도 울진군,2022-11-30
