"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"동산리",1,,경상북도 청도군 매전면 동산리 439-5,35.66732386,128.8528154,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"청려로",1,경상북도 청도군 매전면 청려로 3645-5,경상북도 청도군 매전면 동산리 457-1,35.66706679,128.850935,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 486-1,35.66771947,128.851682,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 545-1,35.6722377,128.8462181,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 600-2,35.67701555,128.8422586,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 613-1,35.6789252,128.8411409,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 621-3,35.67953338,128.8405286,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 666-1,35.67463605,128.8422557,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"새터길",1,경상북도 청도군 매전면 새터길 21,경상북도 청도군 매전면 동산리 721,35.67369953,128.8434167,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"새터길",1,경상북도 청도군 매전면 새터길 19-4,경상북도 청도군 매전면 동산리 723,35.67360186,128.8432058,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"남양리",1,,경상북도 청도군 매전면 남양리 874,35.64969518,128.8959933,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동편길",1,경상북도 청도군 매전면 동편길 12,경상북도 청도군 매전면 남양리 900,35.65009519,128.895534,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 239-2,35.66630441,128.8542184,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 255-5,35.66662022,128.8554367,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 267-3,35.6664144,128.8564949,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 281-6,35.66484551,128.8553073,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 283-1,35.66544763,128.8555567,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 310-5,35.66211672,128.8537209,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 430-23,35.66651961,128.8518349,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 430-48,35.66605252,128.851609,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"청려로",1,경상북도 청도군 매전면 청려로 3648,경상북도 청도군 매전면 동산리 430-6,35.66642657,128.8509724,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 434-10,35.66624148,128.8529254,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 434-7,35.6667103,128.8529083,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"동산리",1,,경상북도 청도군 매전면 동산리 436-4,35.66608936,128.8527691,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"청려로",1,경상북도 청도군 매전면 청려로 3649-16,경상북도 청도군 매전면 동산리 439-13,35.6670929,128.852338,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 1235-4,35.64283719,128.8370407,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 1236,35.64368211,128.829574,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 1241,35.63896581,128.8351122,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 154-1,35.64542147,128.838702,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 213-1,35.64421004,128.8366354,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"광명대",1,경상북도 청도군 매전면 광명대2길 48-9,경상북도 청도군 매전면 온막리 231,35.6441575,128.8338191,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 35,35.64045321,128.8389702,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온장길",1,경상북도 청도군 매전면 온장길 14,경상북도 청도군 매전면 온막리 37,35.64059456,128.8380883,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 44-2,35.64263621,128.8374251,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온산길",1,경상북도 청도군 매전면 온산길 83,경상북도 청도군 매전면 온막리 448-2,35.64397397,128.8303831,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 456,35.64423231,128.8282104,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 521,35.64478229,128.8242519,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"관하리",1,,경상북도 청도군 매전면 관하리 448,35.71155287,128.815071,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"관하리",1,,경상북도 청도군 매전면 관하리 505-4,35.71030076,128.8136326,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"관하리",1,,경상북도 청도군 매전면 관하리 508-4,35.71084347,128.8133508,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"관하리",1,,경상북도 청도군 매전면 관하리 517,35.71140573,128.8141744,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"청매로",1,경상북도 청도군 매전면 청매로 1109-5,경상북도 청도군 매전면 온막리 1233-1,35.63507328,128.8218445,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 1233-11,35.64425451,128.8328263,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
"온막리",1,,경상북도 청도군 매전면 온막리 1234,35.64429194,128.832628,,전용주,054-370-2255,경상북도 청도군청,2023-08-29
