"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"부남면001",1,경상북도 청송군 부남면 새벌길 29,경상북도 청송군 부남면 감연리 1015,36.36158483,129.0737347,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면002",1,경상북도 청송군 부남면 새벌길 25,경상북도 청송군 부남면 감연리 1009,36.36123635,129.0733855,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면003",1,,경상북도 청송군 부남면 감연리 1204-2,36.357857,129.061081,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면004",1,경상북도 청송군 부남면 청송로 3914,경상북도 청송군 부남면 감연리 1205,36.35828852,129.0615712,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면005",1,경상북도 청송군 부남면 옥동길 4-1,경상북도 청송군 부남면 감연리 1213,36.3583217,129.0605624,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면006",1,,경상북도 청송군 부남면 감연리 161,36.35228236,129.0579186,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면007",1,,경상북도 청송군 부남면 감연리 249-1,36.352287,129.056946,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면008",1,경상북도 청송군 부남면 감연2길 33,경상북도 청송군 부남면 감연리 443,36.3512038,129.0553249,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면009",1,,경상북도 청송군 부남면 감연리 963-4,36.34887341,129.0526211,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면010",1,경상북도 청송군 부남면 감연2길 64-17,경상북도 청송군 부남면 감연리 428,36.34974032,129.0516914,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면011",1,경상북도 청송군 부남면 감연2길 64-54,경상북도 청송군 부남면 감연리 409,36.35105933,129.0504989,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면012",1,경상북도 청송군 부남면 감연2길 72,경상북도 청송군 부남면 감연리 산 52,36.34884424,129.0525322,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면013",1,경상북도 청송군 부남면 감연2길 93-82,경상북도 청송군 부남면 감연리 683,36.346806,129.0476952,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면014",1,경상북도 청송군 부남면 아방실길 134,경상북도 청송군 부남면 감연리 523,36.34502107,129.0516254,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면015",1,경상북도 청송군 부남면 아방실길 138,경상북도 청송군 부남면 감연리 526-1,36.34477584,129.0511781,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면016",1,경상북도 청송군 부남면 아방실길 141,경상북도 청송군 부남면 감연리 584-3,36.34419162,129.051025,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면017",1,경상북도 청송군 부남면 아방실길 144,경상북도 청송군 부남면 감연리 613,36.34423101,129.0505951,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면018",1,경상북도 청송군 부남면 아방실길 154,경상북도 청송군 부남면 감연리 616,36.34393846,129.0498963,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면019",1,,경상북도 청송군 부남면 감연리 618-1,36.3436455,129.049286,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면020",1,경상북도 청송군 부남면 아방실길 172,경상북도 청송군 부남면 감연리 610-3,36.3425754,129.048523,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면021",1,경상북도 청송군 부남면 아방실길 182,경상북도 청송군 부남면 감연리 610-5,36.34288089,129.049527,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면022",1,경상북도 청송군 부남면 아방실길 130-1,경상북도 청송군 부남면 감연리 492,36.34507776,129.0521073,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면023",1,경상북도 청송군 부남면 아방실길 126,경상북도 청송군 부남면 감연리 532,36.344883,129.052475,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면024",1,경상북도 청송군 부남면 아방실길 122,경상북도 청송군 부남면 감연리 534,36.344605,129.0528804,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면025",1,경상북도 청송군 부남면 아방실길 108,경상북도 청송군 부남면 감연리 541,36.3444064,129.0541684,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면026",1,경상북도 청송군 부남면 아방실길 97,경상북도 청송군 부남면 감연리 545,36.34381145,129.0552064,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면027",1,,경상북도 청송군 부남면 감연리 557-3,36.34300232,129.0549869,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면028",1,,경상북도 청송군 부남면 감연리 598,36.34155685,129.054489,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면029",1,경상북도 청송군 부남면 아방실길 89-17,경상북도 청송군 부남면 감연리 548,36.34278826,129.0560972,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면030",1,경상북도 청송군 부남면 아방실길 86,경상북도 청송군 부남면 감연리 44-2,36.34375691,129.0566688,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면031",1,경상북도 청송군 부남면 아방실길 79,경상북도 청송군 부남면 감연리 43-1,36.343441,129.0572071,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면032",1,경상북도 청송군 부남면 아방실길 68,경상북도 청송군 부남면 감연리 45,36.34443771,129.0578406,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면033",1,경상북도 청송군 부남면 아방실길 58,경상북도 청송군 부남면 감연리 68,36.34507079,129.0585605,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면034",1,,경상북도 청송군 부남면 감연리 109,36.34609052,129.0599579,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면035",1,,경상북도 청송군 부남면 감연리 65,36.34573888,129.0597401,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면036",1,경상북도 청송군 부남면 아방실길 36,경상북도 청송군 부남면 감연리 30-1,36.34632476,129.0607059,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면037",1,경상북도 청송군 부남면 아방실길 25,경상북도 청송군 부남면 감연리 25-2,36.346355,129.0618121,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면038",1,경상북도 청송군 부남면 아방실길 22,경상북도 청송군 부남면 감연리 24,36.346603,129.061905,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면039",1,경상북도 청송군 부남면 아방실길 16,경상북도 청송군 부남면 감연리 23-6,36.346714,129.0625214,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면040",1,경상북도 청송군 부남면 아방실길 12,경상북도 청송군 부남면 감연리 23-9,36.346809,129.0630664,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면041",1,,경상북도 청송군 부남면 감연리 21-4,36.347138,129.0629142,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면042",1,경상북도 청송군 부남면 원천길 20-4,경상북도 청송군 부남면 감연리 20-12,36.34782201,129.0628229,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면043",1,경상북도 청송군 부남면 원천길 20-12,경상북도 청송군 부남면 감연리 20-10,36.34772148,129.0622472,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면044",1,경상북도 청송군 부남면 원천길 18-6,경상북도 청송군 부남면 감연리 18-1,36.347916,129.0626525,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면045",1,경상북도 청송군 부남면 원천길 10,경상북도 청송군 부남면 감연리 7-7,36.348225,129.0635094,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면046",1,경상북도 청송군 부남면 원천길 5,경상북도 청송군 부남면 감연리 16-2,36.34776834,129.0636867,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면047",1,경상북도 청송군 부남면 원천길 5,경상북도 청송군 부남면 감연리 16-3,36.34776834,129.063644,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면048",1,경상북도 청송군 부남면 대전로 145-14,경상북도 청송군 부남면 대전리 77-6,36.34730938,129.063904,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면049",1,경상북도 청송군 부남면 대전로 145,경상북도 청송군 부남면 대전리 74-2,36.346779,129.0642751,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면050",1,경상북도 청송군 부남면 아방실길 8,경상북도 청송군 부남면 대전리 77-4,36.34707096,129.0634158,,한전주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면051",1,경상북도 청송군 부남면 아방실길 9-13,경상북도 청송군 부남면 대전리 80-4,36.3462149,129.0635675,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
"부남면052",1,경상북도 청송군 부남면 대전1길 6,경상북도 청송군 부남면 대전리 81-2,36.34545395,129.0634875,,전용주,054-872-3405,경상북도 청송군 부남면사무소,2023-04-05
