"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가산면 116",1,,경상북도 칠곡군 가산면 116,36.093403,128.508078,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 359-1",1,,경상북도 칠곡군 가산면 359-1,36.096211,128.506952,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산로 1079-9",1,경상북도 칠곡군 가산면 가산로 1079-9,,36.042350,128.605239,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산로 1317-12",1,경상북도 칠곡군 가산면 가산로 1317-12,,36.054186,128.615655,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산로 1330-2",1,경상북도 칠곡군 가산면 가산로 1330-2,,36.054575,128.616229,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산로 1330-7",1,경상북도 칠곡군 가산면 가산로 1330-7,,36.054524,128.616650,,,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산로 972-23",1,경상북도 칠곡군 가산면 가산로 972-23,,36.044895,128.595504,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1000",1,,경상북도 칠곡군 가산면 가산리 1000,36.042033,128.595185,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 100-6",1,,경상북도 칠곡군 가산면 가산리 100-6,36.055631,128.597663,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1013",1,,경상북도 칠곡군 가산면 가산리 1013,36.042635,128.595689,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1034",1,,경상북도 칠곡군 가산면 가산리 1034,36.042613,128.594613,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 104-1",1,,경상북도 칠곡군 가산면 가산리 104-1,36.055239,128.596584,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1042-1",1,,경상북도 칠곡군 가산면 가산리 1042-1,36.043556,128.595252,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1053-2",1,,경상북도 칠곡군 가산면 가산리 1053-2,36.043148,128.595782,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1059-1",1,,경상북도 칠곡군 가산면 가산리 1059-1,36.043010,128.596369,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1-2",1,,경상북도 칠곡군 가산면 가산리 1-2,36.060431,128.605426,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 122-4",1,,경상북도 칠곡군 가산면 가산리 122-4,36.055264,128.593465,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
"가산면 가산리 1228",1,,경상북도 칠곡군 가산면 가산리 1228,36.056065,128.597389,,한전주,054-979-5430,경상북도 칠곡군청,2020-07-01
