"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"상대001",1,경상북도 포항시 남구 중앙로131번길 49-1,경상북도 포항시 남구 대도동 18-13,36.02713859,129.3631843,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대002",1,경상북도 포항시 남구 중앙로131번길 45,경상북도 포항시 남구 대도동 4-34,36.02561546,129.366025,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대003",1,경상북도 포항시 남구 양학천로 170,경상북도 포항시 남구 대도동 26-41,36.02738143,129.3634661,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대004",1,경상북도 포항시 남구 중앙로131번길 46,경상북도 포항시 남구 대도동 26-43,36.02722718,129.3637359,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대005",1,경상북도 포항시 남구 중앙로131번길 42,경상북도 포항시 남구 대도동 26-38,36.02704869,129.3641288,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대006",1,경상북도 포항시 남구 중앙로131번길 38,경상북도 포항시 남구 대도동 26-31,36.02688365,129.3644248,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대007",1,경상북도 포항시 남구 중앙로131번길 36,경상북도 포항시 남구 대도동 26-34,36.02673299,129.3647314,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대008",1,경상북도 포항시 남구 중앙로131번길 36,경상북도 포항시 남구 대도동 26-34,36.02673299,129.3647314,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대009",1,경상북도 포항시 남구 중앙로131번길 32,경상북도 포항시 남구 대도동 26-51,36.02657215,129.3650335,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대010",1,경상북도 포항시 남구 중앙로131번길 30,경상북도 포항시 남구 대도동 26-50,36.02648284,129.365176,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대011",1,경상북도 포항시 남구 중앙로131번길 25-3,경상북도 포항시 남구 대도동 5-29,36.02597254,129.3653621,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대012",1,경상북도 포항시 남구 중앙로147번길 19,경상북도 포항시 남구 대도동 41-3,36.02652571,129.3656381,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대013",1,경상북도 포항시 남구 중앙로147번길 20,경상북도 포항시 남구 대도동 2-6,36.02691533,129.3655633,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대014",1,경상북도 포항시 남구 중앙로147번길 23,경상북도 포항시 남구 대도동 26-2,36.02684865,129.3650846,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대015",1,경상북도 포항시 남구 중앙로147번길 30,경상북도 포항시 남구 대도동 1-6,36.02736943,129.3647689,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대016",1,경상북도 포항시 남구 양학천로 178,경상북도 포항시 남구 대도동 1-1,36.02754241,129.364436,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대017",1,경상북도 포항시 남구 중앙로147번길 26,경상북도 포항시 남구 대도동 2-4,36.02715835,129.365165,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대018",1,경상북도 포항시 남구 중앙로147번길 28-12,경상북도 포항시 남구 대도동 2-11,36.02723793,129.3655338,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대019",1,경상북도 포항시 남구 대해로91번길 46,경상북도 포항시 남구 대도동 4-3,36.02560981,129.3657313,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대020",1,경상북도 포항시 남구 중앙로121번길 36-2,경상북도 포항시 남구 대도동 5-8,36.0258917,129.3650622,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대021",1,경상북도 포항시 남구 중앙로121번길 35,경상북도 포항시 남구 대도동 24-6,36.0257203,129.3647212,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대022",1,경상북도 포항시 남구 중앙로121번길 41,경상북도 포항시 남구 대도동 24-5,36.02594478,129.3642985,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대023",1,경상북도 포항시 남구 중앙로121번길 46,경상북도 포항시 남구 대도동 6-1,36.02673605,129.3638091,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대024",1,경상북도 포항시 남구 중앙로121번길 53-2,경상북도 포항시 남구 대도동 19-16,36.02650111,129.3628519,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대025",1,경상북도 포항시 남구 양학천로150번길 13,경상북도 포항시 남구 대도동 21-4,36.02617848,129.3631665,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대026",1,경상북도 포항시 남구 양학천로150번길 11,경상북도 포항시 남구 대도동 19-2,36.0263387,129.362635,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대027",1,경상북도 포항시 남구 양학천로150번길 7,경상북도 포항시 남구 대도동 19-7,36.02647229,129.3623121,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대028",1,경상북도 포항시 남구 양학천로 152,경상북도 포항시 남구 대도동 19-19,36.02671518,129.3619975,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대029",1,경상북도 포항시 남구 양학천로150번길 7,경상북도 포항시 남구 대도동 19-7,36.02647229,129.3623121,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대030",1,경상북도 포항시 남구 양학천로150번길 6-4,경상북도 포항시 남구 대도동 20-40,36.0262022,129.361977,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대031",1,경상북도 포항시 남구 양학천로150번길 12,경상북도 포항시 남구 대도동 20-37,36.02610316,129.3625542,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대032",1,경상북도 포항시 남구 양학천로150번길 12-4,경상북도 포항시 남구 대도동 20-16,36.02586205,129.3623575,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대033",1,경상북도 포항시 남구 양학천로150번길 12-10,경상북도 포항시 남구 대도동 20-13,36.02608826,129.3619475,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대034",1,경상북도 포항시 남구 양학천로136번길 9-15,경상북도 포항시 남구 대도동 20-30,36.02573547,129.361653,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대035",1,경상북도 포항시 남구 양학천로136번길 9-9,경상북도 포항시 남구 대도동 20-33,36.02551153,129.3620808,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대036",1,경상북도 포항시 남구 양학천로150번길 12-15,경상북도 포항시 남구 대도동 16-22,36.0256444,129.3628086,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대037",1,경상북도 포항시 남구 양학천로150번길 12-17,경상북도 포항시 남구 대도동 16-26,36.02555971,129.3629777,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대038",1,경상북도 포항시 남구 양학천로150번길 17,경상북도 포항시 남구 대도동 21-6,36.02593248,129.363273,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대039",1,경상북도 포항시 남구 대해로79번길 35,경상북도 포항시 남구 대도동 21-28,36.02567759,129.363785,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대040",1,경상북도 포항시 남구 대해로79번길 36,경상북도 포항시 남구 대도동 24-36,36.02556597,129.3639987,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대041",1,경상북도 포항시 남구 양학천로150번길 26,경상북도 포항시 남구 대도동 15-11,36.02540766,129.3638665,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대042",1,경상북도 포항시 남구 대해로79번길 27,경상북도 포항시 남구 대도동 16-3,36.02543107,129.3632918,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대043",1,경상북도 포항시 남구 대해로79번길 32-3,경상북도 포항시 남구 대도동 15-77,36.02510829,129.363993,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대044",1,경상북도 포항시 남구 대해로79번길 27,경상북도 포항시 남구 대도동 16-3,36.02543107,129.3632918,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대045",1,경상북도 포항시 남구 대해로79번길 27,경상북도 포항시 남구 대도동 16-3,36.02543107,129.3632918,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대046",1,경상북도 포항시 남구 대해로79번길 27,경상북도 포항시 남구 대도동 16-3,36.02543107,129.3632918,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대047",1,경상북도 포항시 남구 대해로79번길 28,경상북도 포항시 남구 대도동 15-8,36.02475242,129.3633341,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대048",1,경상북도 포항시 남구 대해로79번길 23-1,경상북도 포항시 남구 대도동 16-36,36.02472395,129.3630327,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대049",1,경상북도 포항시 남구 대해로79번길 21,경상북도 포항시 남구 대도동 8-40,36.02448156,129.3628145,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대050",1,경상북도 포항시 남구 대해로79번길 21,경상북도 포항시 남구 대도동 8-40,36.02448156,129.3628145,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대051",1,경상북도 포항시 남구 양학천로136번길 26-1,경상북도 포항시 남구 대도동 53-10,36.02417391,129.3633514,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대052",1,경상북도 포항시 남구 양학천로136번길 25-4,경상북도 포항시 남구 대도동 15-70,36.02444846,129.3636431,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대053",1,경상북도 포항시 남구 양학천로136번길 28-1,경상북도 포항시 남구 대도동 53-28,36.02405166,129.3636344,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대054",1,경상북도 포항시 남구 양학천로136번길 29-1,경상북도 포항시 남구 대도동 15-85,36.02437676,129.3637654,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대055",1,경상북도 포항시 남구 양학천로136번길 32,경상북도 포항시 남구 대도동 53-6,36.0238632,129.3638747,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대056",1,경상북도 포항시 남구 대해로91번길 23,경상북도 포항시 남구 대도동 15-54,36.02409241,129.364254,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대057",1,경상북도 포항시 남구 대해로91번길 25,경상북도 포항시 남구 대도동 15-2,36.02420947,129.3642438,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대058",1,경상북도 포항시 남구 대해로91번길 27-1,경상북도 포항시 남구 대도동 15-49,36.02438679,129.3642665,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대059",1,경상북도 포항시 남구 대해로91번길 27-5,경상북도 포항시 남구 대도동 15-47,36.02448686,129.3640761,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대060",1,경상북도 포항시 남구 대해로91번길 30,경상북도 포항시 남구 대도동 14-25,36.0244253,129.3647351,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대061",1,경상북도 포항시 남구 대해로91번길 30-4,경상북도 포항시 남구 대도동 14-33,36.02417522,129.3648609,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대062",1,경상북도 포항시 남구 대해로91번길 29-2,경상북도 포항시 남구 대도동 15-35,36.02464072,129.3644752,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대063",1,경상북도 포항시 남구 대해로91번길 32,경상북도 포항시 남구 대도동 14-20,36.02453278,129.3648086,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대064",1,경상북도 포항시 남구 대해로91번길 32-5,경상북도 포항시 남구 대도동 14-16,36.02456193,129.3651852,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대065",1,경상북도 포항시 남구 대해로91번길 31-5,경상북도 포항시 남구 대도동 15-27,36.02483102,129.3643423,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대066",1,경상북도 포항시 남구 대해로91번길 36,경상북도 포항시 남구 대도동 25-32,36.02494207,129.3651528,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대067",1,경상북도 포항시 남구 대해로91번길 38-1,경상북도 포항시 남구 대도동 25-3,36.02507643,129.3652702,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대068",1,경상북도 포항시 남구 대해로91번길 39-4,경상북도 포항시 남구 대도동 24-10,36.02545744,129.3648919,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대069",1,경상북도 포항시 남구 중앙로121번길 25,경상북도 포항시 남구 대도동 25-41,36.02517191,129.3656871,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대070",1,경상북도 포항시 남구 중앙로121번길 24,경상북도 포항시 남구 대도동 4-40,36.02522427,129.3661109,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대071",1,경상북도 포항시 남구 중앙로121번길 21,경상북도 포항시 남구 대도동 25-20,36.02497779,129.3660954,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대072",1,경상북도 포항시 남구 중앙로121번길 17,경상북도 포항시 남구 대도동 25-23,36.0247827,129.366457,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대073",1,경상북도 포항시 남구 중앙로121번길 7-3,경상북도 포항시 남구 대도동 12-38,36.02410449,129.3675584,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대074",1,경상북도 포항시 남구 양학천로150번길 57,경상북도 포항시 남구 대도동 12-26,36.02398609,129.3669569,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대075",1,경상북도 포항시 남구 양학천로150번길 53,경상북도 포항시 남구 대도동 12-10,36.02420779,129.3665479,2015,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대076",1,경상북도 포항시 남구 양학천로150번길 47,경상북도 포항시 남구 대도동 25-17,36.02442214,129.3661599,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대077",1,경상북도 포항시 남구 양학천로150번길 53-1,경상북도 포항시 남구 대도동 12-11,36.02433914,129.3666397,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대078",1,,경상북도 포항시 남구 대도동 25-37,36.02461047,129.3658024,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대079",1,경상북도 포항시 남구 양학천로150번길 41,경상북도 포항시 남구 대도동 25-14,36.02477969,129.3655328,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대080",1,경상북도 포항시 남구 양학천로150번길 46-4,경상북도 포항시 남구 대도동 14-59,36.02428052,129.3654422,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대081",1,경상북도 포항시 남구 양학천로150번길 46-10,경상북도 포항시 남구 대도동 14-68,36.02398977,129.3652094,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대082",1,경상북도 포항시 남구 양학천로150번길 50-6,경상북도 포항시 남구 대도동 14-63,36.0240156,129.3657909,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대083",1,경상북도 포항시 남구 양학천로136번길 45-11,경상북도 포항시 남구 대도동 14-71,36.02378058,129.3656103,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대084",1,경상북도 포항시 남구 양학천로150번길 58,경상북도 포항시 남구 대도동 13-1,36.0225583,129.3668559,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대085",1,경상북도 포항시 남구 양학천로136번길 46,경상북도 포항시 남구 대도동 54-10,36.02321224,129.3651716,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대086",1,경상북도 포항시 남구 양학천로136번길 50,경상북도 포항시 남구 대도동 58-17,36.02304363,129.3654976,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대087",1,경상북도 포항시 남구 양학천로136번길 54-1,경상북도 포항시 남구 대도동 58-19,36.02283746,129.3659049,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대088",1,경상북도 포항시 남구 양학천로136번길 58,경상북도 포항시 남구 대도동 60-45,36.02264831,129.3661757,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대089",1,경상북도 포항시 남구 양학천로136번길 62,경상북도 포항시 남구 대도동 60-5,36.02247501,129.3665842,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대090",1,경상북도 포항시 남구 양학천로150번길 58,경상북도 포항시 남구 대도동 13-1,36.0225583,129.3668559,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대091",1,경상북도 포항시 남구 상공로 185,경상북도 포항시 남구 대도동 60-27,36.02229014,129.3661179,2014,,054-270-6385,경상북도 포항시 남구청,2021-10-07
"상대092",1,경상북도 포항시 남구 상공로 185,경상북도 포항시 남구 대도동 60-27,36.02229014,129.3661179,2016,,054-270-6385,경상북도 포항시 남구청,2021-10-07
