관리번호,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
동구-01-1,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-2,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-3,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-4,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-5,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-6,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-7,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-8,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-9,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-10,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-11,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-12,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-13,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-14,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-15,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-16,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-17,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-18,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-19,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-20,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-21,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-22,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-23,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-24,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-25,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-26,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-27,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-28,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-29,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-30,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-31,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-32,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-01-33,화산로205,용산동 634-1,35.1158605,126.9181691,2023-04-20
동구-02-1,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-2,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-3,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-4,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-5,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-6,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-7,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-8,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-9,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-10,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-11,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-12,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-13,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-14,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-15,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-16,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-17,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-18,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-19,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-20,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-21,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-22,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-23,,소태동 176,35.11206,126.9369116,2023-04-20
동구-02-24,,소태동 176,35.11206,126.9369116,2023-04-20
동구-03-1,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-2,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-3,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-4,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-5,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-6,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-7,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-8,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-9,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-10,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-11,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-12,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-13,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-14,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-15,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-16,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-17,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-18,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-19,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-20,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-21,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-22,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-23,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-24,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-03-25,,선교동 472-10,35.0886963,126.9473873,2023-04-20
동구-04-1,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-2,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-3,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-4,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-5,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-6,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-7,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-8,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-9,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-10,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-11,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-12,,용연동564,35.093209,126.9611048,2023-04-20
동구-04-13,,용연동564,35.093209,126.9611048,2023-04-20
동구-05-1,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-2,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-3,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-4,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-5,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-6,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-7,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-8,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-9,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-10,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-11,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-12,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-13,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-14,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-15,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-16,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-17,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-18,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-19,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-20,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-21,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-22,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-23,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-24,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-25,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-26,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-27,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-28,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-29,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-30,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-31,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-05-32,남문로 162,선교동 475,35.088994,126.9473547,2023-04-20
동구-06-1,서남로 26,서석동 25-3,35.1447498,126.9242073,2023-04-20
