등록번호,표찰번호,지번주소,도로명주소,경도,위도,데이터제공일자
1,(천변우로) 광주일고 천변-1 1,누문동 324,,35.153206,126.905273,2022-11-10
2,(천변우로) 광주일고 천변-1 2,누문동 324,,35.1530471,126.9054696,2022-11-10
3,(천변우로) 광주일고 천변-1 8,누문동 324,,35.152855,126.905731,2022-11-10
4,(천변우로) 광주일고 천변-1 4,누문동 324,,35.152668,126.905991,2022-11-10
5,(천변우로) 광주일고 천변-1 5,누문동 324,,35.152477,126.906258,2022-11-10
6,(천변우로) 광주일고 천변-1 6,누문동 324,,35.152287,126.906502,2022-11-10
7,(천변우로) 광주일고 천변-1 7,누문동 324,,35.152088,126.906792,2022-11-10
8,(천변우로) 광주일고 천변-1 8,누문동 324,,35.151909,126.907021,2022-11-10
9,(천변우로) 광주일고 천변-1 9,누문동 324,,35.151775,126.907188,2022-11-10
10,(독립로) 419기념탑 LP-002 11 (2020),누문동 316,,35.151756,126.907509,2022-11-10
12,(독립로) 419기념탑 LP-002 9 (2020),누문동 316,,35.152088,126.907951,2022-11-10
13,(독립로) 419기념탑 LP-002 8 (2020),누문동 316,,35.152298,126.908188,2022-11-10
14,(독립로) 419기념탑 LP-002 7 (2020),누문동 316,,35.1525,126.90844,2022-11-10
15,(독립로) 419기념탑 LP-002 6 (2020),누문동 240,,35.152637,126.908638,2022-11-10
16,(독립로) 419기념탑 LP-002 5 (2020),누문동 240,,35.152813,126.908859,2022-11-10
18,(독립로) 419기념탑 LP-002 3 (2020),누문동 316,,35.153202,126.90934,2022-11-10
19,(독립로) 419기념탑 LP-002 2 (2020),누문동 134-2,,35.153416,126.909584,2022-11-10
20,(독립로) 419기념탑 LP-002 1 (2020),누문동 130-4,,35.153587,126.90979,2022-11-10
21,(독립로) 롯데백화점 LP-003 9 (2020),북동 299,,35.1539234,126.9101126,2022-11-10
22,(독립로) 롯데백화점 LP-003 8 (2020),북동 299,,35.1540877,126.9103055,2022-11-10
23,(독립로) 롯데백화점 LP-003 7 (2020),북동 250-8,,35.1543094,126.9105778,2022-11-10
24,(독립로) 롯데백화점 LP-003 6 (2020),북동 244-2,,35.1544946,126.9107865,2022-11-10
25,(독립로) 롯데백화점 LP-003 5 (2020),북동 243,,35.154698,126.9110275,2022-11-10
26,(독립로) 롯데백화점 LP-003 4 (2020),북동 42-11,,35.1549059,126.9112675,2022-11-10
27,(독립로) 롯데백화점 LP-003 3 (2020),북동 22-9,,35.1551217,126.9115209,2022-11-10
28,(독립로) 롯데백화점 LP-003 2 (2020),북동 22-9,,35.1553303,126.9117461,2022-11-10
29,(독립로) 롯데백화점 LP-003 1 (2020),북동 22-9,,35.1555294,126.9119858,2022-11-10
30,(금남로) 수창초등학교2 1,유동 37-10,,35.1568406,126.905064,2022-11-10
31,(금남로) 수창초등학교2 2,유동 39-1,,35.156708,126.9052689,2022-11-10
32,(금남로) 수창초등학교2 3,유동 39-1,,35.156582,126.9054574,2022-11-10
33,(금남로) 수창초등학교2 4,누문동 297,,35.1564296,126.9056946,2022-11-10
34,(금남로) 수창초등학교2 5,누문동 296,,35.1562577,126.9059549,2022-11-10
35,(금남로) 수창초등학교2 6,누문동 296,,35.1561258,126.9061568,2022-11-10
36,(금남로) 수창초등학교2 7,누문동 318,,35.1559914,126.9063508,2022-11-10
37,(금남로) 수창초등학교2 8,누문동 294,,35.1558416,126.9065916,2022-11-10
38,(금남로) 수창초등학교2 9,누문동 294,,35.155712,126.9067801,2022-11-10
39,(금남로) 수창초등학교2 10,누문동 289,,35.1555579,126.9070119,2022-11-10
40,(금남로) 수창초등학교2 11,누문동 286,,35.1554092,126.9072223,2022-11-10
41,(금남로) 수창초등학교2 12,누문동 285,,35.1552525,126.9074606,2022-11-10
42,(금남로) 수창초등학교2 13,누문동 281,,35.1551261,126.9076665,2022-11-10
43,(금남로) 수창초등학교2 14,누문동 279,,35.1549698,126.9079009,2022-11-10
44,(금남로) 수창초등학교2 15,누문동 277,,35.1548058,126.9081531,2022-11-10
45,(금남로) 수창초등학교2 16,누문동 274,,35.1546487,126.9083769,2022-11-10
46,(금남로) 수창초등학교2 17,누문동 273,,35.1545096,126.9085855,2022-11-10
47,(금남로) 수창초등학교2 18,누문동 268,,35.1543237,126.9088699,2022-11-10
48,(금남로) 수창초등학교2 19,누문동 262,,35.1541886,126.9090708,2022-11-10
49,(금남로) 수창초등학교2 20,누문동 260,,35.1540165,126.9093279,2022-11-10
50,(금남로) 수창초등학교2 21,누문동 256,,35.1538598,126.9095601,2022-11-10
51,(금남로) 수창초등학교2 22,누문동 254,,35.153713,126.9097674,2022-11-10
52,(육교),누문동 288,,35.1554921,126.9071165,2022-11-10
53,(금남로) 수창초등학교1 1,북동 299,,35.1539322,126.9100079,2022-11-10
54,(금남로) 수창초등학교1 2,북동 299,,35.1540932,126.9097436,2022-11-10
55,(금남로) 수창초등학교1 3,북동 299,,35.1542594,126.9094953,2022-11-10
56,(금남로) 수창초등학교1 4,북동 299,,35.1544216,126.9092663,2022-11-10
57,(금남로) 수창초등학교1 5,북동 299,,35.1546148,126.9089736,2022-11-10
58,(금남로) 수창초등학교1 6,북동 161,,35.1547708,126.9087446,2022-11-10
59,(금남로) 수창초등학교1 7,북동 161,,35.154934,126.9084738,2022-11-10
60,(금남로) 수창초등학교1 8,북동 161,,35.1550513,126.9083053,2022-11-10
61,(금남로) 수창초등학교1 9,북동 161,,35.1551802,126.9081116,2022-11-10
62,(금남로) 수창초등학교1 10,북동 161,,35.1553289,126.9078731,2022-11-10
63,(금남로) 수창초등학교1 11,북동 161,,35.1554567,126.9076954,2022-11-10
64,(금남로) 수창초등학교1 12,북동 161,,35.1556025,126.9074786,2022-11-10
65,(육교),북동 161,,35.1556901,126.9073433,2022-11-10
66,(금남로) 수창초등학교1 13,북동 161,,35.1557665,126.9072266,2022-11-10
67,(금남로) 수창초등학교1 14,북동 161,,35.1559509,126.9069516,2022-11-10
68,(금남로) 수창초등학교1 15,북동 102-3,,35.1561094,126.9067306,2022-11-10
69,(금남로) 수창초등학교1 16,북동 102-3,,35.1562351,126.9065096,2022-11-10
70,(금남로) 수창초등학교1 17,북동 102-3,,35.1563694,126.9063197,2022-11-10
71,(금남로) 수창초등학교1 18,북동 102-3,,35.1565028,126.9061153,2022-11-10
72,(금남로) 수창초등학교1 19,북동 333,,35.1566215,126.9059307,2022-11-10
73,수창초등학교3 1,유동 38-46,,35.1567428,126.9057464,2022-11-10
74,(금남로) 수창초등학교3 2,유동 38-49,,35.1568951,126.905516,2022-11-10
75,(금남로) 수창초등학교3 3,유동 37-10,,35.1570244,126.9053183,2022-11-10
76,경열로 54,유동 37-38,,35.1571033,126.9052759,2022-11-10
77,경열로 55,유동 37,,35.1572401,126.9054122,2022-11-10
78,경열로 56,유동 14-2,,35.1574111,126.9056685,2022-11-10
79,경열로 57,유동 14-2,,35.157486,126.9058271,2022-11-10
82,,유동 14-2,,35.1574239,126.906654,2022-11-10
84,(금재로) 수창초교후문2 LP-007 14 (2020),북동 97-16,,35.157505,126.907349,2022-11-10
85,(금재로) 수창초교후문2 LP-007 13 (2020),북동 97-5,,35.1574094,126.9076091,2022-11-10
