표찰번호,지번주소,위도,경도
001-1,광주광역시 서구 치평동 1257,35.15037918,126.8512955
001-2,광주광역시 서구 치평동 1249-7,35.15039444,126.8510742
001-3,광주광역시 서구 치평동 1249,35.15041733,126.850647
001-4,광주광역시 서구 치평동 1257,35.15026093,126.8504257
001-5,광주광역시 서구 치평동 1258-7,35.15024185,126.850914
001-6,광주광역시 서구 치평동 1248,35.15015793,126.8514481
001-7,광주광역시 서구 치평동 1248,35.14986801,126.8514481
001-8,광주광역시 서구 치평동 1248,35.14954758,126.8514404
001-9,광주광역시 서구 치평동 1257,35.14938736,126.8512421
001-10,광주광역시 서구 치평동 1257,35.14936829,126.8508606
001-11,광주광역시 서구 치평동 1257,35.14935303,126.8505859
001-12,광주광역시 서구 치평동 1257,35.1492691,126.8504181
001-13,광주광역시 서구 치평동 1259-3,35.1492424,126.8508759
001-14,광주광역시 서구 치평동 1248,35.15134811,126.8514175
001-15,광주광역시 서구 치평동 1248,35.15109253,126.8513947
001-16,광주광역시 서구 치평동 1248,35.15081024,126.8514099
001-17,광주광역시 서구 치평동 1248,35.15051651,126.8514252
002-1,광주광역시 서구 풍암동 1155,35.12646866,126.8838348
002-2,광주광역시 서구 풍암동 1155,35.12656403,126.8841553
002-3,광주광역시 서구 풍암동 1170,35.12223816,126.8849335
002-4,광주광역시 서구 풍암동 1170,35.12264252,126.8851471
002-5,광주광역시 서구 풍암동 1065,35.12301636,126.8853455
002-6,광주광역시 서구 풍암동 1170,35.12333679,126.8851852
002-7,광주광역시 서구 풍암동 1170,35.12363434,126.8850327
002-8,광주광역시 서구 풍암동 1170,35.12393188,126.8848724
002-9,광주광역시 서구 풍암동 1170,35.12422943,126.8847275
002-10,광주광역시 서구 풍암동 1170,35.12451553,126.8845749
002-11,광주광역시 서구 풍암동 1170,35.12481308,126.8844299
002-12,광주광역시 서구 풍암동 1170,35.12511826,126.8843002
002-13,광주광역시 서구 풍암동 1170,35.12540817,126.8841705
002-14,광주광역시 서구 풍암동 1167,35.12572479,126.8841019
002-15,광주광역시 서구 풍암동 1170,35.12601471,126.8841248
002-16,광주광역시 서구 풍암동 1170,35.12632751,126.884285
002-17,광주광역시 서구 풍암동 1170,35.12659454,126.8844376
002-18,광주광역시 서구 풍암동 1155,35.12623978,126.8831024
002-19,광주광역시 서구 풍암동 1155,35.1263504,126.8834686
002-20공,광주광역시 서구 풍암동 1065,35.12248993,126.8853073
002-21공,광주광역시 서구 풍암동 1065,35.12256241,126.8854599
002-22공,광주광역시 서구 풍암동 1065,35.12250519,126.8855438
003-1,광주광역시 서구 마륵동 178-26,35.14501572,126.8334808
