관리부서,나트륨100(w)이하,나트륨150(w)이하,나트륨200(w)이하,나트륨250(w)이하,나트륨400(w)이하,나트륨1(kw)이하,메탈100(w)이하,메탈150(w)이하,메탈200(w)이하,메탈250(w)이하,메탈400(w)이하,메탈1(kw)이하,메탈2(kw)이하,기타 50(w)이하,기타 100(w)이하,기타 150(w)이하,엘이디50(w)이하,엘이디100(w)이하,엘이디150(w)이하,엘이디200(w)이하,엘이디250(w)이하,엘이디400(w)이하,엘이디600(w)이하,엘이디1000(w)이하
중구,0,0,0,0,0,0,0,0,0,421,0,4,0,0,0,0,185,597,597,0,15,26,0,0
서구,59,2,0,508,49,0,0,17,55,5,0,19,0,0,0,0,547,259,1250,60,0,0,4,0
동구,32,0,0,723,0,0,225,200,0,411,0,29,0,0,87,0,128,458,1321,27,14,0,0,0
영도구,0,0,0,758,0,0,26,29,662,239,0,6,0,0,0,0,277,719,522,61,0,0,0,0
부산진구,0,40,0,426,24,0,0,111,278,1982,398,49,0,0,22,0,687,325,2072,83,333,0,13,0
동래구,0,0,0,667,0,0,0,724,0,988,0,51,0,0,0,0,0,518,1235,85,71,0,0,0
남구,0,343,0,567,0,0,0,0,583,694,35,48,0,0,0,35,118,1129,754,147,0,0,0,0
북구,77,645,0,372,0,0,53,677,2,0,0,20,0,0,1,0,773,398,1768,643,7,0,3,0
해운대구,51,222,0,2124,387,2,0,412,146,169,31,30,0,0,15,1089,8,634,5023,759,0,0,4,4
사하구,213,29,0,3139,0,0,212,16,301,520,0,24,0,0,0,0,107,167,2030,53,0,0,3,0
금정구,0,0,0,1245,0,0,0,0,0,2149,0,22,0,204,15,0,80,1066,1221,76,34,0,4,0
강서구,0,79,7,827,89,0,1170,2969,1155,2996,473,0,0,57,340,1003,565,2501,3405,1953,2,32,0,0
연제구,0,36,0,365,58,0,0,100,0,564,116,37,0,0,93,0,487,668,1108,292,283,2,7,0
수영구 ,0,0,0,38,0,0,3,445,0,22,7,11,0,0,0,0,235,682,1742,219,3,16,12,0
사상구,0,281,0,325,0,0,65,131,225,1970,0,47,0,0,0,0,150,1689,881,670,0,0,0,0
기장군,0,0,0,514,0,0,0,3303,0,16,0,10,0,60,0,185,500,6746,4698,0,0,0,9,0
시설공단_도로시설,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,1240,0,0,0,0,0
시설공단_교량관리,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,661,363,227,0,0,0,0
민자_산성,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,0,0,0
민자_천마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,16,0,0,0
민자_을숙도대교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,304,0,10,0,0
민자_부산항대교,0,0,0,0,0,0,0,100,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
