"행정구역별(시군구)",2017,2018,2019,2020,2021
"행정구역별(시군구)",외국인,외국인,외국인,외국인,외국인
"전국",1479247,1651561,1778918,1695643,1649967
"읍부",168383,196488,218491,208405,206294
"면부",242782,266223,282939,256636,241648
"동부",1068082,1188850,1277488,1230602,1202025
"서울특별시",343927,374425,390177,366454,347080
"부산광역시",48808,55506,60502,54914,53334
"대구광역시",31365,35280,40092,37398,36956
"인천광역시",79170,88489,100174,99212,100379
"광주광역시",26052,29833,33286,30573,30497
"대전광역시",20534,22858,25147,22928,23263
"울산광역시",26601,27162,28604,26895,25388
"세종특별자치시",5290,6486,7829,7244,6991
"경기도",497089,558197,594795,583462,571204
"강원도",20996,24149,27008,24654,24582
"충청북도",48237,54835,59783,57094,56631
"충청남도",84752,95838,104018,99166,98612
"전라북도",33764,39131,43960,42366,41047
"전라남도",37212,42520,47778,45236,44159
"경상북도",63978,74071,81840,74547,72798
"경상남도",91072,97494,105908,96669,91836
"제주특별자치도",20400,25287,28017,26831,25210
