,2017,2018,2019,2020,2021
아파트ㆍ연립ㆍ다세대,38513,60271,71770,73131,76422
단독주택,34692,49632,52033,48922,45726
고속도로,528,562,615,590,524
노상,154083,159894,163998,155330,138881
상점,26529,39659,43903,44390,45331
시장노점,3668,8270,8893,7695,7116
숙박업소ㆍ 목욕탕,12939,17988,17507,14656,13721
유흥접객업소,37732,60156,60540,50734,28870
사무실,14504,17274,16853,16519,13444
공장,2831,3359,3431,3498,3235
공사장ㆍ광산,2899,3875,3582,2985,2911
창고,1287,1613,1906,1621,1700
역대합실,3597,4881,4907,3993,3366
지하철,2596,2939,2954,2073,2042
기타교통수단내,3909,7627,7111,6439,5668
흥행장,769,1212,1390,1014,785
유원지,3705,4765,5133,4110,3906
학교,3305,4262,4697,2496,3030
금융기관,4598,5585,5225,4215,3203
의료기관,4250,5549,5848,5343,4695
종교기관,1922,2519,2300,1458,1193
산야,4540,5165,5870,6236,6150
해상,577,854,594,643,432
부대,90,132,141,140,105
구금장소,360,388,344,334,322
공지,77,165,163,125,106
기타,209994,87270,80637,83856,78881
