"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
03-4257-8543,1,,전라남도 강진군 강진읍 교촌리 544,,,2020,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4243-9310,1,,전라남도 강진군 병영면 상고길 21,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4243-9276,1,,전라남도 강진군 군동면 덕천2길 41,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4243-9258,1,,전라남도 강진군 군동면 덕천2길 26-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4243-9212,1,,전라남도 강진군 군동면 덕천1길 22-7,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4222-2482,1,,전라남도 강진군 군동면 덕천리 640-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4193-0897,1,,전라남도 강진군 신전면 수량리 1087-8,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-6901,1,,전라남도 강진군 군동면 화산리 1072,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-6876,1,,전라남도 강진군 군동면 용소리 940,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-6830,1,,전라남도 강진군 군동면 금사리 900-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-6796,1,,전라남도 강진군 군동면 장산리 318-3,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-6769,1,,전라남도 강진군 군동면 금사리 280-5,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-5261,1,,전라남도 강진군 병영면 한학리 686-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-5225,1,,전라남도 강진군 병영면 한학리 685-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-5181,1,,전라남도 강진군 작천면 용상리 912-1,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-5145,1,,전라남도 강진군 작천면 평리 411,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-5127,1,,전라남도 강진군 작천면 이남리 265,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-4967,1,,전라남도 강진군 작천면 평기리 170-13,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4182-4930,1,,전라남도 강진군 작천면 군자리 72,,,2019,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4161-6362,1,,전라남도 강진군 군동면 호계리 877-2,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4161-6344,1,,전라남도 강진군 군동면 호계리 876-3,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4161-6291,1,,전라남도 강진군 군동면 호계리 887-1,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4151-3776,1,,전라남도 강진군 병영면 박동리 212,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4151-3730,1,,전라남도 강진군 병영면 성남리 119-2,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4147-3051,1,,전라남도 강진군 강진읍 남포리 551,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4147-2999,1,,전라남도 강진군 강진읍 남포리 577,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4147-2980,1,,전라남도 강진군 강진읍 남포리 590,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4147-2917,1,,전라남도 강진군 강진읍 남포리 617,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4121-4340,1,,전라남도 강진군 옴천면 기좌리 690-5,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4121-4313,1,,전라남도 강진군 옴천면 황막리 503-12,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4121-4000,1,,전라남도 강진군 옴천면 기좌리 686-6,,,2018,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4066-2330,1,,전라남도 강진군 강진읍 영랑생가길 14,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4051-3643,1,,전라남도 강진군 칠량면 현평리 101-1,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-4101,1,,전라남도 강진군 작천면 삼당리 408-1,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-4094,1,,전라남도 강진군 작천면 용상리 924-2,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3950,1,,전라남도 강진군 칠량면 봉황리 산2-25,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3932,1,,전라남도 강진군 칠량면 동백리 842-3,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3923,1,,전라남도 강진군 칠량면 단월리 1054-1,34.57016558,126.8496811,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3898,1,,전라남도 강진군 칠량면 영동리 1192,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3870,1,,전라남도 강진군 군동면 호계리 1197,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3861,1,,전라남도 강진군 군동면 호계리 501,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3843,1,,전라남도 강진군 군동면 풍동리 1107,34.65149138,126.8540191,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3781,1,,전라남도 강진군 군동면 용소리 951-23,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3772,1,,전라남도 강진군 군동면 금사리 640-20,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3754,1,,전라남도 강진군 성전면 월하리 1404-4,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3736,1,,전라남도 강진군 성전면 월남리 1229,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3718,1,,전라남도 강진군 성전면 월하리 570-6,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3709,1,,전라남도 강진군 성전면 수양리 1339,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3692,1,,전라남도 강진군 성전면 금당리 853-10,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3683,1,,전라남도 강진군 성전면 도림리 758,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4030-3567,1,,전라남도 강진군 대구면 저두리 477,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4020-4852,1,,전라남도 강진군 군동면 파산리 1057-2,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4019-8119,1,,전라남도 강진군 옴천면 월곡리 288,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-4019-8039,1,,전라남도 강진군 옴천면 기좌리 660,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3996-8422,1,,전라남도 강진군 병영면 지로리 산30-2,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3996-8360,1,,전라남도 강진군 병영면 지로리 212-1,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3996-8342,1,,전라남도 강진군 병영면 지로리 594-5,,,2017,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8930,1,,전라남도 강진군 강진읍 서성리 146-28,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8896,1,,전라남도 강진군 강진읍 서성리 146-28,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8789,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8734,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8690,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8681,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8654,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8618,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8609,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-8592,1,,전라남도 강진군 강진읍 남포길 51,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3982-0037,1,,전라남도 강진군 옴천면 기좌리 643-27,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3981-9959,1,,전라남도 강진군 옴천면 영산리 423-9,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3963-2179,1,,전라남도 강진군 강진읍 남포리 631-3,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3952-0414,1,,전라남도 강진군 신전면 수량리 65-6,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3952-0389,1,,전라남도 강진군 신전면 송천리 388-1,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
03-3952-0352,1,,전라남도 강진군 도암면 석문리 1023,,,2016,한전주,061-430-3353,전라남도 강진군청,2022-05-02
