보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
곡옥간503H1R9R3,1,,전라남도 곡성군 오산면 조양리 749,35.2189214,127.1251997,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간503H1R9R1,1,,전라남도 곡성군 오산면 조양리 166-1,35.21903013,127.1250058,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간503H1R9,1,,전라남도 곡성군 오산면 조양리 216,35.19858606,127.1099769,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간503H1R6,1,,전라남도 곡성군 오산면 조양리 244-3,35.21516347,127.1248116,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간503H1R2,1,,전라남도 곡성군 오산면 단사리 376-3,35.22036309,127.1285192,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간503H1L1,1,,전라남도 곡성군 오산면 단사리 333-1,35.22019351,127.1295466,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간502,1,,전라남도 곡성군 오산면 단사리 333-2,35.22046888,127.1299175,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간501,1,,전라남도 곡성군 오산면 단사리 430-2,35.22117603,127.1297141,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간496R2,1,,전라남도 곡성군 오산면 조양리 221-1,35.22250847,127.1272005,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간475,1,,전라남도 곡성군 오산면 봉동리 723-3,35.2306652,127.1245453,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간461R2,1,,전라남도 곡성군 오산면 봉동리 620-2,35.2358828,127.1218565,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간461R1,1,,전라남도 곡성군 오산면 봉동리 618-3,35.23621722,127.1223046,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간461R1,1,,전라남도 곡성군 오산면 봉동리 618-3,35.23621722,127.1223046,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R46,1,,전라남도 곡성군 오산면 율천리 산 54-1,35.22216003,127.1124339,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R43,1,,전라남도 곡성군 오산면 율천리 410,35.22356669,127.1110289,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R42B1,1,,전라남도 곡성군 오산면 율천리 75-5,35.22373027,127.1128314,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R41,1,,전라남도 곡성군 오산면 율천리 290-1,35.22418249,127.1122046,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R40,1,,전라남도 곡성군 오산면 율천리 303,35.22470343,127.1126209,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R6,1,,전라남도 곡성군 오산면 율천리 300,35.22477019,127.1119967,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R4,1,,전라남도 곡성군 오산면 율천리 592,35.2247022,127.1129412,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R2R1R2,1,,전라남도 곡성군 오산면 율천리 592,35.2247022,127.1129412,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R2R1,1,,전라남도 곡성군 오산면 율천리 592,35.2247022,127.1129412,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R2,1,,전라남도 곡성군 오산면 율천리 229-1,35.22558441,127.1128358,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R38R1,1,,전라남도 곡성군 오산면 율천리 324,35.22513534,127.1135062,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R24R2,1,,전라남도 곡성군 오산면 율천리 75-1,35.22964499,127.1155204,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R22,1,,전라남도 곡성군 오산면 율천리 76-1,35.22958463,127.1174568,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R21H1,1,,전라남도 곡성군 오산면 율천리 75-1,35.22964499,127.1155204,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R13R9,1,,전라남도 곡성군 오산면 봉동리 892,35.23299666,127.1161009,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R13R5,1,,전라남도 곡성군 오산면 봉동리 산 96,35.2426502,127.1220924,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R11R8,1,,전라남도 곡성군 오산면 봉동리 산 99,35.23541199,127.1153569,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R10,1,,전라남도 곡성군 오산면 봉동리 945-134,35.23404009,127.1202966,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L6,1,,전라남도 곡성군 오산면 봉동리 641,35.2345198,127.1222661,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L5,1,,전라남도 곡성군 오산면 봉동리 648-1,35.23473008,127.1225187,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L4,1,,전라남도 곡성군 오산면 봉동리 633,35.23484395,127.1221659,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L3R1,1,,전라남도 곡성군 오산면 봉동리 639-1,35.23447748,127.1217551,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L3L2,1,,전라남도 곡성군 오산면 봉동리 630,35.23496155,127.1219268,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L2,1,,전라남도 곡성군 오산면 봉동리 294,35.23446543,127.1215075,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R9L1,1,,전라남도 곡성군 오산면 봉동리 295-3,35.23468833,127.1214216,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R8,1,,전라남도 곡성군 오산면 봉동리 907-37,35.23517739,127.1206633,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R6L2,1,,전라남도 곡성군 오산면 봉동리 305,35.23546446,127.1216345,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R6L1R1,1,,전라남도 곡성군 오산면 봉동리 297,35.2349361,127.1213557,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R6L1L2,1,,전라남도 곡성군 오산면 봉동리 312,35.2360208,127.1214906,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R6L1L2H1,1,,전라남도 곡성군 오산면 봉동리 310-3,35.23569222,127.1213074,,한전주,061-360-8102,오산면사무소,2023-03-29
곡옥간458R6,1,,전라남도 곡성군 오산면 봉동리 907-37,35.23517739,127.1206633,,전용주,061-360-8102,오산면사무소,2023-03-29
곡옥간458L1,1,,전라남도 곡성군 오산면 봉동리 609-1,35.2377711,127.1219907,,한전주,061-360-8102,오산면사무소,2023-03-29
겸면간79L43R14R2,1,,전라남도 곡성군 입면 흑석리 233-2,35.28669337,127.2055384,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R14,1,,전라남도 곡성군 입면 흑석리 233-2,35.28669337,127.2055384,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R12,1,,전라남도 곡성군 입면 만수리 716-1,35.287908,127.2062216,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R9,1,,전라남도 곡성군 입면 만수리 652-7,35.28925297,127.2059612,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R14,1,,전라남도 곡성군 입면 흑석리 257-1,35.28574887,127.2055472,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R11,1,,전라남도 곡성군 입면 흑석리 152-2,35.2865515,127.205597,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R10L2,1,,전라남도 곡성군 입면 흑석리 171-1,35.28744571,127.2052978,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R10L1,1,,전라남도 곡성군 입면 흑석리 149,35.28672612,127.2050998,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R5L4,1,,전라남도 곡성군 입면 흑석리 233-2,35.28669337,127.2055384,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R5L1L1,1,,전라남도 곡성군 입면 흑석리 92-2,35.28865226,127.2045934,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R4R2,1,,전라남도 곡성군 입면 흑석리 233,35.28669337,127.2055384,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R4,1,,전라남도 곡성군 입면 흑석리 238,35.28873402,127.2039176,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7R3,1,,전라남도 곡성군 입면 흑석리 68-1,35.29160491,127.2035044,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R7,1,,전라남도 곡성군 입면 만수리 706-1,35.29141541,127.2048284,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L43R3,1,,전라남도 곡성군 입면 만수리 706-4,35.2898723,127.2089832,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L33,1,,전라남도 곡성군 입면 매월리 513,35.2948404,127.2061891,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L32,1,,전라남도 곡성군 입면 매월리 511-2,35.29498426,127.2059139,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L30L5,2,,전라남도 곡성군 입면 매월리 514-6,35.29531388,127.2061179,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L30L4,2,,전라남도 곡성군 입면 매월리 528-5,35.29585395,127.2057306,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L30L3,1,,전라남도 곡성군 입면 매월리 528-4,35.2960216,127.2056104,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L30L3,1,,전라남도 곡성군 입면 매월리 528-4,35.2960216,127.2056104,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L30L1,2,,전라남도 곡성군 입면 매월리 536-3,35.29596136,127.2049398,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R30L1L1,1,,전라남도 곡성군 입면 매월리 190,35.28135273,127.2053981,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R29,1,,전라남도 곡성군 입면 매월리 801-137,35.29077289,127.198859,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R27R2,1,,전라남도 곡성군 입면 매월리 354,35.28872318,127.1995245,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R25,1,,전라남도 곡성군 입면 매월리 817-7,35.2876369,127.2009099,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R23,1,,전라남도 곡성군 입면 매월리 874,35.28642257,127.1922856,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R21,1,,전라남도 곡성군 입면 매월리 877,35.28841656,127.1932209,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R19,1,,전라남도 곡성군 입면 매월리 873-3,35.28755132,127.1924834,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R17,1,,전라남도 곡성군 입면 매월리 878,35.28849983,127.1949475,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R15L3,1,,전라남도 곡성군 입면 매월리 242,35.2872951,127.1936761,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R15L2,1,,전라남도 곡성군 입면 매월리 236,35.28750341,127.1940376,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R21R1,1,,전라남도 곡성군 입면 매월리 346-2,35.29012849,127.1980812,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R16L3,1,,전라남도 곡성군 입면 매월리 817,35.2877745,127.2005754,,한전주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R16L1,1,,전라남도 곡성군 입면 매월리 451-1,35.2919671,127.1995131,,전용주,061-360-7904,입면사무소,2023-03-29
겸면간79L28R16,1,,전라남도 곡성군 입면 매월리 451-4,35.29209967,127.1993763,,한전주,061-360-7904,입면사무소,2023-03-29
