"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"전라남도 광양시 광양읍 구산리 576-23",3,,전라남도 광양시 광양읍 구산리 576-23,34.98430419,127.5781053,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 구산리 61-2",1,,전라남도 광양시 광양읍 구산리 61-2,34.9863374,127.5796831,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 구산리 741",1,,전라남도 광양시 광양읍 구산리 741,34.98697986,127.5835203,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 구산리 86",1,,전라남도 광양시 광양읍 구산리 86,34.98691765,127.580139,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 덕례리 1189(LF 아울렛 주변)",1,,전라남도 광양시 광양읍 덕례리 1189,34.96115918,127.5642687,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 덕례리 223-1",1,,전라남도 광양시 광양읍 덕례리 223-1,34.95691912,127.5798564,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 도월리 543-3",2,,전라남도 광양시 광양읍 도월리 543-3,34.95986612,127.5799735,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 도월리 550-9",1,,전라남도 광양시 광양읍 도월리 550-9,34.95711797,127.5814414,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 도월리 813-8",1,,전라남도 광양시 광양읍 도월리 813-8,34.95946107,127.5812324,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 목성리 1048",1,,전라남도 광양시 광양읍 목성리 1048,34.96337399,127.6024007,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 목성리 483-20",1,,전라남도 광양시 광양읍 목성리 483-20,34.98138309,127.5940784,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 목성리 483-25",1,,전라남도 광양시 광양읍 목성리 483-25,34.98103524,127.5951973,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 목성리 485-12",1,,전라남도 광양시 광양읍 목성리 485-12,34.9807319,127.5961516,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 목성리 485-15",1,,전라남도 광양시 광양읍 목성리 485-15,34.98049981,127.5968428,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 사곡리 1-1",1,,전라남도 광양시 광양읍 사곡리 1-1,34.96594016,127.6365499684,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 사곡리 1204-23",1,,전라남도 광양시 광양읍 사곡리 1204-23,34.96573463,127.6341427,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 사곡리 1205",1,,전라남도 광양시 광양읍 사곡리 1205,34.96202807,127.6338067,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 사곡리 산 172-4",2,,전라남도 광양시 광양읍 사곡리 산 172-4,34.94047953,127.6266835,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 사곡리 산16",1,,전라남도 광양시 광양읍 사곡리 산16,34.96131196,127.635448,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 서천변로 69-26",1,전라남도 광양시 광양읍 서천변로 69-26,,34.96891306,127.5773516,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 세풍리 1524",2,전라남도 광양시 광양읍 유자도길 32,,34.93761742,127.5888636,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 용강리 820-21",2,,전라남도 광양시 광양읍 용강리 820-21,34.96535074,127.6009685,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 용강리 923",1,,전라남도 광양시 광양읍 용강리 923,34.96944536,127.6098169,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 우산리 425",1,,전라남도 광양시 광양읍 우산리 425,34.98462083,127.5891445,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 우산리 425-1",1,,전라남도 광양시 광양읍 우산리 425-1,34.98409723,127.5900122,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 우산리 714-14",1,,전라남도 광양시 광양읍 우산리 714-14,34.98660805,127.6125271,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 우산리 산 136",1,,전라남도 광양시 광양읍 우산리 산 136,34.98071581,127.5994704,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 우산리 산 94-1",1,,전라남도 광양시 광양읍 우산리 산 94-1,34.98626899,127.6106488,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 익신리 76",1,,전라남도 광양시 광양읍 익신리 76,34.95901998,127.6113685,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 인동리 117-20",1,,전라남도 광양시 광양읍 인동리 117-20,34.96693688,127.5953649,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 인동리 123-3",1,,전라남도 광양시 광양읍 인동리 123-3,34.96953057,127.5932278,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 인서리 390-4",1,,전라남도 광양시 광양읍 인서리 390-4,34.96260523,127.5869545,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 인서리 394-1",1,,전라남도 광양시 광양읍 인서리 394-1,34.96242212,127.5877657,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 인서리 435-1",1,,전라남도 광양시 광양읍 인서리 435-1,34.96228849,127.5882372,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 죽림리 151-1",1,,전라남도 광양시 광양읍 죽림리 151-1,34.97206544,127.6505565,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 죽림리 232",1,,전라남도 광양시 광양읍 죽림리 232,34.97732758,127.6454276,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 죽림리 산 100-2",1,,전라남도 광양시 광양읍 죽림리 산 100-2,34.97329553,127.6485537,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 죽림리 산 145-5",1,,전라남도 광양시 광양읍 죽림리 산 145-5,34.97506169,127.6403702,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 죽림리 산 39-1",1,,전라남도 광양시 광양읍 죽림리 산 39-1,34.98109491,127.6421951,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 초남리 643-4",1,,전라남도 광양시 광양읍 초남리 643-4,34.93735044,127.6063034,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 초남리 699",1,,전라남도 광양시 광양읍 초남리 699,34.93725914,127.6074584,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 초남리 779",1,,전라남도 광양시 광양읍 초남리 779,34.94118812,127.6084475,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 초남리 산 62",1,,전라남도 광양시 광양읍 초남리 산 62,34.93851075,127.6081527,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광양읍 칠성리 산 6-2",1,,전라남도 광양시 광양읍 칠성리 산 6-2,34.96967774,127.5769424,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 11-1",1,,전라남도 광양시 광영동 11-1,34.96268162,127.7246105,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 242",2,,전라남도 광양시 광영동 242,34.96574948,127.7140876,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 277",1,,전라남도 광양시 광영동 277,34.9658968,127.7115684,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 287-1",2,,전라남도 광양시 광영동 287-1,34.96556994,127.710584,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 287-2",1,,전라남도 광양시 광영동 287-2,34.96587561,127.7102325,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 287-9",1,,전라남도 광양시 광영동 287-9,34.96587472,127.7098602,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 288(광영중앙교회 인근)",1,,전라남도 광양시 광영동 288,34.96579643,127.7108131,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 292-12",1,,전라남도 광양시 광영동 292-12,34.96650697,127.7104156,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 292-13",1,,전라남도 광양시 광영동 292-13,34.96732857,127.7108462,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 292-15",1,,전라남도 광양시 광영동 292-15,34.96692195,127.7107173,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 313",1,,전라남도 광양시 광영동 313,34.96584735,127.7135397,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 317-4",2,,전라남도 광양시 광영동 317-4,34.96439269,127.7142237,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 373",1,,전라남도 광양시 광영동 373,34.96391282,127.7150904,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 378-5",2,,전라남도 광양시 광영동 378-5,34.96320809,127.7144139,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 393-2",1,,전라남도 광양시 광영동 393-2,34.96326723,127.7165819,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 410",1,,전라남도 광양시 광영동 410,34.96187544,127.714638,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 435",4,,전라남도 광양시 광영동 435,34.96022626,127.7191765,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 524",1,,전라남도 광양시 광영동 524,34.96165942,127.7230481,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 528",1,,전라남도 광양시 광영동 528,34.96129901,127.7231259,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 530-3",1,,전라남도 광양시 광영동 530-3,34.9611552,127.7233125,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 540",1,,전라남도 광양시 광영동 540,34.96157914,127.7234206,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 542-1",1,,전라남도 광양시 광영동 542-1,34.9613903,127.7236293,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 553-3",1,,전라남도 광양시 광영동 553-3,34.95965914,127.7288089,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 556-3",1,,전라남도 광양시 광영동 556-3,34.95527574,127.7264856,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 556-4",1,,전라남도 광양시 광영동 556-4,34.95497308,127.7282057,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 572",1,,전라남도 광양시 광영동 572,34.95428014,127.7247151,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 574",1,,전라남도 광양시 광영동 574,34.95365714,127.7242792,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 591-2",1,,전라남도 광양시 광영동 591-2,34.95311188,127.7263395,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 595",1,,전라남도 광양시 광영동 595,34.95294745,127.7253765,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 598-1",2,,전라남도 광양시 광영동 598-1,34.95211801,127.7253355,,,061-797-2915,전라남도 광양시청,2023-01-13
"전라남도 광양시 광영동 599",1,,전라남도 광양시 광영동 599,34.9522181,127.7257512,,,061-797-2915,전라남도 광양시청,2023-01-13
