"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"문척면",1,전라남도 구례군 문척면 동해벚꽃로 95,전라남도 구례군 문척면 죽마리 361-4,35.189186,127.473341,2021,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"산동면 시상리",1,,전라남도 구례군 산동면 시상리 411-4,35.314859,127.424181,,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 600-4,35.213173,127.464127,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"마산면 사도리",1,,전라남도 구례군 마산면 사도리 766,35.209084,127.503806,,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,전라남도 구례군 구례읍 구례2길 78,전라남도 구례군 구례읍 봉북리 271-27,35.213379,127.463249,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"간전면 간문리",1,,전라남도 구례군 간전면 간문리 147-2,35.174769,127.542211,,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍 원방리",1,전라남도 구례군 구례읍 병방1길 40,전라남도 구례군 구례읍 원방리 676-4,35.167113,127.464317,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"문척면 금정리",1,,전라남도 구례군 문척면 금정리 985-4,35.189418,127.500226,,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"마산면 사도리",1,,전라남도 구례군 마산면 사도리 636,35.215270,127.498350,,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 313-1,35.212570,127.463036,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,전라남도 구례군 구례읍 서당교길 15-4,전라남도 구례군 구례읍 봉북리 311,35.212460,127.462860,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 301,35.212593,127.462479,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 320-2,35.212357,127.463081,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 135-2,35.211666,127.463120,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 봉북리 140-3,35.211681,127.462769,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,전라남도 구례군 구례읍 택지길 17,전라남도 구례군 구례읍 백련리 334,35.212185,127.461700,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,전라남도 구례군 구례읍 백련길 8-6,전라남도 구례군 구례읍 백련리 360-1,35.212170,127.461021,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 백련리 545-1,35.212227,127.461243,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,전라남도 구례군 구례읍 택지길 21-7,전라남도 구례군 구례읍 백련리 330,35.212696,127.461395,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 백련리 545-21,35.212795,127.461205,2015,전용주,061-780-2653,전라남도 구례군청,2023-07-14
"마산면 냉천리",1,,전라남도 구례군 마산면 냉천리 1167-1,35.214575,127.484675,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 신월리 558-3,35.169228,127.455795,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
"구례읍",1,,전라남도 구례군 구례읍 산성리 233-2,35.213791,127.447731,2015,한전주,061-780-2653,전라남도 구례군청,2023-07-14
