"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"신설ID(0005)",1,,전라남도 나주시 남평읍 풍림리 118-2,35.042498,126.8771082106,,,061-339-8908,전라남도 나주시청,2022-12-13
"반남면4 114",1,,전라남도 나주시 반남면 대안리 203-6,34.9097214,126.644758,,,061-339-8908,전라남도 나주시청,2022-12-13
"남평읍1 960",1,,전라남도 나주시 남평읍 풍림리 143-3,35.043075,126.873626,,,061-339-8908,전라남도 나주시청,2022-12-13
"영산동18 136",1,,전라남도 나주시 용산동 268,34.994745,126.717793,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동",1,,전라남도 나주시 금계동 34-13,35.0321489,126.715047,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동19 500",1,,전라남도 나주시 금계동 13-3,35.0320005,126.7158049,,,061-339-8908,전라남도 나주시청,2022-12-13
"남평읍1 289",1,,전라남도 나주시 남평읍 광촌리 547-2,35.057433,126.870087,,,061-339-8908,전라남도 나주시청,2022-12-13
"금천면10 526",1,,전라남도 나주시 금천면 신천리 429-3,35.0118014,126.7613938,,,061-339-8908,전라남도 나주시청,2022-12-13
"산포면11 167",1,,전라남도 나주시 산포면 등정리 824-1,35.0413247,126.8231525,,,061-339-8908,전라남도 나주시청,2022-12-13
"왕곡면3 186",1,,전라남도 나주시 왕곡면 본양리 15-1,34.973545,126.668185,,,061-339-8908,전라남도 나주시청,2022-12-13
419,1,,전라남도 나주시 이창동 157-1,34.9957035,126.7132365,,,061-339-8908,전라남도 나주시청,2022-12-13
"문평면8 139",1,,전라남도 나주시 문평면 북동리 297-2,35.098422,126.6003086639,,,061-339-8908,전라남도 나주시청,2022-12-13
"공산면5 423",1,,전라남도 나주시 공산면 남창리 731-1,34.954903,126.596669,,,061-339-8908,전라남도 나주시청,2022-12-13
"노안면9 443",1,,전라남도 나주시 노안면 안산리 1076-16,35.083113,126.699262,,,061-339-8908,전라남도 나주시청,2022-12-13
"노안면9 711",1,,전라남도 나주시 노안면 영평리 650,35.066628,126.703132,,,061-339-8908,전라남도 나주시청,2022-12-13
"노안면9 267",1,,전라남도 나주시 노안면 금동리 440-2,35.092669,126.723546,,,061-339-8908,전라남도 나주시청,2022-12-13
"다시면7 212",1,,전라남도 나주시 다시면 문동리 266-5,34.998777,126.626224,,,061-339-8908,전라남도 나주시청,2022-12-13
"동강면6 549",1,,전라남도 나주시 동강면 대전리 1070-12,34.907697,126.551356,,,061-339-8908,전라남도 나주시청,2022-12-13
"노안면9 517",1,,전라남도 나주시 노안면 오정리 145-2,35.096784,126.684548,,,061-339-8908,전라남도 나주시청,2022-12-13
"영산동18 182",1,,전라남도 나주시 평산동 산68-12,34.991481,126.7532522,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동16 258",1,,전라남도 나주시 삼도동 1211-9,35.023919,126.730611,,,061-339-8908,전라남도 나주시청,2022-12-13
"다시면7 350",1,,전라남도 나주시 다시면 죽산리 984-5,34.979799,126.6168866,,,061-339-8908,전라남도 나주시청,2022-12-13
"세지면2 329",1,,전라남도 나주시 세지면 죽동리 51-23,34.939506,126.717196,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동16 37",1,,전라남도 나주시 남외동 24-5,35.029515,126.722307,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동16 74",1,,전라남도 나주시 금계동 13-2,35.032286,126.715475,,,061-339-8908,전라남도 나주시청,2022-12-13
"금남동16 71",1,,전라남도 나주시 경현동 275-9,35.028132,126.713131,,,061-339-8908,전라남도 나주시청,2022-12-13
"송월동14 40",1,,전라남도 나주시 송월동 1101-3,35.017126,126.7115244,,,061-339-8908,전라남도 나주시청,2022-12-13
"다도면12 157",1,,전라남도 나주시 다도면 판촌리 산124-9,34.967825,126.8488359114,,,061-339-8908,전라남도 나주시청,2022-12-13
"남평읍1 15",1,,전라남도 나주시 남평읍 평산리 114-1,35.0589967,126.8404745,,,061-339-8908,전라남도 나주시청,2022-12-13
"문평면8 123",1,,전라남도 나주시 문평면 송산리 278-4,35.065655,126.599506,,,061-339-8908,전라남도 나주시청,2022-12-13
"남평읍1 185",1,,전라남도 나주시 남평읍 남석리 916-40,35.024881,126.862899,,,061-339-8908,전라남도 나주시청,2022-12-13
"남평읍1 258",1,,전라남도 나주시 남평읍 서산리 33,35.0325142425,126.853132,,,061-339-8908,전라남도 나주시청,2022-12-13
