"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"담양읍001",1,,전라남도 담양군 담양읍 반룡리 325-1,35.32112503,126.9758682,2007,한전주,061-380-3143,담양군청,2022-09-26
"담양읍002",1,,전라남도 담양군 담양읍 반룡리 323-19,35.29190445,126.9772339,1999,한전주,061-380-3143,담양군청,2022-09-26
"담양읍003",1,,전라남도 담양군 담양읍 반룡리 323-15,35.29294586,126.9765472,2002,한전주,061-380-3143,담양군청,2022-09-26
"담양읍004",1,,전라남도 담양군 담양읍 반룡리 803-25,35.29382324,126.9767914,2005,한전주,061-380-3143,담양군청,2022-09-26
"담양읍005",1,,전라남도 담양군 담양읍 반룡리 327,35.29376602,126.975563,2001,한전주,061-380-3143,담양군청,2022-09-26
"담양읍006",1,,전라남도 담양군 담양읍 반룡리 766-1,35.2916859,126.9789194,2000,한전주,061-380-3143,담양군청,2022-09-26
"담양읍007",1,전라남도 담양군 담양읍 용주길 48,전라남도 담양군 담양읍 반룡리 678-1,35.29191589,126.9787979,2000,전용주,061-380-3143,담양군청,2022-09-26
"담양읍008",1,전라남도 담양군 담양읍 용주길 49-1,전라남도 담양군 담양읍 반룡리 400-2,35.2922659,126.9790682,2016,한전주,061-380-3143,담양군청,2022-09-26
"담양읍009",1,전라남도 담양군 담양읍 용주길 49-3,전라남도 담양군 담양읍 반룡리 766-3,35.291668,126.9791461,2000,전용주,061-380-3143,담양군청,2022-09-26
"담양읍010",1,전라남도 담양군 담양읍 용주길 52-14,전라남도 담양군 담양읍 반룡리 764-2,35.2914675,126.9791036,2011,한전주,061-380-3143,담양군청,2022-09-26
"담양읍011",1,,전라남도 담양군 담양읍 반룡리 765-1,35.290802,126.9801102,2012,한전주,061-380-3143,담양군청,2022-09-26
"담양읍012",1,전라남도 담양군 담양읍 용주길 52-6,전라남도 담양군 담양읍 반룡리 770-3,35.29182053,126.9791209,2015,한전주,061-380-3143,담양군청,2022-09-26
"담양읍013",1,전라남도 담양군 담양읍 용주길 53,전라남도 담양군 담양읍 반룡리 770-4,35.2922103,126.9794846,2001,한전주,061-380-3143,담양군청,2022-09-26
"담양읍014",1,,전라남도 담양군 담양읍 반룡리 771,35.2917747,126.9797231,2005,한전주,061-380-3143,담양군청,2022-09-26
"담양읍015",1,전라남도 담양군 담양읍 용주길 64,전라남도 담양군 담양읍 반룡리 772-1,35.2917941,126.9802856,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍016",1,전라남도 담양군 담양읍 용주길 68,전라남도 담양군 담양읍 반룡리 778-2,35.2917464,126.9807491,2016,한전주,061-380-3143,담양군청,2022-09-26
"담양읍017",1,,전라남도 담양군 담양읍 반룡리 408,35.2923602,126.9802038,2006,한전주,061-380-3143,담양군청,2022-09-26
"담양읍018",1,전라남도 담양군 담양읍 용주길 59-8,전라남도 담양군 담양읍 반룡리 401,35.29230499,126.9802038,2007,전용주,061-380-3143,담양군청,2022-09-26
"담양읍019",1,전라남도 담양군 담양읍 용주길 57-14,전라남도 담양군 담양읍 반룡리 50-2,35.292701,126.9795762,1998,전용주,061-380-3143,담양군청,2022-09-26
"담양읍020",1,전라남도 담양군 담양읍 반룡길 10,전라남도 담양군 담양읍 반룡리 81-3,35.3001962,126.9814337,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍021",1,,전라남도 담양군 담양읍 반룡리 47-1,35.30030441,126.9818497,2004,한전주,061-380-3143,담양군청,2022-09-26
"담양읍022",1,전라남도 담양군 담양읍 반룡길 19,전라남도 담양군 담양읍 반룡리 48-1,35.30005743,126.9820948,2006,한전주,061-380-3143,담양군청,2022-09-26
"담양읍023",1,,전라남도 담양군 담양읍 반룡리 67-1,35.29954529,126.9815292,1997,한전주,061-380-3143,담양군청,2022-09-26
"담양읍024",1,,전라남도 담양군 담양읍 반룡리 583-1,35.29967117,126.9821472,2005,한전주,061-380-3143,담양군청,2022-09-26
"담양읍025",1,,전라남도 담양군 담양읍 반룡리 569-7,35.29924393,126.9822083,2014,한전주,061-380-3143,담양군청,2022-09-26
"담양읍026",1,전라남도 담양군 담양읍 반룡길 36,전라남도 담양군 담양읍 반룡리 343-1,35.2990512,126.9824695,2016,한전주,061-380-3143,담양군청,2022-09-26
"담양읍027",1,전라남도 담양군 담양읍 반룡길 47,전라남도 담양군 담양읍 반룡리 513-22,35.2983235,126.9828645,2015,건축물,061-380-3143,담양군청,2022-09-26
"담양읍028",1,,전라남도 담양군 담양읍 반룡리 520-5,35.29856873,126.983017,1999,한전주,061-380-3143,담양군청,2022-09-26
"담양읍029",1,전라남도 담양군 담양읍 반룡길 53,전라남도 담양군 담양읍 반룡리 317-4,35.29822159,126.9834664,2000,한전주,061-380-3143,담양군청,2022-09-26
"담양읍030",1,전라남도 담양군 담양읍 반룡길 61,전라남도 담양군 담양읍 반룡리 792-44,35.29841614,126.9841015,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍031",1,전라남도 담양군 담양읍 반룡길 57-5,전라남도 담양군 담양읍 반룡리 538-3,35.2985828,126.983897,2001,한전주,061-380-3143,담양군청,2022-09-26
"담양읍032",1,전라남도 담양군 담양읍 반룡길 57-11,전라남도 담양군 담양읍 반룡리 792-44,35.2987897,126.9839615,2007,한전주,061-380-3143,담양군청,2022-09-26
"담양읍033",1,전라남도 담양군 담양읍 반룡길 57-28,전라남도 담양군 담양읍 반룡리 154-1,35.29941559,126.9844496,2014,한전주,061-380-3143,담양군청,2022-09-26
"담양읍034",1,전라남도 담양군 담양읍 반룡길 57-36,전라남도 담양군 담양읍 반룡리 792-44,35.2997079,126.9842403,2015,한전주,061-380-3143,담양군청,2022-09-26
"담양읍035",1,전라남도 담양군 담양읍 반룡길 37-18,전라남도 담양군 담양읍 반룡리 792-44,35.2989543,126.9833811,2017,한전주,061-380-3143,담양군청,2022-09-26
"담양읍036",1,전라남도 담양군 담양읍 반룡길 37-57,전라남도 담양군 담양읍 반룡리 556-1,35.2995077,126.9839151,2000,전용주,061-380-3143,담양군청,2022-09-26
"담양읍037",1,전라남도 담양군 담양읍 반룡길 37-29,전라남도 담양군 담양읍 반룡리 560,35.29923248,126.9833279,2008,전용주,061-380-3143,담양군청,2022-09-26
"담양읍038",1,전라남도 담양군 담양읍 반룡길 37-5,전라남도 담양군 담양읍 반룡리 296-3,35.2993577,126.9827933,2003,한전주,061-380-3143,담양군청,2022-09-26
"담양읍039",1,전라남도 담양군 담양읍 반룡길 76,전라남도 담양군 담양읍 반룡리 129-1,35.29929733,126.9852621,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍040",1,전라남도 담양군 담양읍 반룡길 27-11,전라남도 담양군 담양읍 반룡리 216-1,35.30004501,126.9830287,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍041",1,,전라남도 담양군 담양읍 반룡리 215-5,35.30136871,126.9848862,2002,전용주,061-380-3143,담양군청,2022-09-26
"담양읍042",1,,전라남도 담양군 담양읍 반룡리 211-2,35.30179596,126.9848022,1999,건축물,061-380-3143,담양군청,2022-09-26
"담양읍043",1,전라남도 담양군 담양읍 구터길 66-7,전라남도 담양군 담양읍 반룡리 208-2,35.3021204,126.9853723,2012,한전주,061-380-3143,담양군청,2022-09-26
"담양읍044",1,전라남도 담양군 담양읍 구터길 52-15,전라남도 담양군 담양읍 반룡리 212-9,35.3021252,126.9856163,2015,전용주,061-380-3143,담양군청,2022-09-26
"담양읍045",1,전라남도 담양군 담양읍 구터길 66-2,전라남도 담양군 담양읍 반룡리 7,35.30245209,126.9850998,2007,전용주,061-380-3143,담양군청,2022-09-26
"담양읍046",1,,전라남도 담양군 담양읍 반룡리 2-1,35.30320358,126.9853516,1999,한전주,061-380-3143,담양군청,2022-09-26
"담양읍047",1,,전라남도 담양군 담양읍 반룡리 2-1,35.30366516,126.9856339,2002,한전주,061-380-3143,담양군청,2022-09-26
"담양읍048",1,전라남도 담양군 담양읍 향백동1길 37-30,전라남도 담양군 담양읍 반룡리 197,35.30403519,126.9860627,2005,한전주,061-380-3143,담양군청,2022-09-26
"담양읍049",1,전라남도 담양군 담양읍 구터길 57,전라남도 담양군 담양읍 반룡리 192-2,35.3028313,126.9844794,2001,전용주,061-380-3143,담양군청,2022-09-26
"담양읍050",1,전라남도 담양군 담양읍 구터길 53,전라남도 담양군 담양읍 반룡리 119-3,35.302192,126.9846954,2000,전용주,061-380-3143,담양군청,2022-09-26
"담양읍051",1,전라남도 담양군 담양읍 구터길 41,전라남도 담양군 담양읍 반룡리 50,35.3018761,126.9842682,2000,한전주,061-380-3143,담양군청,2022-09-26
"담양읍052",1,전라남도 담양군 담양읍 구터길 37-2,전라남도 담양군 담양읍 반룡리 50-4,35.3021459,126.984113,2016,한전주,061-380-3143,담양군청,2022-09-26
"담양읍053",1,,전라남도 담양군 담양읍 반룡리 97-3,35.30251694,126.9838181,2000,한전주,061-380-3143,담양군청,2022-09-26
"담양읍054",1,,전라남도 담양군 담양읍 오계리 701,35.30271912,126.9826202,2011,한전주,061-380-3143,담양군청,2022-09-26
"담양읍055",1,,전라남도 담양군 담양읍 오계리 697,35.30037689,127.0016251,2012,한전주,061-380-3143,담양군청,2022-09-26
"담양읍056",1,,전라남도 담양군 담양읍 오계리 263-4,35.29957199,127.0011902,2015,한전주,061-380-3143,담양군청,2022-09-26
"담양읍057",1,,전라남도 담양군 담양읍 오계리 378,35.2991066,127.0012436,2001,한전주,061-380-3143,담양군청,2022-09-26
"담양읍058",1,,전라남도 담양군 담양읍 오계리 337-18,35.29753876,126.9997177,2005,한전주,061-380-3143,담양군청,2022-09-26
"담양읍059",1,,전라남도 담양군 담양읍 오계리 334-18,35.29753494,126.9989471,2008,전용주,061-380-3143,담양군청,2022-09-26
"담양읍060",1,,전라남도 담양군 담양읍 오계리 289-1,35.29782486,126.9989166,2016,한전주,061-380-3143,담양군청,2022-09-26
"담양읍061",1,,전라남도 담양군 담양읍 오계리 335-20,35.29825211,126.9989014,2006,한전주,061-380-3143,담양군청,2022-09-26
"담양읍062",1,전라남도 담양군 담양읍 무정로 20,전라남도 담양군 담양읍 오계리 335-18,35.29753494,126.9973373,2007,전용주,061-380-3143,담양군청,2022-09-26
"담양읍063",1,전라남도 담양군 담양읍 무정로 20,전라남도 담양군 담양읍 오계리 385,35.2975235,126.9965744,1998,한전주,061-380-3143,담양군청,2022-09-26
"담양읍064",1,전라남도 담양군 담양읍 무정로 177,전라남도 담양군 담양읍 오계리 133-2,35.2985404,126.9930529,2008,한전주,061-380-3143,담양군청,2022-09-26
"담양읍065",1,전라남도 담양군 담양읍 오현길 36,전라남도 담양군 담양읍 오계리 196-1,35.308574,126.9991876,2004,한전주,061-380-3143,담양군청,2022-09-26
