"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고하대로 1131 지중해 옆 굴다리 앞(1)[85-01]",1,,전라남도 목포시 대양동 738-3,34.84004553,126.4001479,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1131 지중해 옆 굴다리 앞(2)[85-02]",1,,전라남도 목포시 대양동 738-3,34.84004553,126.4001479,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 앞(1)[87-07]",1,,전라남도 목포시 대양동 734-10,34.83982258,126.4052408,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 앞(2)[87-06]",1,,전라남도 목포시 대양동 732-6,34.83972079,126.4055064,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 앞(3)[87-05]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 입구(1)[86-10]",1,,전라남도 목포시 대양동 756-9,34.8400116,126.4023557,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 입구(2)[86-09]",1,,전라남도 목포시 대양동 1227,34.8399665,126.4021988,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 입구(3)[86-08]",1,,전라남도 목포시 대양동 1227,34.8399665,126.4021988,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 입구(4)[86-01]",1,,전라남도 목포시 대양동 762-3,34.83945278,126.4030061,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포장례식장 입구(5)[86-02]",1,,전라남도 목포시 대양동 764-8,34.83967995,126.4046408,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포추모관 앞(1)[86-03]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포추모관 앞(2)[86-04]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포추모관 앞(3)[86-05]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포추모관 앞(4)[86-06]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-41 목포추모관 앞(5)[86-07]",1,,전라남도 목포시 대양동 764-8,34.83967995,126.4046408,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-53 오성식품 앞(1)[87-01]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-53 오성식품 앞(2)[87-02]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-53 오성식품 앞(3)[87-03]",1,,전라남도 목포시 대양동 1226,34.83831539,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 1140-63 중앙환경 앞[87-04]",1,,전라남도 목포시 대양동 1226,34.83834572,126.4060471,2020,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 641-10 [1-10]",1,,전라남도 목포시 산정동 1236-17,34.80603909,126.3685239,2014,,061-270-3487,전라남도 목포시청,2022-12-02
"고하대로 641-10 [1-11]",1,,전라남도 목포시 산정동 1236-17,34.80605642,126.3685239,,,061-270-3487,전라남도 목포시청,2022-12-02
