"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가입리101",1,,전라남도 무안군 현경면 가입리 산 46-20,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리104",1,,전라남도 무안군 현경면 가입리 230-8,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리105",1,,전라남도 무안군 현경면 가입리 231-54,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리106",1,,전라남도 무안군 현경면 가입리 산 48-5,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리107",1,,전라남도 무안군 현경면 가입리 211-2,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리108",1,,전라남도 무안군 현경면 가입리 218-4,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리109",1,,전라남도 무안군 현경면 가입리 82-1,35.0895257,126.3430897,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리110",1,,전라남도 무안군 현경면 가입리 41-1,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리111",1,,전라남도 무안군 현경면 가입리 48-1,35.08991335,126.3461045,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리112",1,,전라남도 무안군 현경면 가입리 75-1,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리113",1,,전라남도 무안군 현경면 가입리 51-5,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리114",1,,전라남도 무안군 현경면 가입리 17-1,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리115",1,,전라남도 무안군 현경면 가입리 18-1,35.09030373,126.3489701,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리116",1,,전라남도 무안군 현경면 가입리 9-5,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리117",1,,전라남도 무안군 현경면 가입리 8-12,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리118",1,,전라남도 무안군 현경면 가입리 8-3,35.09154305,126.3501402,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리119",1,,전라남도 무안군 현경면 가입리 1-13,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리120",1,,전라남도 무안군 현경면 가입리 118,35.08904481,126.3421724,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리121",1,,전라남도 무안군 현경면 가입리 137,35.08926814,126.3421355,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리122",1,,전라남도 무안군 현경면 가입리 139,35.08912573,126.3418033,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리123",1,,전라남도 무안군 현경면 가입리 160-2,,,2016,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리125",1,,전라남도 무안군 현경면 가입리 80-1,,,2017,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리201",1,,전라남도 무안군 현경면 가입리 83-2,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리202",1,,전라남도 무안군 현경면 가입리 산 44-30,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리203",1,,전라남도 무안군 현경면 가입리 산44-5,35.08835977,126.334243,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리204",1,,전라남도 무안군 현경면 가입리 45,35.09116719,126.3459497,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리205",1,,전라남도 무안군 현경면 가입리 95-2,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리206",1,,전라남도 무안군 현경면 가입리 51-8,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리207",1,,전라남도 무안군 현경면 가입리 11-11,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리208",1,,전라남도 무안군 현경면 가입리 11-5,,,2012,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리209",1,,전라남도 무안군 현경면 가입리 산 22-9,,,2012,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리210",1,,전라남도 무안군 현경면 가입리 산 22-9,,,2012,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리211",1,,전라남도 무안군 현경면 가입리 141,35.08943762,126.3414762,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리212",1,,전라남도 무안군 현경면 가입리 133,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리213",1,,전라남도 무안군 현경면 가입리 147-2,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리214",1,,전라남도 무안군 현경면 가입리 163,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리215",1,,전라남도 무안군 현경면 가입리 171,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리216",1,,전라남도 무안군 현경면 가입리 156-4,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리217",1,,전라남도 무안군 현경면 가입리 237-2,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리218",2,,전라남도 무안군 현경면 가입리 11-7,,,2013,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리381",1,,전라남도 무안군 현경면 가입리 186-10,,,2012,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리382",1,,전라남도 무안군 현경면 가입리 186-8,,,2012,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리383",1,,전라남도 무안군 현경면 가입리 254,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리386",1,,전라남도 무안군 현경면 가입리 177,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"가입리387",1,,전라남도 무안군 현경면 가입리 179,,,2012,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리102",1,,전라남도 무안군 일로읍 감돈리 948,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리103",1,,전라남도 무안군 일로읍 감돈리 508,34.87465255,126.4688782,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리104",1,,전라남도 무안군 일로읍 감돈리 948,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리106",1,,전라남도 무안군 일로읍 감돈리 948,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리107",1,,전라남도 무안군 일로읍 감돈리 469-5,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리108",1,,전라남도 무안군 일로읍 감돈리 465-10,34.87556464,126.4696774,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리109",1,,전라남도 무안군 일로읍 감돈리 497-2,,,2011,전용주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리110",1,,전라남도 무안군 일로읍 감돈리 502,34.87501089,126.4683728,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리111",1,,전라남도 무안군 일로읍 감돈리 529,34.87446519,126.4664382,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리112",1,,전라남도 무안군 일로읍 감돈리 533-3,34.87439599,126.4654586,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리115",1,,전라남도 무안군 일로읍 감돈리 633,34.87274828,126.4630106,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리116",1,,전라남도 무안군 일로읍 감돈리 538-3,34.87340646,126.4650932,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
"감돈리118",1,,전라남도 무안군 일로읍 감돈리 938,,,2011,한전주,061-450-5456,무안군청 건설교통과,2021-08-24
