"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장천55",1,,전라남도 순천시 장천동 44-18,34.95050950,127.48997330,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"장천56",1,,전라남도 순천시 장천동 87-1,34.95016472,127.49033510,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"장천동 14-14",1,,전라남도 순천시 장천동 87-1,34.94983050,127.49062510,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"장천61",1,,전라남도 순천시 장천동 33-1,34.94966820,127.49060650,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"장천54",1,,전라남도 순천시 장천동 87-1,34.94903470,127.49118270,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전229(1.27~소등)",1,,전라남도 순천시 저전동 274,34.94740640,127.48141500,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전231",1,,전라남도 순천시 저전동 268-1,34.94669985,127.48199340,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전227",1,,전라남도 순천시 저전동 269-10,34.94682297,127.48137120,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전223",1,,전라남도 순천시 저전동 260-3,34.94608865,127.48247090,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전234",1,,전라남도 순천시 저전동 287-13,34.94828280,127.48148380,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전235",1,,전라남도 순천시 저전동 289,34.94842090,127.48131950,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전232",1,,전라남도 순천시 저전동 269-10,34.94766282,127.48143550,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전226",1,,전라남도 순천시 저전동 269-10,34.94655035,127.48153210,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전236",1,,전라남도 순천시 저전동 287-27,34.94850705,127.48108150,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전224",1,,전라남도 순천시 저전동 261,34.94616340,127.48212750,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전233",1,,전라남도 순천시 저전동 269-10,34.94793850,127.48151670,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전225",1,,전라남도 순천시 저전동 261,34.94632609,127.48178960,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"저전228",1,,전라남도 순천시 저전동 269-10,34.94708680,127.48133900,2012,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"풍덕동 1264",1,,전라남도 순천시 풍덕동 1264,34.94474740,127.49595020,2019,전용주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
"왕조2-116-S",1,,전라남도 순천시 조례동 1607,34.95500800,127.52692200,2010,한전주,061-749-6666,전라남도 순천시청 도로과,2022-08-03
