"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"우이도리 산301",1,,전라남도 신안군 도초면 우이도리 산301,34.60281417,125.8446517,,,061-240-4083,전라남도 신안군청,2023-05-08
"우이도리 산144-1",1,,전라남도 신안군 도초면 우이도리 산144-1,34.60785899,125.8429338,,,061-240-4083,전라남도 신안군청,2023-05-08
"소곡리 158-2",1,,전라남도 신안군 안좌면 소곡리 158-2,34.72723253,126.1234337,,,061-240-4083,전라남도 신안군청,2023-05-08
"여흘리 513",1,,전라남도 신안군 안좌면 여흘리 513,34.73133822,126.1472667,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"상태서리 667-24",1,,전라남도 신안군 신의면 상태서리 667-24,34.60712058,126.0729299,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"오음리 715-1",1,,전라남도 신안군 장산면 오음리 715-1,34.65025508,126.1403462,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"신장리 196-2",1,,전라남도 신안군 압해읍 신장리 196-2,34.82622633,126.3528425,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"남강리 370-2",1,,전라남도 신안군 안좌면 남강리 370-2,34.7315132,126.128922,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"반월리 250-1",1,,전라남도 신안군 안좌면 반월리 250-1,34.70074647,126.1067737,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"반월리 122-2",1,,전라남도 신안군 안좌면 반월리 122-2,34.7030165,126.109995,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"지남리 1091",1,,전라남도 신안군 도초면 지남리 1091,34.6913472,125.9288488,,,061-240-4083,전라남도 신안군청,2023-05-08
"남강리 산20-1",1,,전라남도 신안군 안좌면 남강리 산20-1,34.73254893,126.1297121,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"오림리 530-22",1,,전라남도 신안군 하의면 오림리 530-22,34.57714045,126.0411683,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"장감리 62-1",1,,전라남도 신안군 압해읍 장감리 62-1,34.823347,126.3489388,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"방축리 453-2",1,,전라남도 신안군 증도면 방축리 453-2,34.99870237,126.1212128,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"송공리 718-43",1,,전라남도 신안군 압해읍 송공리 718-43,34.8486411,126.2277832,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"송공리 718-39",1,,전라남도 신안군 압해읍 송공리 718-39,34.84841713,126.2280555,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
"송공리 718-36",1,,전라남도 신안군 압해읍 송공리 718-36,34.84869817,126.2283532,,한전주,061-240-4083,전라남도 신안군청,2023-05-08
