"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광림동001",1,,전라남도 여수시 오림동  160,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동002",1,,전라남도 여수시 오림동  239,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동003",1,전라남도 여수시 광무남3길 15,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동004",1,전라남도 여수시 광무남1길 14,,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동005",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동006",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동007",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동008",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동009",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동010",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동011",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동012",1,전라남도 여수시 충민사길 97,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동013",1,,전라남도 여수시 광무동  360,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동014",1,,전라남도 여수시 광무동  363,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동015",1,전라남도 여수시 한재로 173,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동016",1,,전라남도 여수시 오림동  246,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동017",1,,전라남도 여수시 광무동  27-1,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동018",1,전라남도 여수시 광무3길 77-1,,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동019",1,,전라남도 여수시 오림동  487,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동020",1,,전라남도 여수시 오림동  415,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동021",1,,전라남도 여수시 오림동  487,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동022",1,,전라남도 여수시 오림동  487,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동023",1,전라남도 여수시 오림4길 22,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동024",1,,전라남도 여수시 오림동  415,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동025",1,전라남도 여수시 좌수영로 297,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동026",1,,전라남도 여수시 오림동  415,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동027",1,전라남도 여수시 오림3길 12-6,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동028",1,,전라남도 여수시 오림동  399-9,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동029",1,,전라남도 여수시 오림동  415,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동030",1,전라남도 여수시 좌수영로277-1,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동031",1,전라남도 여수시 오림3길 12,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동032",1,전라남도 여수시 오림4길 28-2,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동033",1,전라남도 여수시 오림4길 23,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동034",1,,전라남도 여수시 오림동  399-15,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동035",1,전라남도 여수시 오림3길 30-7,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동036",1,전라남도 여수시 문수북3길 32-1,,,,,전용주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동037",1,전라남도 여수시 오림3길 30,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동038",1,전라남도 여수시 문수북5길 34,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동039",1,전라남도 여수시 오림3길 26,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동040",1,전라남도 여수시 오림3길 22,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동041",1,전라남도 여수시 오림3길 17-1,,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
"광림동042",1,,전라남도 여수시 오림동  402-4,,,,한전주,061-659-4531,전라남도 여수시청,2022-11-03
