"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"군서면1-1",1,,전라남도 영광군 군서면 마읍리 1036-1,35.256908,126.476402,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"군서면1-2",1,,전라남도 영광군 군서면 마읍리 1036-1,35.256519,126.476845,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-1",1,,전라남도 영광군 낙월면 상낙월리 산444,35.201393,126.132774,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-2",1,,전라남도 영광군 낙월면 상낙월리 산444,35.201054,126.131866,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-3",1,,전라남도 영광군 낙월면 하낙월리 산444,35.200867,126.131355,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-4",1,,전라남도 영광군 낙월면 하낙월리 산444,,126.130875,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-5",1,,전라남도 영광군 낙월면 하낙월리 산444,35.200367,,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-6",1,,전라남도 영광군 낙월면 하낙월리 산444,35.199932,,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-7",1,,전라남도 영광군 낙월면 하낙월리 산444,35.199257,126.128693,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-8",1,,전라남도 영광군 낙월면 하낙월리 산444,35.198711,126.128502,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면1-9",1,,전라남도 영광군 낙월면 하낙월리 산444,35.198021,126.128082,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-1",2,,전라남도 영광군 낙월면 월촌리 산574,35.345413,126.017609,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-2",2,,전라남도 영광군 낙월면 월촌리 산574,35.345425,126.017372,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-3",2,,전라남도 영광군 낙월면 월촌리 산574,35.345421,126.017143,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-4",2,,전라남도 영광군 낙월면 월촌리 산574,35.345436,126.016922,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-5",2,,전라남도 영광군 낙월면 월촌리 산574,35.345444,126.016617,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-6",2,,전라남도 영광군 낙월면 월촌리 산574,35.3453641331,126.0158791868,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면2-7",2,,전라남도 영광군 낙월면 월촌리 산574,35.345436,126.016068,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-1",1,,전라남도 영광군 낙월면 송이리 산158-29,35.2734559652,126.1492816179,,한전주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-2",1,,전라남도 영광군 낙월면 송이리 산158-29,35.271896,126.148102,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-3",1,,전라남도 영광군 낙월면 송이리 산158-29,35.271507,126.148384,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-4",1,,전라남도 영광군 낙월면 송이리 산158-29,35.2734559652,126.148796,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-5",1,,전라남도 영광군 낙월면 송이리 산158-29,35.271656,126.149277,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-6",1,,전라남도 영광군 낙월면 송이리 산158-29,35.271744,126.149712,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면3-7",1,,전라남도 영광군 낙월면 송이리 산158-29,35.271835,126.150215,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-1",1,,전라남도 영광군 낙월면 송이리 산437-15,35.276134,126.152542,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-2",1,,전라남도 영광군 낙월면 송이리 산437-3,35.276001,126.152771,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-3",1,,전라남도 영광군 낙월면 송이리 산437-3,35.275631,126.152695,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-4",1,,전라남도 영광군 낙월면 송이리 산437-3,35.2756494615,126.152634,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-5",1,,전라남도 영광군 낙월면 송이리 산437-3,35.2756494615,126.152534,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"낙월면4-6",1,,전라남도 영광군 낙월면 송이리 산437-14,35.2756494615,126.152145,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-1",1,,전라남도 영광군 대마면 원흥리 23-5,35.300713,126.569061,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-10",2,,전라남도 영광군 대마면 송죽리 667-1,35.298401,,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-11",2,,전라남도 영광군 대마면 송죽리 667-9,35.298191,126.571487,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-2",1,,전라남도 영광군 대마면 원흥리 23-5,35.300385,126.569267,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-3",1,,전라남도 영광군 대마면 원흥리 23-5,35.300007,126.569504,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-4",1,,전라남도 영광군 대마면 원흥리 29-2,35.299675,126.569695,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-5",1,,전라남도 영광군 대마면 원흥리 37-2,,126.569817,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-6",1,,전라남도 영광군 대마면 원흥리 37-2,35.299339,126.569962,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-7",1,,전라남도 영광군 대마면 송죽리 862,35.299141,126.570145,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-8",2,,전라남도 영광군 대마면 송죽리 666-6,35.298889,126.570541,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면1-9",2,,전라남도 영광군 대마면 송죽리 667-1,35.298645,126.570854,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면2-1",2,,전라남도 영광군 대마면 송죽리 668-1,35.297928,126.571854,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면2-10",1,,전라남도 영광군 대마면 송죽리 687-10,35.295734,126.573387,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면2-11",1,,전라남도 영광군 대마면 송죽리 688-17,35.295391,126.573502,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
"대마면2-12",1,,전라남도 영광군 대마면 송죽리 688-17,35.295036,126.573624,,전용주,061-350-5484,전라남도 영광군청,2021-09-17
