"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"금정면 남송리 328",1,,전라남도 영암군 금정면 남송리 328,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 309",1,,전라남도 영암군 금정면 남송리 309,34.8475230353,126.7832911,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 326-1",1,,전라남도 영암군 금정면 남송리 326-1,34.84682915,126.783551,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 450-3",1,,전라남도 영암군 금정면 남송리 450-3,34.8357319,126.7795759,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 450-1",1,,전라남도 영암군 금정면 남송리 450-1,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 816-13",1,,전라남도 영암군 금정면 남송리 816-13,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 680-4",1,,전라남도 영암군 금정면 남송리 680-4,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 719-4",1,,전라남도 영암군 금정면 남송리 719-4,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 718-29",1,,전라남도 영암군 금정면 남송리 718-29,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 718-6",1,,전라남도 영암군 금정면 남송리 718-6,34.8483996034,126.7726477,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 739-9",1,,전라남도 영암군 금정면 남송리 739-9,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 718-1",1,,전라남도 영암군 금정면 남송리 718-1,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 789",1,,전라남도 영암군 금정면 남송리 789,34.8469420399,126.7742962,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 792",1,,전라남도 영암군 금정면 남송리 792,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 800",1,,전라남도 영암군 금정면 남송리 800,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 812-10",1,,전라남도 영암군 금정면 남송리 812-10,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 687-3",1,,전라남도 영암군 금정면 남송리 687-3,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 711",1,,전라남도 영암군 금정면 남송리 711,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 693",1,,전라남도 영암군 금정면 남송리 693,34.8489771,126.7736609,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 708",1,,전라남도 영암군 금정면 남송리 708,34.8486611971,126.7739591,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 807",1,,전라남도 영암군 금정면 남송리 807,34.8483099,126.7753376,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
"금정면 남송리 812-15",1,,전라남도 영암군 금정면 남송리 812-15,,,2012,한전주,061-470-2439,전라남도 영암군청,2021-11-05
