"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고금면 0001",1,전라남도 완도군 고금면 고금로 2-18,,34.3541200613,126.7764538363,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0002",1,전라남도 완도군 고금면 고금로 10,,34.3534398028,126.7782359556,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0003",1,전라남도 완도군 고금면 고금로 10,,34.3534398028,126.7782359556,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0004",1,전라남도 완도군 고금면 고금로 222-41,,34.3693818891,126.7828282787,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0005",1,,전라남도 완도군 고금면 상정리 37-6,,,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0006",1,전라남도 완도군 고금면 고금로 222-1,,34.3703005088,126.7808654206,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0007",1,전라남도 완도군 고금면 상정2길 17,,34.3725073876,126.7781520145,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0008",1,전라남도 완도군 고금면 고금로 222-1,,34.3703005088,126.7808654206,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0009",1,전라남도 완도군 고금면 상정3길 13-9,,34.3728399369,126.7788968478,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0010",1,전라남도 완도군 고금면 상정2길 17,,34.3725073876,126.7781520145,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0011",1,전라남도 완도군 고금면 상정1길 29,,34.3720474576,126.7783521826,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0012",1,전라남도 완도군 고금면 고금로 222-1,,34.3703005088,126.7808654206,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0013",1,,전라남도 완도군 고금면 상정리 73-2,,,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0014",1,,전라남도 완도군 고금면 상정리 176,,,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0015",1,,전라남도 완도군 고금면 상정리 214,,,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0016",1,전라남도 완도군 고금면 상정길 22,,34.3727367857,126.7820506455,,,061-550-6412,고금면사무소,2020-09-08
"고금면 0017",1,,전라남도 완도군 고금면 상정리 204,,,,,061-550-6412,고금면사무소,2020-09-08
