"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장성 용강 3",1,,전라남도 장성군 장성읍 용강리 359,35.3650783271,126.8096845716,2021,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 27",1,,전라남도 장성군 장성읍 유탕리 1468-3,35.3203403058,126.8016369536,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 28",1,,전라남도 장성군 장성읍 유탕리 1361-2,35.3193288,126.8032955974,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 29",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 30",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 31",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 148",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,전용주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 32",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 26",1,,전라남도 장성군 장성읍 유탕리 1382-2,35.3208745,126.8011239100,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"동화 남평 55",1,,전라남도 장성군 동화면 남평리 산 1-13,35.2813338,126.7305122804,2021,전용주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 청운 11",1,,전라남도 장성군 장성읍 영천리 1050-4,35.3029677,126.7830045120,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"장성 야은 14",1,,전라남도 장성군 장성읍 야은리 산 39-2,35.3425193140,126.817144,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"동화 구림69(2022)",1,,전라남도 장성군 동화면 구림리 617-7,35.2807181276,126.7167198071,2022,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"북하 월성38(2022)",1,,전라남도 장성군 북하면 월성리 887,35.3351523515,126.8685936261,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"장성 영천223",1,,전라남도 장성군 장성읍 영천리 1486-26,35.3040896228,126.7863147,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"진원 선적162(2022)",1,,전라남도 장성군 진원면 선적리 181-18,35.2760133404,126.8330285994,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 33",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 34",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 45",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 46",1,,전라남도 장성군 장성읍 유탕리 1559-54,35.3161478971,126.8062376737,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 35",1,,전라남도 장성군 장성읍 유탕리 1205-12,35.3166204962,126.8098414938,2020,전용주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 37",1,,전라남도 장성군 장성읍 유탕리 707-4,35.3157529989,126.8110699087,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"진원 선적163(2022)",1,,전라남도 장성군 진원면 선적리 176-1,35.2754162,126.8325884949,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 39",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 48",1,,전라남도 장성군 장성읍 유탕리 1184-3,35.315079,126.813324,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 49",1,,전라남도 장성군 장성읍 유탕리 1782-1,35.3126070334,126.8420281197,2020,전용주,061-390-7236,전라남도 장성군청,2023-03-05
"장성 유탕 50",1,,전라남도 장성군 장성읍 유탕리 556-5,35.3151114637,126.8149954170,2020,한전주,061-390-7236,전라남도 장성군청,2023-03-05
"황룡 장산142(2022)",1,,전라남도 장성군 황룡면 장산리 21-17,35.2921992350,126.7645962255,2022,건축물,061-390-7236,전라남도 장성군청,2023-03-05
