"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"회진면143",1,,전라남도 장흥군 회진면 회진리 242-3,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면258",1,,전라남도 장흥군 안양면 운흥리 582-1,34.64802864,126.9765716,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍696",1,,전라남도 장흥군 관산읍 신동리 239-3,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면259",1,,전라남도 장흥군 안양면 운흥리 572-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍697",1,,전라남도 장흥군 관산읍 신동리 210-3,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면260",1,,전라남도 장흥군 안양면 운흥리 760-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍698",1,,전라남도 장흥군 관산읍 신동리 207-84,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면261",1,,전라남도 장흥군 안양면 운흥리 64-1,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍699",1,,전라남도 장흥군 관산읍 신동리 207-81,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면262",1,,전라남도 장흥군 안양면 운흥리 57-1,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍700",1,,전라남도 장흥군 관산읍 신동리 12-2,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면263",1,,전라남도 장흥군 안양면 운흥리 산11-2,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍701",1,,전라남도 장흥군 관산읍 신동리 763-8,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"회진면144",1,,전라남도 장흥군 회진면 회진리 279-1,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면264",1,,전라남도 장흥군 안양면 운흥리 568,34.64788455,126.9783066,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍702",1,,전라남도 장흥군 관산읍 신동리 763-1,34.55509876,126.984624,,,061-860-6125,전라남도 장흥군청,2022-06-29
"회진면145",1,,전라남도 장흥군 회진면 회진리 275-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면265",1,,전라남도 장흥군 안양면 모령리 3-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍703",1,,전라남도 장흥군 관산읍 신동리 25-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍704",1,,전라남도 장흥군 관산읍 신동리 25-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면266",1,,전라남도 장흥군 안양면 모령리 374-5,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍705",1,,전라남도 장흥군 관산읍 신동리 25-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"회진면146",1,,전라남도 장흥군 회진면 회진리 274-9,34.46443324,126.932102,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면267",1,,전라남도 장흥군 안양면 모령리 470-3,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍706",1,,전라남도 장흥군 관산읍 정남진해안로 785,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"회진면147",1,,전라남도 장흥군 회진면 회진리 286-1,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍707",1,,전라남도 장흥군 관산읍 신동리 37-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면268",1,,전라남도 장흥군 안양면 모령리 412-2,34.64492874,126.9638616,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍845",1,,전라남도 장흥군 관산읍 삼산리 511-2,34.51980624,126.9544448,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면373",1,전라남도 장흥군 안양면 교동1길 2,,34.63727512,126.9894295,,,061-860-6125,전라남도 장흥군청,2022-06-29
"장동면199",1,,전라남도 장흥군 장동면 북교리 9-64,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"회진면234",1,전라남도 장흥군 회진면 회진남문길 9-9,,34.48230333,126.9387022,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면374",1,전라남도 장흥군 안양면 교동1길 11,,34.63780494,126.9888609,,,061-860-6125,전라남도 장흥군청,2022-06-29
"장동면200",1,,전라남도 장흥군 장동면 북교리 1-4,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"관산읍846",1,,전라남도 장흥군 관산읍 삼산리 1675-2,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"장동면201",1,,전라남도 장흥군 장동면 북교리 9-122,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
"안양면375",1,,전라남도 장흥군 안양면 해창리 406-2,34.63767138,126.9882809,,,061-860-6125,전라남도 장흥군청,2022-06-29
"장동면202",1,,전라남도 장흥군 장동면 북교리 15-17,,,,,061-860-6125,전라남도 장흥군청,2022-06-29
