"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"군내면 1758",1,,전라남도 진도군 군내면 녹진리 산 77,34.55392063,126.285456,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1759",1,,전라남도 진도군 군내면 덕병리 1617,34.53529884,126.2759551,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1760",1,,전라남도 진도군 군내면 녹진리 산 21-12,34.55591274,126.2944437,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1761",1,,전라남도 진도군 군내면 둔전리 185-9,34.54874819,126.2989051,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1762",1,,전라남도 진도군 군내면 둔전리 299-2,34.546539,126.3034739,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1763",1,,전라남도 진도군 군내면 둔전리 587-1,34.529594,126.2997701,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1764",1,,전라남도 진도군 군내면 세등리 948,34.51997117,126.3193262,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1765",1,,전라남도 진도군 군내면 용장리 산 179-3,34.51799807,126.3267345,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1766",1,,전라남도 진도군 군내면 용장리 산 179-3,34.51799807,126.3267345,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1767",1,,전라남도 진도군 군내면 용장리 산 181-2,34.51910714,126.328725,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1768",1,,전라남도 진도군 군내면 용장리 808-2,34.51985838,126.3302013,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
"군내면 1769",1,,전라남도 진도군 군내면 용장리 792-2,34.52030122,126.330849,,한전주,061-540-1175,전라남도 진도군청,2023-08-30
