"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"나산면 1",1,,전라남도 함평군 나산면 구산리 873-4,35.098186,126.560219,,한전주,061-320-1583,함평군,2021-09-25
"나산면 10",1,,전라남도 함평군 나산면 구산리 1081,35.101089,126.561813,,한전주,061-320-1583,함평군,2021-09-25
"나산면 100",1,,전라남도 함평군 나산면 덕림리 767,35.098713,126.592003,,한전주,061-320-1583,함평군,2021-09-25
"나산면 101",1,,전라남도 함평군 나산면 덕림리 774,35.095528,126.592857,,한전주,061-320-1583,함평군,2021-09-25
"나산면 102",1,,전라남도 함평군 나산면 덕림리 794,35.094933,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 103",1,,전라남도 함평군 나산면 덕림리 749-1,35.094036,126.593117,,한전주,061-320-1583,함평군,2021-09-25
"나산면 104",1,,전라남도 함평군 나산면 덕림리 794,35.092525,126.593155,,한전주,061-320-1583,함평군,2021-09-25
"나산면 105",1,,전라남도 함평군 나산면 덕림리 74,35.092133,126.592537,,한전주,061-320-1583,함평군,2021-09-25
"나산면 106",1,,전라남도 함평군 나산면 덕림리 69-1,35.091984,126.593704,,한전주,061-320-1583,함평군,2021-09-25
"나산면 107",1,,전라남도 함평군 나산면 덕림리 794,35.090584,126.594696,,한전주,061-320-1583,함평군,2021-09-25
"나산면 108",1,,전라남도 함평군 나산면 덕림리 67-1,35.091511,126.594162,,한전주,061-320-1583,함평군,2021-09-25
"나산면 109",1,,전라남도 함평군 나산면 덕림리 716,35.105556,126.594162,,한전주,061-320-1583,함평군,2021-09-25
"나산면 11",1,,전라남도 함평군 나산면 구산리 921,35.10175687,126.561829,,한전주,061-320-1583,함평군,2021-09-25
"나산면 110",1,,전라남도 함평군 나산면 덕림리 716,35.106316,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 111",1,,전라남도 함평군 나산면 삼축리 1232-7,,126.608925,,한전주,061-320-1583,함평군,2021-09-25
"나산면 112",1,,전라남도 함평군 나산면 삼축리 234-4,35.111145,126.609833,,한전주,061-320-1583,함평군,2021-09-25
"나산면 113",1,,전라남도 함평군 나산면 삼축리 1341,35.111366,126.610123,,한전주,061-320-1583,함평군,2021-09-25
"나산면 114",1,,전라남도 함평군 나산면 삼축리 247,35.111195,126.610428,,한전주,061-320-1583,함평군,2021-09-25
"나산면 115",1,,전라남도 함평군 나산면 삼축리 247-1,35.110912,126.610512,,한전주,061-320-1583,함평군,2021-09-25
"나산면 116",1,,전라남도 함평군 나산면 삼축리 240-4,35.110603,126.610596,,한전주,061-320-1583,함평군,2021-09-25
"나산면 117",1,,전라남도 함평군 나산면 삼축리 241,35.110321,126.610657,,한전주,061-320-1583,함평군,2021-09-25
"나산면 118",1,,전라남도 함평군 나산면 삼축리 243-1,35.109951,126.610931,,한전주,061-320-1583,함평군,2021-09-25
"나산면 119",1,,전라남도 함평군 나산면 삼축리 278-5,35.111687,126.610603,,한전주,061-320-1583,함평군,2021-09-25
"나산면 12",1,,전라남도 함평군 나산면 구산리 1089,35.102104,126.561127,,한전주,061-320-1583,함평군,2021-09-25
"나산면 120",1,,전라남도 함평군 나산면 삼축리 258-1,35.111755,126.611084,,한전주,061-320-1583,함평군,2021-09-25
"나산면 121",1,,전라남도 함평군 나산면 삼축리 181-60,35.111637,126.611488,,한전주,061-320-1583,함평군,2021-09-25
"나산면 122",1,,전라남도 함평군 나산면 삼축리 179-5,35.112591,126.611343,,한전주,061-320-1583,함평군,2021-09-25
"나산면 123",1,,전라남도 함평군 나산면 나산리 861,35.110237,126.613777,,한전주,061-320-1583,함평군,2021-09-25
"나산면 124",1,,전라남도 함평군 나산면 수하리 390,35.103218,126.606613,,한전주,061-320-1583,함평군,2021-09-25
"나산면 125",1,,전라남도 함평군 나산면 수하리 1049,35.103054,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 126",1,,전라남도 함평군 나산면 수하리 733-1,35.104065,126.605827,,한전주,061-320-1583,함평군,2021-09-25
"나산면 127",1,,전라남도 함평군 나산면 수하리 734-3,35.104492,126.604385,,한전주,061-320-1583,함평군,2021-09-25
"나산면 128",1,,전라남도 함평군 나산면 수하리 1049,35.104599,126.603622,,한전주,061-320-1583,함평군,2021-09-25
"나산면 129",1,,전라남도 함평군 나산면 수하리 1049,35.105225,126.603409,,한전주,061-320-1583,함평군,2021-09-25
"나산면 13",1,,전라남도 함평군 나산면 구산리 1022-2,35.103016,126.560005,,한전주,061-320-1583,함평군,2021-09-25
"나산면 130",1,,전라남도 함평군 나산면 수하리 764-2,35.105743,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 131",1,,전라남도 함평군 나산면 수하리 1049,35.106228,126.603874,,한전주,061-320-1583,함평군,2021-09-25
"나산면 132",1,,전라남도 함평군 나산면 수하리 1115,35.104851,126.602547,,한전주,061-320-1583,함평군,2021-09-25
"나산면 133",1,,전라남도 함평군 나산면 수하리 1121,35.102154,126.603065,,한전주,061-320-1583,함평군,2021-09-25
"나산면 134",1,,전라남도 함평군 나산면 수하리 666-1,35.101955,126.603386,,한전주,061-320-1583,함평군,2021-09-25
"나산면 135",1,,전라남도 함평군 나산면 수하리 1049,35.102566,126.603676,,한전주,061-320-1583,함평군,2021-09-25
"나산면 136",1,,전라남도 함평군 나산면 수하리 689-8,35.102196,126.605606,,한전주,061-320-1583,함평군,2021-09-25
"나산면 137",1,,전라남도 함평군 나산면 수하리 503-4,35.102703,126.606796,,한전주,061-320-1583,함평군,2021-09-25
"나산면 138",1,,전라남도 함평군 나산면 수하리 501-6,35.102501,126.607445,,한전주,061-320-1583,함평군,2021-09-25
"나산면 139",1,,전라남도 함평군 나산면 수하리 489-2,35.102379,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 14",1,,전라남도 함평군 나산면 구산리 1084,35.103142,126.559525,,한전주,061-320-1583,함평군,2021-09-25
"나산면 140",1,,전라남도 함평군 나산면 수하리 487-3,35.102081,126.608559,,한전주,061-320-1583,함평군,2021-09-25
"나산면 141",1,,전라남도 함평군 나산면 수하리 476-2,35.101921,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 142",1,,전라남도 함평군 나산면 수하리 1049,35.101643,126.610062,,한전주,061-320-1583,함평군,2021-09-25
"나산면 143",1,,전라남도 함평군 나산면 수하리 999-10,,126.611244,,한전주,061-320-1583,함평군,2021-09-25
"나산면 144",1,,전라남도 함평군 나산면 수하리 461-3,35.101334,126.611153,,한전주,061-320-1583,함평군,2021-09-25
"나산면 145",1,,전라남도 함평군 나산면 수하리 244-1,35.099594,126.614746,,한전주,061-320-1583,함평군,2021-09-25
"나산면 146",1,,전라남도 함평군 나산면 수하리 244-4,35.099216,126.614761,,한전주,061-320-1583,함평군,2021-09-25
"나산면 147",1,,전라남도 함평군 나산면 수하리 302-1,35.098423,126.614647,,한전주,061-320-1583,함평군,2021-09-25
"나산면 148",1,,전라남도 함평군 나산면 수하리 298-2,,126.614319,,한전주,061-320-1583,함평군,2021-09-25
"나산면 149",1,,전라남도 함평군 나산면 수하리 1035-6,35.100029,126.615067,,한전주,061-320-1583,함평군,2021-09-25
"나산면 15",1,,전라남도 함평군 나산면 구산리 844-6,35.099163,126.566132,,한전주,061-320-1583,함평군,2021-09-25
"나산면 150",1,,전라남도 함평군 나산면 수하리 1043,,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 151",1,,전라남도 함평군 나산면 수하리 259,35.100063,126.616676,,한전주,061-320-1583,함평군,2021-09-25
"나산면 152",1,,전라남도 함평군 나산면 수하리 473,35.101528,126.609299,,한전주,061-320-1583,함평군,2021-09-25
"나산면 153",1,,전라남도 함평군 나산면 수하리 487-7,35.101772,126.608459,,한전주,061-320-1583,함평군,2021-09-25
"나산면 154",1,,전라남도 함평군 나산면 수하리 485,35.101273,126.608299,,한전주,061-320-1583,함평군,2021-09-25
"나산면 155",1,,전라남도 함평군 나산면 수하리 1035-6,35.100704,126.608192,,한전주,061-320-1583,함평군,2021-09-25
"나산면 156",1,,전라남도 함평군 나산면 수하리 1035-6,35.099163,126.605461,,한전주,061-320-1583,함평군,2021-09-25
"나산면 157",1,,전라남도 함평군 나산면 수하리 574-1,35.098759,126.605354,,한전주,061-320-1583,함평군,2021-09-25
"나산면 158",1,,전라남도 함평군 나산면 수하리 1035-6,35.098469,126.605263,,한전주,061-320-1583,함평군,2021-09-25
"나산면 159",1,,전라남도 함평군 나산면 수하리 1140,35.099392,126.606537,,한전주,061-320-1583,함평군,2021-09-25
"나산면 16",1,,전라남도 함평군 나산면 구산리 851-7,35.099525,126.567276,,한전주,061-320-1583,함평군,2021-09-25
"나산면 160",1,,전라남도 함평군 나산면 나산리 671-1,35.111492,126.614571,,한전주,061-320-1583,함평군,2021-09-25
"나산면 161",1,,전라남도 함평군 나산면 나산리 674-3,35.111862,126.614761,,한전주,061-320-1583,함평군,2021-09-25
"나산면 162",1,,전라남도 함평군 나산면 나산리 674-5,35.112251,126.614975,,한전주,061-320-1583,함평군,2021-09-25
"나산면 163",1,,전라남도 함평군 나산면 나산리 674-1,,126.615082,,한전주,061-320-1583,함평군,2021-09-25
"나산면 164",1,,전라남도 함평군 나산면 나산리 845,35.112873,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 165",1,,전라남도 함평군 나산면 나산리 635-8,35.113319,126.615265,,한전주,061-320-1583,함평군,2021-09-25
"나산면 166",1,,전라남도 함평군 나산면 나산리 845,35.113659,126.615341,,한전주,061-320-1583,함평군,2021-09-25
"나산면 167",1,,전라남도 함평군 나산면 나산리 845,35.114124,126.615448,,한전주,061-320-1583,함평군,2021-09-25
"나산면 168",1,,전라남도 함평군 나산면 나산리 845,35.114574,126.615555,,한전주,061-320-1583,함평군,2021-09-25
"나산면 169",1,,전라남도 함평군 나산면 나산리 845,35.114971,126.615646,,한전주,061-320-1583,함평군,2021-09-25
"나산면 17",1,,전라남도 함평군 나산면 구산리 1007,35.099014,126.567276,,한전주,061-320-1583,함평군,2021-09-25
"나산면 170",1,,전라남도 함평군 나산면 나산리 607-1,35.115318,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 171",1,,전라남도 함평군 나산면 나산리 602-4,35.115646,126.616127,,한전주,061-320-1583,함평군,2021-09-25
"나산면 172",1,,전라남도 함평군 나산면 나산리 845,35.112991,126.614349,,한전주,061-320-1583,함평군,2021-09-25
"나산면 173",1,,전라남도 함평군 나산면 나산리 635-17,35.113461,126.615562,,한전주,061-320-1583,함평군,2021-09-25
"나산면 174",1,,전라남도 함평군 나산면 나산리 678,35.112869,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 175",1,,전라남도 함평군 나산면 나산리 695-3,35.112831,126.616417,,한전주,061-320-1583,함평군,2021-09-25
"나산면 176",1,,전라남도 함평군 나산면 나산리 845,35.112804,126.616898,,한전주,061-320-1583,함평군,2021-09-25
"나산면 177",1,,전라남도 함평군 나산면 나산리 492-1,,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 178",1,,전라남도 함평군 나산면 나산리 845,,126.617554,,한전주,061-320-1583,함평군,2021-09-25
"나산면 179",1,,전라남도 함평군 나산면 나산리 847,35.112671,,,한전주,061-320-1583,함평군,2021-09-25
"나산면 18",1,,전라남도 함평군 나산면 구산리 839-4,35.098286,126.567184,,한전주,061-320-1583,함평군,2021-09-25
"나산면 180",1,,전라남도 함평군 나산면 나산리 475-4,35.113018,126.618393,,한전주,061-320-1583,함평군,2021-09-25
"나산면 181",1,,전라남도 함평군 나산면 나산리 477,35.113598,126.6182251,,한전주,061-320-1583,함평군,2021-09-25
"나산면 182",1,,전라남도 함평군 나산면 나산리 847,,126.618713,,한전주,061-320-1583,함평군,2021-09-25
"나산면 183",1,,전라남도 함평군 나산면 나산리 455,35.113735,126.619019,,한전주,061-320-1583,함평군,2021-09-25
"나산면 184",1,,전라남도 함평군 나산면 나산리 457,35.11418264,126.618858,,한전주,061-320-1583,함평군,2021-09-25
"나산면 185",1,,전라남도 함평군 나산면 나산리 459,35.114445,126.619125,,한전주,061-320-1583,함평군,2021-09-25
"나산면 186",1,,전라남도 함평군 나산면 나산리 446-1,35.113243,126.619026,,한전주,061-320-1583,함평군,2021-09-25
"나산면 187",1,,전라남도 함평군 나산면 나산리 447,35.113525,126.619194,,한전주,061-320-1583,함평군,2021-09-25
"나산면 188",1,,전라남도 함평군 나산면 나산리 847,35.112537,126.618645,,한전주,061-320-1583,함평군,2021-09-25
"나산면 189",1,,전라남도 함평군 나산면 나산리 343-3,35.112354,126.619225,,한전주,061-320-1583,함평군,2021-09-25
"나산면 19",1,,전라남도 함평군 나산면 구산리 839-1,35.098068,126.566833,,한전주,061-320-1583,함평군,2021-09-25
"나산면 190",1,,전라남도 함평군 나산면 나산리 432-1,35.112305,126.620308,,한전주,061-320-1583,함평군,2021-09-25
"나산면 191",1,,전라남도 함평군 나산면 나산리 934,35.112137,126.620636,,한전주,061-320-1583,함평군,2021-09-25
"나산면 192",1,,전라남도 함평군 나산면 나산리 430-1,35.112637,126.620697,,한전주,061-320-1583,함평군,2021-09-25
"나산면 193",1,,전라남도 함평군 나산면 나산리 424,35.113045,126.620186,,한전주,061-320-1583,함평군,2021-09-25
"나산면 194",1,,전라남도 함평군 나산면 나산리 411-1,35.113049,126.620888,,한전주,061-320-1583,함평군,2021-09-25
"나산면 195",1,,전라남도 함평군 나산면 나산리 406-2,35.113556,126.620926,,한전주,061-320-1583,함평군,2021-09-25
"나산면 196",1,,전라남도 함평군 나산면 나산리 405,35.113838,126.6209037,,한전주,061-320-1583,함평군,2021-09-25
"나산면 197",1,,전라남도 함평군 나산면 나산리 367-1,35.112518,126.621635,,한전주,061-320-1583,함평군,2021-09-25
"나산면 198",1,,전라남도 함평군 나산면 나산리 364-1,35.112534,126.622284,,한전주,061-320-1583,함평군,2021-09-25
"나산면 199",1,,전라남도 함평군 나산면 나산리 45,35.113003,126.622612,,한전주,061-320-1583,함평군,2021-09-25
"나산면 2",1,,전라남도 함평군 나산면 구산리 1014,35.098572,126.561211,,한전주,061-320-1583,함평군,2021-09-25
"나산면 20",1,,전라남도 함평군 나산면 구산리 1007,35.099403,126.570152,,한전주,061-320-1583,함평군,2021-09-25
"나산면 200",1,,전라남도 함평군 나산면 나산리 846,,126.622971,,한전주,061-320-1583,함평군,2021-09-25
"나산면 201",1,,전라남도 함평군 나산면 나산리 926,35.110733,126.619492,,한전주,061-320-1583,함평군,2021-09-25
"나산면 202",1,,전라남도 함평군 나산면 나산리 276-3,35.110813,126.618797,,한전주,061-320-1583,함평군,2021-09-25
"나산면 203",1,,전라남도 함평군 나산면 나산리 858,35.111458,126.618462,,한전주,061-320-1583,함평군,2021-09-25
"나산면 204",1,,전라남도 함평군 나산면 나산리 335-1,35.111877,126.618141,,한전주,061-320-1583,함평군,2021-09-25
"나산면 205",1,,전라남도 함평군 나산면 나산리 306-1,35.110924,126.618263,,한전주,061-320-1583,함평군,2021-09-25
"나산면 206",1,,전라남도 함평군 나산면 나산리 308-2,35.110691,126.617874,,한전주,061-320-1583,함평군,2021-09-25
"나산면 207",1,,전라남도 함평군 나산면 나산리 299-2,35.110367,126.617836,,한전주,061-320-1583,함평군,2021-09-25
