"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"계곡면001",1,,전라남도 해남군 계곡면 성진리 583-7,34.64370144,126.6593334,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면002",1,,전라남도 해남군 계곡면 성진리 583-4,34.64394367,126.6591345,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면003",1,,전라남도 해남군 계곡면 성진리 109-1,34.64436391,126.6595971,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면004",1,,전라남도 해남군 계곡면 성진리 107,34.64440452,126.6600323,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면006",1,,전라남도 해남군 계곡면 성진리 산 38-7,34.64504216,126.6601805,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면008",1,,전라남도 해남군 계곡면 성진리 1033-9,34.64601344,126.6604709,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면009",1,,전라남도 해남군 계곡면 성진리 1030-3,34.64585733,126.6595701,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면010",1,,전라남도 해남군 계곡면 성진리 1030-3,34.64585733,126.6595701,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면011",1,,전라남도 해남군 계곡면 성진리 51,34.64608673,126.6595649,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면015",1,,전라남도 해남군 계곡면 성진리 1033-9,34.64601344,126.6604709,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면018",1,,전라남도 해남군 계곡면 성진리 47,34.64608981,126.6591822,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면020",1,,전라남도 해남군 계곡면 성진리 231-2,34.64624553,126.6576295,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면021",1,,전라남도 해남군 계곡면 성진리 231-6,34.64657369,126.6571877,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면022",1,,전라남도 해남군 계곡면 성진리 239,34.64699763,126.6569282,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면023",1,,전라남도 해남군 계곡면 성진리 1041,34.64759561,126.6536662,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면027",1,,전라남도 해남군 계곡면 성진리 231-1,34.64620285,126.6565866,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면028",1,,전라남도 해남군 계곡면 성진리 278-3,34.6470322,126.6551889,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면031",1,,전라남도 해남군 계곡면 성진리 359,34.64754582,126.6532105,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면034",1,,전라남도 해남군 계곡면 성진리 360-2,34.64648185,126.6527636,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면035",1,,전라남도 해남군 계곡면 성진리 284-17,34.64585969,126.6539087,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면039",1,,전라남도 해남군 계곡면 성진리 1030-3,34.64585733,126.6595701,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면040",1,,전라남도 해남군 계곡면 성진리 190-9,34.64489626,126.6570689,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면042",1,,전라남도 해남군 계곡면 성진리 733-3,34.63848831,126.6590131,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면044",1,,전라남도 해남군 계곡면 성진리 119-2,34.64044798,126.6600995,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면045",1,,전라남도 해남군 계곡면 성진리 735-2,34.63879959,126.6595898,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면047",1,전라남도 해남군 계곡면 무이길 93,전라남도 해남군 계곡면 성진리 729,34.63862095,126.6580996,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면048",1,,전라남도 해남군 계곡면 성진리 216,34.64624612,126.6534166,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면049",1,,전라남도 해남군 계곡면 법곡리 1415-26,34.64699928,126.6724422,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면051",1,,전라남도 해남군 계곡면 법곡리 792,34.64573423,126.6735298,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면052",1,,전라남도 해남군 계곡면 법곡리 754,34.64573423,126.6735298,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면053",1,,전라남도 해남군 계곡면 법곡리 1360-4,34.64638272,126.6737282,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면056",1,,전라남도 해남군 계곡면 법곡리 1408-15,34.64658415,126.6745585,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면057",1,전라남도 해남군 계곡면 장산길 39-31,전라남도 해남군 계곡면 법곡리 635,34.64813265,126.6762281,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면058",1,,전라남도 해남군 계곡면 법곡리 1415-32,34.64626421,126.6750327,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면060",1,,전라남도 해남군 계곡면 법곡리 399-2,34.6563594,126.6745875,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면062",1,,전라남도 해남군 계곡면 법곡리 산 209-4,34.65491114,126.6688531,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
"계곡면063",1,,전라남도 해남군 계곡면 법곡리 1157,34.65536659,126.6654434,2015,한전주,061-530-5878,전라남도 해남군청,2022-06-10
