"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"화순읍1",1,전라남도 화순군 화순읍 진각로 192-4,전라남도 화순군 화순읍 신기리 333-7,35.0685637,126.9878134,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍2",1,전라남도 화순군 화순읍 진각로 192-16,전라남도 화순군 화순읍 신기리 392-26,35.0696008,126.9880112,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍3",1,전라남도 화순군 화순읍 진각로 167,전라남도 화순군 화순읍 훈리 18-5,35.0661073,126.9872568,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍4",1,전라남도 화순군 화순읍 진각로 175-5,전라남도 화순군 화순읍 훈리 16-7,35.0665979,126.9870272,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍5",1,전라남도 화순군 화순읍 진각로 175-8,전라남도 화순군 화순읍 훈리 16-1,35.0670484,126.9864895,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍6",1,전라남도 화순군 화순읍 훈리길 9,전라남도 화순군 화순읍 훈리 63,35.0630006,126.9852182,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍7",1,전라남도 화순군 화순읍 훈리길 13,전라남도 화순군 화순읍 훈리 56-4,35.0632407,126.9856353,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍8",1,전라남도 화순군 화순읍 훈리길 18-1,전라남도 화순군 화순읍 훈리 59-2,35.0631387,126.9857764,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍9",1,전라남도 화순군 화순읍 대교로 51,전라남도 화순군 화순읍 교리 95-10,35.0635105,126.9849452,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍10",1,전라남도 화순군 화순읍 대교로 53-1,전라남도 화순군 화순읍 훈리 51-5,35.0638005,126.9848956,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍11",1,전라남도 화순군 화순읍 동헌길 21-3,전라남도 화순군 화순읍 훈리 46-2,35.0640008,126.9855052,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍12",1,전라남도 화순군 화순읍 동헌길 9-16,전라남도 화순군 화순읍 훈리 49-9,35.0644797,126.9852313,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍13",1,전라남도 화순군 화순읍 동헌길 9-10,전라남도 화순군 화순읍 교리 90-2,35.0643036,126.9849059,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍14",1,전라남도 화순군 화순읍 동헌길 9-18,전라남도 화순군 화순읍 훈리 49-1,35.0646471,126.9852819,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍15",1,전라남도 화순군 화순읍 동헌길 9-20,전라남도 화순군 화순읍 훈리 27,35.0649226,126.9853823,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍16",1,전라남도 화순군 화순읍 동헌길 9-7,전라남도 화순군 화순읍 훈리 27,35.0655645,126.9841424,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍17",1,전라남도 화순군 화순읍 동헌길 9-7,전라남도 화순군 화순읍 훈리 27,35.0655644,126.9841424,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍18",1,전라남도 화순군 화순읍 홍문길 23,전라남도 화순군 화순읍 교리 80-6,35.0665987,126.9855356,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍19",1,전라남도 화순군 화순읍 홍문길 10-2,전라남도 화순군 화순읍 훈리 22-6,35.0663441,126.9863966,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍20",1,전라남도 화순군 화순읍 홍문길 10,전라남도 화순군 화순읍 훈리 21,35.0661512,126.9863264,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍21",1,전라남도 화순군 화순읍 홍문길 8,전라남도 화순군 화순읍 훈리 20,35.0660823,126.9864569,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍22",1,전라남도 화순군 화순읍 진각로 167-2,전라남도 화순군 화순읍 훈리 17-7,35.0664729,126.9869386,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍23",1,전라남도 화순군 화순읍 진각로 163,전라남도 화순군 화순읍 훈리 18-3,35.0658273,126.9872105,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍24",1,전라남도 화순군 화순읍 진각로 159,전라남도 화순군 화순읍 훈리 32-2,35.0657843,126.9867068,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍25",1,전라남도 화순군 화순읍 진각로 150,전라남도 화순군 화순읍 신기리 242-16,35.0643762,126.9872268,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍26",1,전라남도 화순군 화순읍 진각로 143,전라남도 화순군 화순읍 훈리 37-6,35.0638909,126.9867734,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍27",1,전라남도 화순군 화순읍 진각로 139,전라남도 화순군 화순읍 훈리 37-9,35.0636425,126.9867487,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍28",1,전라남도 화순군 화순읍 동헌길 17,전라남도 화순군 화순읍 훈리 51-6,35.0639263,126.9851842,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍29",1,전라남도 화순군 화순읍 훈리길 8-2,전라남도 화순군 화순읍 훈리 62-2,35.0629172,126.9855338,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍30",1,전라남도 화순군 화순읍 동헌길 30,전라남도 화순군 화순읍 훈리 44-5,35.0635468,126.9864012,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍31",1,전라남도 화순군 화순읍 진각로 177,전라남도 화순군 화순읍 훈리 15-1,35.0671043,126.9873329,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍32",1,전라남도 화순군 화순읍 동헌길 21-13,전라남도 화순군 화순읍 훈리 30-4,35.065027,126.9860376,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍33",1,전라남도 화순군 화순읍 동헌길 21-11,전라남도 화순군 화순읍 훈리 29-6,35.0650709,126.9857588,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍34",1,전라남도 화순군 화순읍 진각로 142-1,전라남도 화순군 화순읍 훈리 38-23,35.0637403,126.9871005,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍35",1,전라남도 화순군 화순읍 동헌길 22,전라남도 화순군 화순읍 훈리 52-5,35.0637894,126.9857661,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍36",1,전라남도 화순군 화순읍 동헌길 21-3,전라남도 화순군 화순읍 훈리 46-2,35.0640008,126.9855052,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍37",1,전라남도 화순군 화순읍 홍문길 16,전라남도 화순군 화순읍 훈리 25-4,35.0663007,126.9858415,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍38",1,전라남도 화순군 화순읍 동헌길 17,전라남도 화순군 화순읍 훈리 51-6,35.0639263,126.9851842,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍39",1,전라남도 화순군 화순읍 진각로 249-8,전라남도 화순군 화순읍 동구리 43,35.0733094,126.9875228,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍40",1,전라남도 화순군 화순읍 진각로 118-3,전라남도 화순군 화순읍 향청리 115-2,35.0617811,126.9863759,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍41",1,전라남도 화순군 화순읍 자치샘로 49-2,전라남도 화순군 화순읍 향청리 115-7,35.0616678,126.986527,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍42",1,전라남도 화순군 화순읍 자치샘로 49-2,전라남도 화순군 화순읍 향청리 115-7,35.0616679,126.986527,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍43",1,전라남도 화순군 화순읍 중앙로 36-2,전라남도 화순군 화순읍 향청리 67-7,35.0601041,126.9849586,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍44",1,전라남도 화순군 화순읍 진각로 98-2,전라남도 화순군 화순읍 향청리 65-3,35.0600845,126.9855099,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍45",1,전라남도 화순군 화순읍 훈리길 23,전라남도 화순군 화순읍 훈리 44-51,35.0628299,126.9861085,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍46",1,전라남도 화순군 화순읍 진각로 121-2,전라남도 화순군 화순읍 향청리 131-3,35.0621691,126.985758,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍47",1,전라남도 화순군 화순읍 자치샘로 41-2,전라남도 화순군 화순읍 향청리 140-1,35.0617264,126.9856705,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍48",1,전라남도 화순군 화순읍 자치샘로 39-1,전라남도 화순군 화순읍 향청리 137-1,35.0619367,126.9854107,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍49",1,전라남도 화순군 화순읍 중앙로 20-4,전라남도 화순군 화순읍 삼천리 623,35.0601276,126.9845237,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍50",1,전라남도 화순군 화순읍 중앙로 51-2,전라남도 화순군 화순읍 향청리 46,35.0606838,126.9868619,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍51",1,전라남도 화순군 화순읍 중앙로 45-2,전라남도 화순군 화순읍 향청리 55-4,35.0607985,126.9865171,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍52",1,전라남도 화순군 화순읍 중앙로 29-2,전라남도 화순군 화순읍 향청리 81-10,35.0609761,126.9845061,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍53",1,전라남도 화순군 화순읍 중앙로 29-2,전라남도 화순군 화순읍 향청리 81-10,35.0609762,126.9845061,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍54",1,전라남도 화순군 화순읍 자치샘로 38-3,전라남도 화순군 화순읍 향청리 74-10,35.0613457,126.9850284,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍55",1,전라남도 화순군 화순읍 중앙로 29-1,전라남도 화순군 화순읍 향청리 77-3,35.0610095,126.984758,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍56",1,전라남도 화순군 화순읍 중앙로 35-6,전라남도 화순군 화순읍 향청리 76-1,35.0609413,126.9850873,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍57",1,전라남도 화순군 화순읍 중앙로 36-1,전라남도 화순군 화순읍 향청리 67-6,35.0602079,126.9850824,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍58",1,전라남도 화순군 화순읍 중앙로 20-4,전라남도 화순군 화순읍 삼천리 623,35.0601276,126.9845237,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍59",1,전라남도 화순군 화순읍 자치샘로 38-1,전라남도 화순군 화순읍 향청리 73-18,35.0615188,126.9852772,,,061-379-3742,전라남도 화순군청,2023-07-21
"화순읍60",1,전라남도 화순군 화순읍 자치샘로 53-2,전라남도 화순군 화순읍 향청리 20-1,35.0613343,126.9869764,,,061-379-3742,전라남도 화순군청,2023-07-21
