"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고수면001",1,,전라북도 고창군 고수면 봉산리 362-2,35.4094000,126.6780743,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면002",1,,전라북도 고창군 고수면 봉산리 357-3,35.4105378,126.6786280,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면003",1,,전라북도 고창군 고수면 봉산리 310-3,35.4112170,126.6796108,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면004",1,,전라북도 고창군 고수면 봉산리 340-1,35.4111782,126.6793273,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면005",1,,전라북도 고창군 고수면 황산리 309,35.4106424,126.6825308,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면006",1,,전라북도 고창군 고수면 황산리 292-3,35.4111026,126.6814145,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면007",1,,전라북도 고창군 고수면 봉산리 306-1,35.4123479,126.6801391,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면008",1,,전라북도 고창군 고수면 황산리 산 1-2,35.4154081,126.6832718,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면009",1,,전라북도 고창군 고수면 황산리 산 1-1,35.4141061,126.6839922,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면010",1,,전라북도 고창군 고수면 와촌리 산 4-1,35.4171823,126.6880222,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면011",1,,전라북도 고창군 고수면 와촌리 603,35.4163503,126.6883444,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면012",1,,전라북도 고창군 고수면 와촌리 262-5,35.4158742,126.6882218,2017,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면013",1,,전라북도 고창군 고수면 와촌리 259-6,35.4149887,126.6880270,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면014",1,,전라북도 고창군 고수면 와촌리 277,35.4149479,126.6869370,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면015",1,,전라북도 고창군 고수면 와촌리 280,35.4145967,126.6863081,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면016",1,,전라북도 고창군 고수면 와촌리 237-1,35.4140965,126.6871410,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면017",1,,전라북도 고창군 고수면 와촌리 217-3,35.4144002,126.6883681,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면018",1,,전라북도 고창군 고수면 와촌리 608,35.4138812,126.6888579,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면019",1,,전라북도 고창군 고수면 와촌리 200-1,35.4124081,126.6882695,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면020",1,,전라북도 고창군 고수면 와촌리 200-3,35.4123200,126.6882272,2016,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면021",1,,전라북도 고창군 고수면 와촌리 산 50,35.4052740,126.6885003,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면022",1,,전라북도 고창군 고수면 와촌리 76-2,35.4057148,126.6882311,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면023",1,,전라북도 고창군 고수면 와촌리 554,35.4048211,126.6905566,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면024",1,,전라북도 고창군 고수면 와촌리 21,35.4024320,126.6945474,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면025",1,,전라북도 고창군 고수면 와촌리 391,35.4022339,126.6902925,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면026",1,,전라북도 고창군 고수면 와촌리 401,35.4013633,126.6903548,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면027",1,,전라북도 고창군 고수면 와촌리 565,35.4024510,126.6907011,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면028",1,,전라북도 고창군 고수면 와촌리 409,35.4006774,126.6903811,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면029",1,,전라북도 고창군 고수면 봉산리 40-8,35.4202892,126.6847047,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면030",1,,전라북도 고창군 고수면 봉산리 1239,35.4230641,126.6835291,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면031",1,,전라북도 고창군 고수면 봉산리 243-4,35.4209631,126.6773986,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면032",1,,전라북도 고창군 고수면 봉산리 241-1,35.4213279,126.6771740,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면033",1,,전라북도 고창군 고수면 봉산리 산 42-4,35.4187326,126.6806704,2016,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면034",1,,전라북도 고창군 고수면 봉산리 산 28-3,35.4184312,126.6820198,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면035",1,,전라북도 고창군 고수면 봉산리 산 28-2,35.4173374,126.6833597,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면036",1,,전라북도 고창군 고수면 봉산리 산 48-11,35.4166612,126.6841585,2016,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면037",1,,전라북도 고창군 고수면 봉산리 235-1,35.4212294,126.6780787,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면038",1,,전라북도 고창군 고수면 봉산리 198-7,35.4218194,126.6776284,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면039",1,,전라북도 고창군 고수면 봉산리 167,35.4223142,126.6766361,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면040",1,,전라북도 고창군 고수면 봉산리 198,35.4226065,126.6776950,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면041",1,,전라북도 고창군 고수면 봉산리 1233,35.4243141,126.6792241,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면042",1,,전라북도 고창군 고수면 봉산리 203-2,35.4228134,126.6774434,2017,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면043",1,,전라북도 고창군 고수면 봉산리 205-1,35.4231818,126.6776019,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면044",1,,전라북도 고창군 고수면 봉산리 1696-1,35.4097475,126.6774485,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면045",1,,전라북도 고창군 고수면 봉산리 368-1,35.4089762,126.6767849,2014,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면046",1,,전라북도 고창군 고수면 부곡리 466-5,35.4079360,126.6769040,2016,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면047",1,,전라북도 고창군 고수면 부곡리 472-4,35.4078985,126.6762016,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면048",1,,전라북도 고창군 고수면 부곡리 480-3,35.4074119,126.6757702,2017,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면049",1,,전라북도 고창군 고수면 부곡리 499-1,35.4064176,126.6749123,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면050",1,,전라북도 고창군 고수면 부곡리 866,35.4083614,126.6750648,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면051",1,,전라북도 고창군 고수면 봉산리 1048,35.4089022,126.6731725,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면052",1,,전라북도 고창군 고수면 봉산리 1010-60,35.4143738,126.6685215,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면053",1,,전라북도 고창군 고수면 봉산리 1747,35.4130827,126.6698285,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면054",1,,전라북도 고창군 고수면 봉산리 491-1,35.4112767,126.6721940,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면055",1,,전라북도 고창군 고수면 봉산리 497-2,35.4120219,126.6725940,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면056",1,,전라북도 고창군 고수면 봉산리 468,35.4122393,126.6722043,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면057",1,,전라북도 고창군 고수면 봉산리 431-3,35.4126357,126.6727999,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면058",1,,전라북도 고창군 고수면 봉산리 1026-36,35.4126890,126.6725157,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면059",1,,전라북도 고창군 고수면 남산리 728,35.4097205,126.6684864,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면060",1,,전라북도 고창군 고수면 남산리 537-1,35.4092017,126.6672756,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면061",1,,전라북도 고창군 고수면 남산리 601,35.4088357,126.6672513,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면062",1,,전라북도 고창군 고수면 남산리 725,35.4121029,126.6682372,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면063",1,,전라북도 고창군 고수면 남산리 520,35.4127959,126.6660220,2010,한전주,063-560-2418,전라북도 고창군,2023-07-20
"고수면064",1,,전라북도 고창군 고수면 남산리 231-2,35.4124795,126.6662462,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
"고수면065",1,,전라북도 고창군 고수면 남산리 264-1,35.4124418,126.6656991,2010,전용주,063-560-2418,전라북도 고창군,2023-07-20
