"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"옥도면 무녀도리 215-24",1,,전라북도 군산시 옥도면 무녀도리 215-24,35.79882041,126.4241054,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 옥봉리 801-6",1,전라북도 군산시 옥서면 옥서서길 79,전라북도 군산시 옥서면 옥봉리 801-6,35.93161826,126.626771,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 선연리 171-2",1,,전라북도 군산시 옥서면 선연리 171-2,35.92746722,126.6261043,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 선연리 2077",1,,전라북도 군산시 옥서면 선연리 2077,35.9260623,126.6278334,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 옥봉리 398-1",1,,전라북도 군산시 옥서면 옥봉리 398-1,35.94295818,126.632348,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"조촌동 867-3",1,,전라북도 군산시 조촌동 867-3,35.96871649,126.736015,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 3469-1",1,전라북도 군산시 미창로 3,전라북도 군산시 산북동 3469-1,35.97147231,126.6481258,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 선연리 2062",1,,전라북도 군산시 옥서면 선연리 2062,35.905529,126.6349649,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"옥서면 옥봉리 1654-9",1,,전라북도 군산시 옥서면 옥봉리 1654-9,35.92762966,126.6420327,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 1114-5",1,,전라북도 군산시 산북동 1114-5,35.971492,126.6513675,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 1056-56",1,,전라북도 군산시 산북동 1056-56,35.97261232,126.6543667,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 922-144",1,,전라북도 군산시 산북동 922-144,35.956025,126.661077,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 516-2",1,,전라북도 군산시 산북동 516-2,35.95173496,126.6626661,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"산북동 812-1",1,,전라북도 군산시 산북동 812-1,35.95211061,126.6619477,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"미룡동 371-1",1,,전라북도 군산시 미룡동 371-1,35.945541,126.6892034,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"미룡동 914",1,,전라북도 군산시 미룡동 914,35.94309981,126.687034,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 759-12",1,전라북도 군산시 상신 2길 6,전라북도 군산시 나운동 759-12,35.97188641,126.694973,2013,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 872",1,,전라북도 군산시 나운동 872,35.97099216,126.6947599,2013,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 789-33",1,,전라북도 군산시 나운동 789-33,35.96733575,126.6954351,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 175",1,전라북도 군산시 현충로 87,전라북도 군산시 나운동 175,35.95637061,126.7026135,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 869-6",1,전라북도 군산시 현충로 24,전라북도 군산시 나운동 869-6,35.95750387,126.6880312,2013,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 880",1,,전라북도 군산시 나운동 880,35.95990511,126.6883752,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 875",1,,전라북도 군산시 나운동 875,35.966702,126.6968655,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"해망동 999-178",1,,전라북도 군산시 해망동 999-178,35.99110074,126.700435,2020,건축물,063-454-3620,전라북도 군산시청,2023-01-02
"소룡동 1393-158",1,,전라북도 군산시 소룡동 1393-158,35.97701285,126.681652,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"회현면 월연리 676-3",1,,전라북도 군산시 회현면 월연리 676-3,35.89649106,126.714521,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"회현면 월연리 538",1,,전라북도 군산시 회현면 월연리 538,35.891897,126.7213425,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"회현면 월연리 506",1,,전라북도 군산시 회현면 월연리 506,35.890014,126.7232095,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"회현면 월연리 536",1,,전라북도 군산시 회현면 월연리 536,35.891576,126.7214619,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"지곡동 471",1,,전라북도 군산시 지곡동 471,35.9427146,126.7028351,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"문화동 921",1,전라북도 군산시 문화 2길 38,전라북도 군산시 문화동 921,35.97234386,126.7041434,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"나운동 1523",1,,전라북도 군산시 나운동 1523,35.96570067,126.7046589,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"개정동 42-12",1,,전라북도 군산시 개정동 42-12,35.968939,126.755907,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"지곡동 488-11",1,전라북도 군산시 상지곡안 4길 50,전라북도 군산시 지곡동 488-11,35.959849,126.7067246,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"지곡동 508-7",1,전라북도 군산시 상지곡 3길 19,전라북도 군산시 지곡동 508-7,35.958431,126.707081,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"금동 9-3",1,전라북도 군산시 군산창 1길 12,전라북도 군산시 금동 9-3,35.99193715,126.705627,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"금동 96",1,,전라북도 군산시 금동 96,35.98991485,126.7057753,2020,한전주,063-454-3620,전라북도 군산시청,2023-01-02
"금동 9-26",1,,전라북도 군산시 금동 9-26,35.99091741,126.706072,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
"영화동 18-12",1,전라북도 군산시 구영 5길 118,전라북도 군산시 영화동 18-12,35.989055,126.710775,2020,전용주,063-454-3620,전라북도 군산시청,2023-01-02
